customer_id,region,marketing_channel,campaign_type,before_campaign_sales,after_campaign_sales,before_campaign_visits,after_campaign_visits,conversion_rate_before,conversion_rate_after,campaign_cost_usd,customer_retained
24,Middle East,Google Ads,Discount,2107,2101,9,75,1.5,1.46,17393,0
25,North America,Social Media,New Product Launch,2826,3620,22,107,4.53,10.91,13219,0
26,Asia,Email,Brand Awareness,3417,3123,1,64,4.33,1.13,10164,0
27,North America,Influencer,Discount,821,1700,11,5,1.37,2.12,1918,1
28,Europe,Influencer,Discount,2414,2595,12,29,0.52,10.44,8421,1
29,South America,Influencer,Discount,3469,467,20,6,4.11,7.95,8475,1
30,Europe,Email,New Product Launch,2906,2324,30,93,1.76,2.82,8750,1
31,Middle East,Email,Brand Awareness,810,374,46,87,2.58,6.51,17102,0
32,Middle East,Google Ads,Discount,1756,8708,17,107,2.53,2.35,12609,1
33,North America,Email,New Product Launch,3583,7578,48,112,1.71,11.67,709,1
34,Middle East,Google Ads,Discount,4860,3010,35,57,4.24,5.63,10459,0
35,North America,Influencer,Discount,4061,4346,36,77,2.96,4.22,1912,0
36,Europe,Influencer,New Product Launch,522,1331,40,23,4.23,4.76,6828,0
37,North America,Google Ads,New Product Launch,4027,753,40,71,3.72,11.29,19239,1
38,North America,Influencer,New Product Launch,311,7496,34,14,1.1,6.36,19150,1
39,South America,Email,New Product Launch,1598,3888,47,30,0.74,3.46,9565,1
40,South America,Google Ads,Discount,2577,2440,7,79,2.85,8.29,15123,1
41,South America,TV Ads,Brand Awareness,4588,8139,17,50,4.22,4.46,14855,1
42,Asia,Email,Discount,3744,6512,17,12,0.8,2.83,5636,1
43,Europe,Email,Brand Awareness,2424,3028,45,70,4.61,6.2,11200,1
44,Middle East,Google Ads,Brand Awareness,1158,2967,11,92,4.5,7.34,15701,1
45,North America,Social Media,Brand Awareness,1208,1199,10,75,1.9,1.04,3458,1
46,South America,Influencer,Discount,2761,5072,8,69,2.61,5.31,14880,1
47,North America,TV Ads,Brand Awareness,2467,7559,25,53,1.32,1.83,19773,1
48,South America,Google Ads,Brand Awareness,4111,213,1,74,0.84,2.18,5756,1
49,Middle East,Social Media,Discount,4614,2816,15,15,3.57,2.34,11002,1
50,Europe,Email,New Product Launch,2843,7953,37,8,2.15,7.5,3952,0
51,Middle East,Email,Brand Awareness,2803,3684,46,26,1.74,10.62,11094,0
52,Middle East,Email,New Product Launch,3830,535,25,23,4.23,1.13,3968,1
53,Middle East,Google Ads,New Product Launch,3098,1133,30,63,0.77,1.75,15543,1
54,Europe,Influencer,Brand Awareness,4273,1363,25,79,0.73,7.7,10133,0
55,Middle East,Email,New Product Launch,1013,2765,40,18,3.71,4.17,16116,1
56,Middle East,Influencer,Discount,2572,6934,29,116,2.2,8.83,18390,1
57,South America,Email,New Product Launch,1506,7399,42,22,1.83,11.81,4017,0
58,Middle East,Email,Brand Awareness,3770,3572,44,72,4.18,7.65,4333,0
59,Europe,Google Ads,New Product Launch,2278,5394,44,18,3.22,11.1,4031,0
60,Middle East,TV Ads,New Product Launch,267,4223,4,20,2.29,5.9,5938,1
61,Europe,Social Media,New Product Launch,3156,8156,11,104,0.68,10.69,17611,0
62,Europe,TV Ads,Discount,3319,8414,2,22,3.97,4.78,11679,0
63,Europe,Email,Brand Awareness,937,6994,40,30,3.37,8.65,12283,1
64,Asia,Influencer,Discount,3752,4104,41,95,4.35,6.71,3273,0
65,Middle East,TV Ads,New Product Launch,3107,3547,35,62,2.13,8.05,4175,0
66,Asia,Google Ads,New Product Launch,1824,4119,36,77,4.34,8.07,5368,0
67,Asia,Social Media,New Product Launch,3814,8234,9,28,3.67,5.72,7587,1
68,Middle East,Influencer,Discount,3062,1157,23,16,3.61,1.15,799,0
69,Middle East,Google Ads,Discount,3546,3224,15,25,1.47,2.95,2178,0
70,Asia,Influencer,Brand Awareness,3967,5455,9,44,4.69,4.07,6689,1
71,North America,Social Media,New Product Launch,2950,1736,14,77,2.83,7.26,15320,1
72,South America,Email,Brand Awareness,463,4607,48,98,4.89,10.03,4178,1
73,Middle East,Social Media,Discount,4542,5246,32,29,4.08,1.99,8514,1
74,Europe,Influencer,Brand Awareness,747,6363,35,13,1.9,8.97,10560,0
75,Europe,Google Ads,Brand Awareness,783,2765,35,106,2.23,11.11,18971,1
76,South America,TV Ads,New Product Launch,2863,7772,27,58,2.49,6.45,5659,1
77,Middle East,Email,Brand Awareness,1256,7602,13,75,2.3,11.02,12270,1
78,South America,Social Media,Brand Awareness,1067,2575,19,98,1.86,11.03,17731,1
79,South America,Social Media,New Product Launch,2006,8529,22,42,2.13,4.59,5972,0
80,South America,Social Media,Brand Awareness,3621,1929,49,65,4.94,1.7,19696,1
81,Middle East,Social Media,New Product Launch,3328,804,48,105,1.55,9.11,4925,1
82,Middle East,Google Ads,New Product Launch,1593,5825,39,74,1.45,10.36,6209,1
83,North America,Influencer,New Product Launch,2747,8501,5,16,1.26,8.84,10090,0
84,South America,Email,New Product Launch,542,1097,14,89,3.79,5.94,14088,1
85,Middle East,Social Media,Discount,3724,6938,27,78,1.58,1.58,14077,0
86,North America,Email,New Product Launch,1419,1519,29,94,3.88,10.92,9272,1
87,Asia,TV Ads,Discount,2250,7789,18,88,0.54,2.36,9756,1
88,Asia,Google Ads,Brand Awareness,4072,1951,11,34,3.92,6.35,18142,1
89,Middle East,Social Media,Discount,934,6698,25,44,1.53,3.48,16417,1
90,Asia,TV Ads,Discount,3575,7583,9,71,1.25,10.16,11613,0
91,Middle East,Google Ads,New Product Launch,3669,2807,22,50,4.1,4.39,11647,1
92,South America,TV Ads,Brand Awareness,4088,2490,6,47,1.48,8.9,15969,1
93,South America,Influencer,New Product Launch,3070,6675,6,83,0.85,8.72,17414,1
94,North America,Social Media,Brand Awareness,4606,512,32,33,3.05,11.43,4949,0
95,South America,Email,New Product Launch,3398,7391,27,65,3.83,5.43,19363,1
96,Middle East,Influencer,Brand Awareness,726,8878,1,48,1.27,11.12,12915,0
97,Europe,Social Media,Discount,4529,7335,45,77,0.9,5.56,9203,0
98,Asia,Influencer,Brand Awareness,1629,4456,42,10,1.22,6.11,8922,0
99,South America,Influencer,New Product Launch,3942,8327,8,25,3.64,5.05,13515,1
100,South America,Google Ads,New Product Launch,845,454,29,20,3.03,11.76,5533,0
101,Europe,Social Media,Brand Awareness,965,2458,47,109,0.79,8.06,13553,0
102,Europe,Google Ads,Discount,2397,4949,22,83,2.12,11.48,10537,1
103,Asia,Google Ads,New Product Launch,3610,3693,47,92,2.99,4.73,4925,1
104,North America,Email,New Product Launch,2448,5278,30,85,3.52,1.78,12956,1
105,South America,Social Media,Brand Awareness,824,6616,16,26,2.29,3.56,19163,0
106,Asia,Google Ads,Brand Awareness,330,4932,16,27,0.81,9.87,7835,1
107,South America,TV Ads,Discount,120,3311,23,105,4.93,8.48,18254,1
108,North America,Social Media,Brand Awareness,395,5310,19,50,4.23,5.96,4854,1
109,Asia,TV Ads,Discount,1437,1000,13,112,1.63,2.66,8124,0
110,Middle East,Email,Brand Awareness,249,2673,11,73,1.44,8.16,14605,1
111,Asia,Google Ads,Discount,2759,6552,9,46,4.63,10.54,14072,1
112,South America,TV Ads,New Product Launch,1619,4274,26,66,4.33,7.59,18242,1
113,Europe,Google Ads,Brand Awareness,850,7188,6,104,1.8,3.39,11066,1
114,Asia,Social Media,Discount,1323,3788,22,47,3.03,8.34,11812,1
115,Europe,Google Ads,New Product Launch,269,4704,33,110,1.06,7.18,5657,1
116,Europe,Social Media,Discount,893,6054,30,76,1.14,6.68,2874,1
117,South America,Social Media,Brand Awareness,316,593,20,92,0.88,7.09,14353,1
118,Europe,Google Ads,Discount,2896,6014,2,112,1.53,4.77,11431,1
119,North America,Social Media,Brand Awareness,3006,5552,25,93,2.58,9.16,19867,1
120,South America,Google Ads,Discount,941,5301,4,104,2.11,2.64,14940,1
121,Europe,Email,Brand Awareness,503,1153,18,51,4.13,11.6,3941,1
122,South America,Influencer,New Product Launch,2697,2264,12,44,1.74,6.79,9449,1
123,Middle East,Influencer,New Product Launch,4847,7703,22,8,2.01,10.96,19660,1
124,South America,Influencer,New Product Launch,1618,8476,31,96,3.3,5.42,7480,1
125,Europe,Google Ads,New Product Launch,835,7462,36,30,4.62,2.05,8437,1
126,Middle East,Social Media,Discount,4312,7030,41,90,2.7,6.24,14284,1
127,North America,Influencer,New Product Launch,4637,3037,3,88,2.83,4.57,15944,1
128,Europe,TV Ads,New Product Launch,1847,1282,43,50,3.6,3.66,1574,1
129,Middle East,Email,New Product Launch,1855,2371,39,24,1.22,8.81,18291,1
130,South America,Influencer,New Product Launch,117,8441,49,117,4.2,7.03,2037,1
131,North America,Email,Discount,2698,1686,4,77,1.95,5.85,16349,1
132,Middle East,TV Ads,Discount,1738,2350,18,27,1.69,1.32,10024,1
133,Europe,Google Ads,Discount,4755,5297,13,15,1.86,9.43,17407,1
134,South America,Email,Brand Awareness,3731,1419,20,50,3.76,8.33,773,0
135,South America,Email,Brand Awareness,692,6817,41,67,0.72,7.35,17550,1
136,South America,Email,New Product Launch,3426,1871,27,30,3.57,2.5,17302,1
137,Asia,Influencer,Brand Awareness,3780,6889,35,48,2.37,11.42,18669,1
138,Europe,Google Ads,New Product Launch,4862,3531,2,49,1.27,11.11,11514,0
139,Middle East,Google Ads,Brand Awareness,1552,5947,2,91,3.16,1.93,11149,1
140,Middle East,TV Ads,New Product Launch,4796,1706,31,56,3.54,7.09,9647,1
141,Asia,TV Ads,Discount,2375,8670,18,85,0.71,3.37,19899,0
142,South America,TV Ads,New Product Launch,2728,3546,49,21,1.5,11.29,16582,1
143,North America,Influencer,New Product Launch,1678,7141,16,88,3.08,9.58,10365,1
144,Middle East,Google Ads,Brand Awareness,2476,1252,18,30,1.16,6.21,1152,1
145,North America,TV Ads,Brand Awareness,739,4429,21,31,4.13,3.08,10360,1
146,Europe,TV Ads,Discount,3669,489,30,36,2.11,2.96,7540,0
147,North America,Google Ads,Brand Awareness,1319,3904,24,67,4.57,6.0,19924,0
148,South America,Email,Discount,1331,5649,21,63,4.96,1.38,14642,1
149,Middle East,TV Ads,Brand Awareness,1160,2956,19,109,3.08,6.76,15014,1
150,Europe,Email,Brand Awareness,1185,251,29,116,2.06,6.38,7875,1
151,Asia,TV Ads,Brand Awareness,4566,7616,27,86,3.97,1.91,4481,1
152,North America,Social Media,Discount,2420,3615,8,41,0.94,7.01,11859,0
153,Asia,Email,Brand Awareness,4912,8643,34,80,4.65,11.12,2146,1
154,North America,Email,Discount,3732,8511,19,8,2.12,9.29,13742,1
155,Asia,Social Media,New Product Launch,3394,4404,10,89,1.24,2.18,2696,1
156,Europe,Email,New Product Launch,4298,468,26,21,4.04,9.79,3035,0
157,Europe,TV Ads,Discount,4714,8815,35,95,1.41,10.62,9188,1
158,Middle East,Email,Discount,1844,8609,7,55,3.96,10.71,14932,0
159,Europe,Social Media,Brand Awareness,1368,208,20,77,3.61,5.68,4657,0
160,North America,TV Ads,Brand Awareness,2808,2215,39,13,0.52,4.57,10793,0
161,North America,Social Media,New Product Launch,878,7303,18,58,4.21,3.31,17150,1
162,Europe,Google Ads,Discount,4371,3832,13,49,3.3,4.0,579,1
163,Europe,Google Ads,New Product Launch,3236,3553,29,37,4.18,4.32,10874,1
164,Europe,Email,Discount,697,5311,27,11,1.66,1.72,19859,0
165,Middle East,Google Ads,New Product Launch,3015,7771,42,49,3.05,2.49,7165,0
166,Asia,Email,Discount,2607,8534,46,13,0.74,4.07,17409,1
167,North America,Influencer,Brand Awareness,1112,3897,19,26,4.42,3.22,16858,1
168,Asia,Google Ads,Brand Awareness,2213,7482,3,82,3.82,9.19,2475,0
169,Asia,Email,Brand Awareness,4103,4172,13,93,3.97,1.52,5901,1
170,South America,Social Media,Brand Awareness,2116,6691,24,31,2.6,7.3,15178,1
171,Asia,Influencer,New Product Launch,2745,2160,47,44,2.82,10.85,12366,1
172,Middle East,Google Ads,Discount,2024,6095,31,6,1.49,10.91,4450,1
173,South America,Email,Brand Awareness,1688,4000,19,37,4.76,4.25,4765,1
174,North America,Social Media,Discount,1032,4530,14,25,4.38,7.83,17515,1
175,Europe,TV Ads,New Product Launch,4993,2312,39,102,4.04,1.88,15705,0
176,South America,TV Ads,Brand Awareness,2806,8762,47,46,0.8,7.92,5658,1
177,Europe,TV Ads,Brand Awareness,714,5883,35,87,0.94,2.7,17284,1
178,South America,Email,Discount,4440,3766,24,60,0.62,11.93,17807,0
179,Middle East,Social Media,New Product Launch,3519,1549,19,19,3.32,2.87,12842,0
180,Asia,Social Media,Brand Awareness,2349,3666,20,63,3.33,10.45,2920,1
181,South America,TV Ads,New Product Launch,3513,8940,45,100,4.88,8.65,10519,1
182,Europe,Google Ads,Discount,3062,674,7,51,2.89,4.42,9724,1
183,North America,Google Ads,New Product Launch,2130,3932,43,106,4.84,1.04,13646,1
184,Asia,Social Media,Discount,2231,390,15,19,3.0,11.26,12622,0
185,South America,Influencer,Brand Awareness,374,8317,16,80,3.02,2.69,19950,1
186,North America,TV Ads,Brand Awareness,1638,6787,7,80,4.76,7.78,1822,1
187,North America,Email,New Product Launch,1451,3376,6,98,2.2,11.6,11046,1
188,South America,Google Ads,New Product Launch,4055,4878,25,9,3.77,10.96,16228,1
189,Europe,Influencer,Discount,3861,1459,22,19,4.13,6.37,10524,1
190,North America,Email,Brand Awareness,4872,8905,38,15,1.53,5.4,13916,1
191,Asia,Influencer,Brand Awareness,2610,2456,46,36,2.45,6.75,19200,1
192,North America,Email,Brand Awareness,2921,3392,4,89,1.15,4.6,19828,1
193,Middle East,Influencer,Discount,1884,6708,2,48,0.95,5.41,3378,0
194,North America,Email,Discount,1245,3163,8,22,0.63,2.36,14443,1
195,Europe,TV Ads,New Product Launch,520,1337,27,14,3.95,2.87,9598,0
196,Middle East,Google Ads,Brand Awareness,3330,2360,43,27,3.06,5.8,13623,1
197,Asia,Influencer,New Product Launch,2501,5833,27,77,1.2,4.32,19255,1
198,North America,Influencer,New Product Launch,1957,2679,47,15,3.14,9.62,4032,1
199,North America,Google Ads,Discount,2720,2835,19,72,1.06,9.29,4552,1
200,South America,Social Media,New Product Launch,3881,1504,16,101,4.45,11.01,2873,0
201,South America,Social Media,Brand Awareness,1163,6616,18,40,4.24,7.3,18580,0
202,Middle East,Email,New Product Launch,4755,441,36,95,3.81,4.2,9583,1
203,Europe,Social Media,Brand Awareness,1660,3129,48,19,3.6,8.33,13959,1
204,Asia,Influencer,New Product Launch,3911,2372,22,100,3.33,2.07,18324,1
205,South America,Email,Brand Awareness,199,7037,30,65,3.12,11.84,6937,1
206,North America,TV Ads,Discount,2989,8287,14,115,3.65,7.03,10343,1
207,South America,Social Media,Discount,2175,6821,17,17,1.29,3.7,7217,0
208,Asia,Influencer,Brand Awareness,385,1462,19,68,1.88,7.08,1875,0
209,Asia,Influencer,Brand Awareness,1475,5256,35,11,3.97,9.48,13836,1
210,North America,Influencer,New Product Launch,2358,2512,5,30,4.71,2.92,3806,1
211,Middle East,TV Ads,Discount,4494,711,45,48,4.52,3.55,9729,1
212,Europe,TV Ads,New Product Launch,4107,6793,33,71,4.47,11.16,16468,0
213,North America,TV Ads,Brand Awareness,1679,6331,34,92,1.58,10.95,1137,1
214,Middle East,Email,New Product Launch,2243,8323,44,114,3.28,8.41,19648,0
215,Europe,Social Media,New Product Launch,2940,4784,16,116,1.89,7.88,6849,1
216,Asia,Email,Discount,1837,3026,48,106,0.8,11.91,5400,1
217,North America,Google Ads,Discount,1256,3092,46,16,2.4,11.97,17438,1
218,Europe,Social Media,Brand Awareness,2034,7385,7,119,4.77,4.96,9948,1
219,Middle East,Social Media,Brand Awareness,1300,4419,9,116,3.47,5.7,687,1
220,Middle East,Email,Brand Awareness,3455,2366,11,114,1.23,2.12,5991,1
221,South America,TV Ads,New Product Launch,174,479,28,107,0.54,2.82,18781,1
222,Middle East,Influencer,Discount,2693,3256,43,117,1.65,4.33,17587,1
223,Europe,TV Ads,Brand Awareness,3565,6355,39,93,0.8,4.91,572,1
224,South America,Google Ads,Discount,1210,8325,1,114,1.63,7.7,16797,1
225,Middle East,Social Media,Brand Awareness,688,2861,41,71,3.84,2.43,17051,1
226,South America,Email,Brand Awareness,4381,5068,31,24,2.09,11.5,2019,1
227,North America,Google Ads,New Product Launch,2081,4656,6,26,2.84,7.91,12269,1
228,Europe,TV Ads,Brand Awareness,4577,7295,35,44,1.4,11.83,13503,1
229,Asia,Google Ads,Brand Awareness,2504,3772,2,11,2.43,10.93,16464,0
230,Asia,Influencer,New Product Launch,1428,7088,45,12,1.28,10.47,10245,0
231,North America,TV Ads,Brand Awareness,3812,2617,3,111,3.14,8.04,12521,1
232,South America,Social Media,Discount,945,6209,22,15,4.9,7.74,6562,1
233,Middle East,TV Ads,Discount,4720,8150,34,31,0.85,1.67,7673,0
234,Europe,TV Ads,Discount,435,3702,32,84,2.79,1.93,17584,0
235,North America,Email,Brand Awareness,1872,2747,28,68,0.69,2.09,16817,1
236,South America,Email,Brand Awareness,2235,3442,21,28,1.86,7.98,4263,1
237,Europe,Influencer,Brand Awareness,4113,8130,22,113,4.65,10.57,6859,0
238,North America,Influencer,New Product Launch,2978,6421,49,52,4.41,3.24,18796,1
239,Asia,Social Media,Brand Awareness,3381,8635,11,96,3.56,11.91,12707,1
240,South America,Influencer,New Product Launch,3923,480,4,20,4.14,4.55,19503,1
241,South America,TV Ads,Brand Awareness,4361,5404,49,57,2.23,6.99,9240,1
242,South America,Google Ads,New Product Launch,4358,2485,41,77,4.81,9.13,5695,1
243,South America,TV Ads,New Product Launch,1122,6195,13,17,2.14,3.31,7815,1
244,Middle East,Influencer,Discount,2016,5134,8,67,1.79,6.08,4711,1
245,Europe,Social Media,Discount,4757,6316,38,119,0.93,5.64,19262,1
246,Asia,Email,New Product Launch,2901,8029,29,25,0.79,4.03,9687,1
247,North America,Email,Discount,4813,3454,34,40,2.31,7.35,5493,0
248,Asia,Social Media,Brand Awareness,320,7370,13,102,4.31,4.33,14857,0
249,Europe,TV Ads,New Product Launch,4422,6587,21,71,3.01,3.78,17810,1
250,Asia,Google Ads,New Product Launch,1080,4926,34,75,4.92,11.4,15876,0
251,North America,TV Ads,Brand Awareness,2091,8888,11,15,1.88,6.84,1935,0
252,Asia,TV Ads,Brand Awareness,4485,3869,15,93,4.96,9.23,12769,1
253,South America,Email,Discount,2415,6898,6,107,0.56,3.99,18958,1
254,Asia,Influencer,Brand Awareness,972,1842,7,81,1.76,7.55,16364,0
255,South America,TV Ads,New Product Launch,4891,1557,28,29,3.22,6.04,11960,0
256,North America,TV Ads,Discount,3245,4932,38,35,1.74,3.05,14371,1
257,Middle East,TV Ads,Discount,4838,5731,36,64,4.3,7.65,15080,0
258,Middle East,Social Media,Brand Awareness,3277,5384,27,26,3.09,6.43,5032,1
259,North America,Influencer,New Product Launch,2073,4702,7,74,0.99,11.14,3452,1
260,South America,TV Ads,Brand Awareness,513,447,29,42,2.85,2.09,8032,1
261,North America,Social Media,Discount,2532,4112,36,101,0.82,3.65,14051,1
262,Europe,Social Media,New Product Launch,288,3376,22,44,2.67,4.46,16008,1
263,South America,TV Ads,New Product Launch,150,5727,17,68,3.37,5.66,15665,1
264,Asia,Social Media,Discount,162,2047,19,53,1.54,2.53,8446,0
265,Europe,TV Ads,Brand Awareness,224,8290,9,66,2.19,9.38,19751,1
266,Europe,Email,New Product Launch,1723,1698,18,87,3.65,7.59,7070,1
267,Middle East,Social Media,Discount,2869,8985,38,27,1.99,2.49,14700,1
268,South America,Influencer,Discount,1950,1791,22,18,0.68,6.97,12641,0
269,North America,Social Media,Discount,2867,980,9,34,1.01,4.83,15283,0
270,Middle East,Influencer,Discount,3054,259,2,13,1.82,9.85,17604,0
271,South America,Google Ads,New Product Launch,2952,4302,9,27,3.14,8.63,7164,1
272,North America,Google Ads,Discount,486,6103,48,88,1.55,6.71,13591,1
273,South America,Email,New Product Launch,2015,3222,28,14,2.69,8.7,14654,1
274,Europe,Google Ads,Brand Awareness,3438,8164,41,87,1.22,1.14,2371,1
275,Asia,Email,Discount,1529,1182,40,100,2.47,10.99,14986,1
276,Middle East,Social Media,Brand Awareness,4263,5990,26,80,1.36,8.54,9774,1
277,Middle East,Social Media,Brand Awareness,1718,6331,18,33,2.12,10.85,7928,1
278,South America,TV Ads,Discount,1395,4217,8,101,0.55,5.65,11374,1
279,North America,Email,New Product Launch,4422,8002,13,80,1.95,4.38,18873,1
280,Middle East,TV Ads,Brand Awareness,1030,2811,47,38,3.88,9.8,13939,1
281,Middle East,Influencer,Discount,1571,6303,11,108,1.12,2.74,3989,0
282,Asia,Email,New Product Launch,4378,7732,29,44,3.06,5.6,19023,1
283,Middle East,Social Media,Discount,2337,6978,6,78,1.64,9.79,10054,1
284,Europe,Google Ads,Discount,2113,8770,48,75,2.12,8.1,8200,0
285,Europe,Email,New Product Launch,3360,3376,30,94,3.74,4.46,19406,1
286,North America,Influencer,Discount,727,2298,27,62,0.52,11.94,10627,1
287,South America,Social Media,Brand Awareness,531,8832,17,34,1.92,8.26,7695,1
288,Asia,TV Ads,Discount,4878,3549,8,21,3.14,10.35,1864,0
289,Asia,TV Ads,Brand Awareness,2687,3516,29,15,2.38,11.31,16560,1
290,Middle East,Social Media,Discount,4604,2665,45,56,2.35,11.3,6365,0
291,Middle East,Google Ads,Brand Awareness,2632,5840,30,17,2.97,9.31,9234,1
292,Europe,Email,New Product Launch,2529,1451,20,63,4.83,4.27,9533,0
293,Asia,TV Ads,Discount,3890,4690,22,95,1.88,10.96,4734,1
294,North America,Social Media,Brand Awareness,4861,8689,10,50,4.42,9.52,17425,1
295,North America,TV Ads,Discount,3776,5751,2,31,4.42,5.21,13294,1
296,North America,TV Ads,New Product Launch,1486,4429,40,101,3.47,3.94,1290,1
297,South America,Email,New Product Launch,117,8723,39,66,1.35,5.87,19468,1
298,Europe,TV Ads,New Product Launch,3552,815,28,31,3.22,6.58,19064,0
299,Asia,Influencer,Discount,1184,6516,16,58,0.75,5.19,9993,0
300,Middle East,Influencer,Discount,2759,8735,2,112,3.64,1.22,3926,1
301,South America,Email,Brand Awareness,1093,990,33,96,2.05,10.98,4877,1
302,North America,Influencer,Brand Awareness,4905,6730,33,46,2.09,8.32,5004,1
303,Asia,Social Media,Brand Awareness,1673,5530,4,23,1.11,8.79,7591,1
304,Europe,Social Media,Discount,1299,1337,7,83,4.16,6.74,6574,1
305,Middle East,Social Media,New Product Launch,1278,5244,19,48,1.14,10.97,10289,1
306,Europe,Email,Discount,3334,3440,28,22,1.0,3.85,6142,0
307,North America,Social Media,Discount,3879,5754,10,112,4.95,6.82,16494,0
308,Europe,Influencer,Brand Awareness,2431,712,11,53,4.7,1.68,15532,1
309,Middle East,Influencer,New Product Launch,2713,419,41,52,1.93,4.16,17375,1
310,Middle East,Email,Discount,4644,2061,20,63,4.46,10.41,10190,1
311,Middle East,Email,Brand Awareness,3067,304,1,41,4.37,8.07,2590,1
312,Asia,TV Ads,New Product Launch,1609,5048,6,29,4.24,6.73,10871,1
313,South America,Influencer,New Product Launch,4036,8645,25,51,4.75,1.47,15675,1
314,Asia,TV Ads,New Product Launch,1130,6549,10,11,2.71,8.35,11845,1
315,North America,Google Ads,Brand Awareness,842,4715,13,96,3.27,4.61,6741,0
316,Asia,Influencer,New Product Launch,457,5883,25,77,3.63,8.06,4750,0
317,South America,Google Ads,New Product Launch,2930,5556,36,99,1.24,7.54,19596,0
318,Europe,Social Media,Brand Awareness,2814,5905,3,50,3.52,10.63,2860,1
319,North America,TV Ads,New Product Launch,4841,7258,29,99,3.71,9.28,8211,1
320,Asia,Email,Brand Awareness,3770,5235,19,58,2.69,8.22,16196,1
321,North America,Social Media,New Product Launch,4507,2479,32,106,3.96,4.24,1270,1
322,Asia,Influencer,Discount,2820,1102,28,38,2.5,5.52,2312,1
323,Asia,Social Media,New Product Launch,1446,8555,3,106,3.59,1.09,6550,0
324,South America,Email,Brand Awareness,2163,1525,44,10,3.8,4.98,14811,1
325,Middle East,Google Ads,Discount,2182,8690,40,64,4.02,2.54,4361,1
326,Europe,Email,Brand Awareness,3343,6434,37,36,4.86,6.88,6161,0
327,South America,Social Media,Brand Awareness,3661,4500,48,42,1.15,9.82,17285,1
328,South America,TV Ads,Brand Awareness,688,7246,34,82,3.94,7.08,6951,0
329,Europe,Influencer,Discount,921,3934,7,74,4.01,1.99,3577,0
330,Europe,Influencer,New Product Launch,2319,2037,28,9,4.54,6.5,15933,1
331,Europe,Social Media,Discount,1328,7308,36,38,2.32,5.52,13639,1
332,South America,Social Media,Discount,4907,7433,21,28,2.57,4.75,1960,1
333,North America,Influencer,Discount,4833,6823,4,107,2.16,6.58,13016,0
334,South America,Social Media,Brand Awareness,2197,773,6,108,0.75,10.46,5698,0
335,Asia,TV Ads,Discount,1236,4074,48,50,2.05,6.36,8061,1
336,South America,Influencer,Brand Awareness,2524,414,40,34,3.86,4.32,11030,1
337,Middle East,Google Ads,Discount,4755,1495,40,111,4.6,7.3,7362,0
338,Middle East,Social Media,New Product Launch,1168,2294,20,13,0.56,9.3,9711,1
339,Asia,Social Media,Brand Awareness,1995,6839,27,95,1.02,9.07,6189,1
340,South America,TV Ads,Discount,1789,5712,47,51,2.55,11.29,1171,1
341,Middle East,TV Ads,New Product Launch,2616,8909,10,16,3.26,2.1,3268,1
342,Asia,Google Ads,New Product Launch,1483,8251,10,106,0.82,11.18,14602,1
343,South America,Email,New Product Launch,345,1456,20,41,2.97,5.45,10282,1
344,Europe,Google Ads,New Product Launch,2939,3522,31,37,1.49,5.2,6648,1
345,North America,Social Media,New Product Launch,124,2322,11,81,4.14,4.12,12776,0
346,Middle East,Google Ads,Brand Awareness,331,8763,23,42,1.58,2.2,16354,1
347,Asia,Influencer,New Product Launch,3154,2104,24,47,0.84,6.62,15350,1
