trip_id,driver_id,city,trip_distance_km,trip_duration_min,fare_amount_usd,surge_multiplier,payment_method,driver_rating,rider_rating,cancelled,trip_hour,weekend_trip
202,3169,Singapore,2.94,54,90.12,1.2,Cash,3.8,4.94,0,8,0
203,8068,Dubai,36.32,104,112.3,2.0,Wallet,3.66,3.01,0,12,0
204,8241,Sydney,34.5,21,64.62,1.0,Cash,4.74,3.86,0,8,1
205,8313,Mumbai,22.5,13,11.64,1.0,Cash,3.71,3.31,0,9,1
206,8366,Singapore,31.53,7,78.07,1.0,UPI,3.56,4.73,0,9,0
207,1257,Singapore,9.19,86,43.42,1.2,Credit Card,4.88,4.8,0,22,0
208,3791,London,34.42,83,119.15,2.0,Cash,3.72,4.94,0,8,0
209,6373,Sydney,34.92,45,82.37,1.0,Wallet,4.46,4.36,1,5,0
210,1030,London,41.08,111,23.92,2.0,Credit Card,4.46,4.78,0,17,0
211,5705,Singapore,12.36,77,17.71,1.2,Cash,4.36,4.55,1,9,0
212,2356,Sydney,18.48,16,117.69,1.2,Credit Card,3.78,4.62,0,5,1
213,8639,London,42.01,119,86.56,1.2,Credit Card,3.52,4.47,1,7,1
214,8733,Dubai,31.84,15,28.89,2.0,Wallet,3.84,4.99,0,5,1
215,7674,Dubai,35.44,85,41.83,1.2,Credit Card,4.61,3.26,0,8,1
216,5668,New York,9.11,18,111.97,1.0,Wallet,4.14,4.78,0,11,0
217,3233,Dubai,14.86,99,91.49,1.2,Credit Card,5.0,3.5,0,14,1
218,1095,Sydney,11.36,98,65.47,1.2,Credit Card,4.04,4.63,0,10,0
219,5073,Sydney,41.14,112,37.37,2.5,Cash,4.93,4.28,0,11,0
220,1922,New York,21.7,64,88.33,1.5,UPI,3.75,3.52,0,18,0
221,4569,London,20.39,78,52.11,1.0,Wallet,4.68,3.01,0,19,1
222,6141,Sydney,9.45,89,75.17,1.0,Wallet,4.58,3.97,0,19,0
223,5332,Singapore,10.44,99,40.11,1.0,Credit Card,3.68,3.11,0,23,0
224,2775,Mumbai,35.02,46,89.82,2.0,UPI,4.55,3.61,0,4,1
225,6271,Mumbai,41.49,18,64.08,2.0,Wallet,3.88,3.32,0,5,0
226,9389,Singapore,29.6,53,26.77,1.5,Wallet,3.6,4.23,0,10,1
227,5439,Singapore,41.9,93,29.7,1.0,UPI,4.45,3.08,0,21,1
228,2488,Mumbai,20.07,35,99.28,1.0,Cash,4.6,4.35,0,5,0
229,3209,Singapore,32.03,92,68.3,1.2,Credit Card,4.93,3.51,0,14,0
230,3447,London,4.83,31,6.08,1.2,Wallet,4.16,4.29,0,10,1
231,6425,Sydney,4.58,113,47.89,2.0,UPI,3.74,4.32,1,17,0
232,9546,New York,3.39,88,20.97,1.0,Wallet,4.93,4.21,0,1,0
233,9556,Mumbai,41.14,61,81.99,1.0,Wallet,4.81,4.76,0,22,0
234,9826,Mumbai,44.09,27,34.88,1.5,Cash,3.54,3.23,0,13,0
235,1163,Mumbai,9.36,29,21.19,2.0,UPI,3.92,4.49,0,18,1
236,8843,Mumbai,6.55,67,110.19,2.0,Credit Card,4.15,3.37,1,12,0
237,7026,Dubai,2.27,58,20.9,1.5,UPI,3.87,3.29,1,20,0
238,9933,Dubai,12.83,55,6.55,2.0,Cash,3.8,4.4,0,4,1
239,1024,Mumbai,33.9,119,110.89,2.5,Cash,4.79,4.23,0,11,0
240,4135,Dubai,34.48,63,10.85,1.5,Cash,3.58,4.77,0,18,0
241,3822,Dubai,40.27,109,40.47,2.5,UPI,3.91,3.2,0,3,1
242,3800,Singapore,29.53,60,81.93,1.2,UPI,4.35,3.18,0,3,0
243,2913,Sydney,32.27,105,27.45,2.5,Cash,4.48,3.07,0,0,1
244,3153,New York,18.25,112,51.89,1.2,Credit Card,4.64,4.02,0,22,0
245,8000,Singapore,2.86,77,57.67,1.5,Cash,4.72,4.16,0,18,0
246,9785,Singapore,29.37,6,28.26,2.5,UPI,4.38,4.57,0,12,0
247,7874,London,30.41,104,12.84,2.5,Credit Card,4.65,3.56,0,22,0
248,2372,Mumbai,39.84,89,53.85,2.0,Cash,4.33,3.23,0,16,1
249,9957,London,39.75,84,108.48,2.5,UPI,3.76,3.13,1,4,0
250,1763,Singapore,39.94,72,73.6,1.0,Cash,3.93,4.42,0,9,1
251,8665,Singapore,18.11,46,77.31,1.0,Cash,4.97,3.49,0,13,0
252,4908,London,6.43,58,114.78,2.5,Credit Card,3.95,3.26,0,6,0
253,2394,Singapore,16.39,42,94.38,2.5,Cash,3.62,4.82,0,19,0
254,7294,London,15.12,99,77.12,1.0,Wallet,4.35,3.99,0,10,0
255,5349,London,9.92,17,26.84,2.0,Cash,3.7,3.44,0,3,1
256,7791,Mumbai,16.17,68,7.63,1.0,Cash,4.11,3.09,0,9,0
257,6418,New York,8.5,19,35.77,2.0,Cash,5.0,3.44,0,0,0
258,6726,Dubai,17.08,63,21.29,1.5,UPI,3.93,4.61,0,3,1
259,2415,New York,24.3,76,109.87,2.5,UPI,4.45,3.72,1,22,0
260,1472,Singapore,7.53,104,79.5,1.5,Wallet,4.73,4.17,0,2,0
261,7617,Dubai,12.02,42,35.37,1.5,Cash,3.73,4.54,0,7,0
262,4986,New York,23.37,112,88.38,1.2,UPI,4.25,3.4,0,4,0
263,2306,Dubai,14.84,79,42.37,2.5,Wallet,3.85,4.39,0,11,0
264,6991,Mumbai,13.01,44,93.1,1.2,Wallet,4.6,3.68,0,8,0
265,7851,London,34.57,70,81.73,1.5,Wallet,3.5,3.68,0,20,0
266,7192,Sydney,30.97,102,9.35,1.0,Credit Card,4.4,4.54,0,10,0
267,8837,London,27.09,50,22.86,2.5,Cash,4.92,4.98,0,19,0
268,5843,Singapore,30.09,48,24.98,1.5,Credit Card,4.62,4.78,0,15,1
269,2425,Mumbai,34.41,39,108.4,2.0,Cash,4.78,4.4,0,22,0
270,8099,New York,5.93,27,56.86,1.5,Cash,3.67,4.05,0,20,0
271,1764,Dubai,9.97,55,77.19,1.2,UPI,4.19,4.28,0,19,0
272,9681,Singapore,27.69,63,117.46,1.2,UPI,4.62,3.1,0,18,1
273,1604,Dubai,17.79,12,23.84,1.5,Credit Card,4.8,4.07,0,17,0
274,6365,Dubai,39.42,109,110.49,1.5,Credit Card,4.42,4.89,0,13,0
275,2318,Singapore,3.65,48,24.82,1.0,Cash,4.02,4.19,0,13,1
276,8786,Sydney,18.54,108,19.96,1.0,Wallet,4.16,4.66,0,5,0
277,2437,Mumbai,35.92,13,41.73,2.5,Cash,3.62,3.97,0,9,0
278,5384,London,36.0,87,43.08,1.0,Credit Card,4.98,3.1,0,10,0
279,2146,New York,18.23,22,110.43,2.0,Credit Card,4.45,3.53,0,8,0
280,9025,Sydney,10.88,94,69.58,2.5,Wallet,4.95,3.54,0,8,1
281,4260,New York,41.68,118,50.52,2.0,Credit Card,4.64,3.19,0,21,0
282,2110,Dubai,7.63,75,118.28,1.0,Cash,4.75,3.37,0,7,0
283,7728,New York,14.16,40,83.89,1.2,Cash,3.99,3.09,0,11,1
284,3122,Sydney,9.6,102,52.51,2.5,Cash,4.15,4.18,0,17,0
285,4916,Sydney,19.16,78,56.31,1.2,Cash,4.29,3.83,0,2,1
286,7557,Sydney,26.48,115,102.08,1.5,Wallet,4.84,3.12,1,4,0
287,3586,Singapore,5.12,58,119.38,1.5,Cash,4.62,4.06,0,19,0
288,5107,New York,22.32,46,28.92,1.5,Credit Card,4.46,4.53,0,8,1
289,9184,Mumbai,14.48,24,43.14,1.2,Credit Card,3.58,4.87,0,0,0
290,1878,Mumbai,28.01,41,100.11,1.5,Credit Card,3.84,3.08,0,18,0
291,9059,New York,30.69,99,58.8,2.0,Credit Card,4.94,3.65,0,18,1
292,9251,Mumbai,21.95,75,34.06,1.2,UPI,3.52,3.96,0,18,0
293,4846,New York,8.15,80,114.81,2.5,UPI,4.63,4.3,0,5,0
294,8662,Dubai,41.24,67,98.52,2.0,Credit Card,3.73,3.99,0,14,0
295,1489,Sydney,32.86,106,19.84,2.5,UPI,4.47,3.42,0,11,0
296,1559,London,7.56,27,65.56,1.5,Wallet,5.0,3.76,0,12,0
297,8335,Singapore,19.52,30,39.6,2.0,UPI,4.73,4.1,0,22,0
298,9335,Sydney,25.26,43,46.62,2.0,Credit Card,4.13,3.0,0,12,0
299,2674,London,27.17,8,51.83,1.0,Wallet,4.79,4.49,0,9,1
300,2620,Mumbai,4.56,75,80.37,1.5,UPI,3.92,3.29,0,13,0
301,5829,Sydney,42.68,72,119.49,1.0,UPI,3.96,3.46,0,6,0
302,9594,Sydney,19.51,85,79.21,2.0,Credit Card,4.05,3.99,0,18,1
303,5613,New York,17.12,70,12.74,1.2,Wallet,4.54,4.77,0,16,1
304,4767,New York,44.67,46,18.06,1.2,Wallet,4.69,4.05,0,5,1
305,3770,Dubai,5.44,28,71.88,1.5,Wallet,4.6,3.65,0,23,0
306,1339,Mumbai,10.1,51,12.21,1.2,Cash,3.69,4.01,0,21,1
307,3933,Sydney,12.36,103,89.81,2.5,Cash,4.63,4.11,0,5,1
308,1757,London,20.99,11,110.92,1.5,Cash,4.35,3.62,0,0,0
309,5570,Sydney,26.27,94,20.77,2.0,UPI,4.23,3.02,0,0,0
310,4408,Sydney,32.51,37,48.63,1.2,UPI,4.82,4.46,0,20,1
311,5640,Dubai,16.35,106,50.37,2.5,Wallet,4.11,4.28,0,21,0
312,5385,Singapore,6.1,84,20.76,2.0,UPI,4.08,4.17,0,14,1
313,3260,Sydney,23.9,112,81.42,1.0,Cash,4.19,3.48,0,3,1
314,3415,Dubai,41.77,16,60.94,1.0,Wallet,4.06,4.89,0,8,0
315,6326,Dubai,44.36,52,44.74,1.5,Cash,4.9,3.53,1,9,0
316,7863,London,34.77,63,38.42,2.0,Credit Card,3.75,4.63,0,7,0
317,8062,Sydney,6.48,98,113.67,2.5,Cash,3.87,3.25,0,5,0
318,8555,London,9.11,66,36.34,1.5,Wallet,3.81,4.91,1,14,1
319,9751,New York,1.31,75,20.71,1.5,Cash,3.76,3.55,0,14,0
320,4328,New York,26.98,85,55.82,2.5,Wallet,4.55,4.1,0,19,0
321,8255,Dubai,22.41,95,88.5,2.5,Wallet,4.18,3.24,0,17,0
322,2048,London,13.67,34,49.93,2.0,UPI,4.06,3.38,0,11,0
323,2510,Dubai,44.92,55,62.08,2.5,Cash,3.66,3.32,1,8,1
324,7980,New York,21.24,110,110.72,1.2,Cash,4.38,3.98,0,16,0
325,5715,Dubai,13.41,89,107.23,2.0,Cash,4.88,4.42,0,2,0
326,2477,Sydney,2.43,91,55.66,2.5,UPI,4.97,3.65,0,12,0
327,9371,Singapore,25.41,118,69.14,2.0,Cash,4.75,4.22,0,14,1
328,9256,London,20.34,75,69.6,1.5,Credit Card,4.4,3.28,0,19,0
329,7790,Dubai,24.4,72,37.35,1.0,Cash,4.58,3.6,0,3,1
