flight_id,airline,origin_airport,destination_airport,scheduled_departure_min,departure_delay_min,arrival_delay_min,cancelled,weather_delay_min,air_traffic_delay_min
236,Vistara,CCU,BOM,141,10,300,0,88,68
237,Air India,BLR,MAA,1109,-1,227,0,98,77
238,SpiceJet,BOM,BLR,45,142,161,0,25,94
239,Qatar Airways,BLR,HYD,843,283,114,0,58,39
240,Vistara,BLR,BLR,1008,75,129,0,113,5
241,Emirates,BOM,BOM,1261,102,67,1,117,63
242,IndiGo,HYD,CCU,9,178,72,0,68,27
243,SpiceJet,HYD,BOM,663,101,4,0,115,8
244,IndiGo,DEL,DEL,572,164,214,0,117,5
245,Emirates,DEL,DEL,648,299,110,0,46,16
246,IndiGo,HYD,BOM,912,291,35,0,101,39
247,Air India,CCU,MAA,639,-7,72,0,34,98
248,SpiceJet,MAA,MAA,615,211,154,0,29,75
249,SpiceJet,BLR,HYD,697,210,47,0,49,44
250,Emirates,MAA,DEL,908,160,73,0,88,81
251,Qatar Airways,BLR,HYD,177,202,173,0,23,42
252,Air India,HYD,DEL,868,242,174,0,29,97
253,Vistara,DEL,BOM,1029,113,73,0,83,45
254,IndiGo,CCU,MAA,852,117,316,0,53,62
255,Go First,DEL,MAA,306,202,10,0,66,0
256,IndiGo,MAA,BOM,547,101,160,0,31,58
257,IndiGo,DEL,HYD,326,74,248,0,7,62
258,Vistara,HYD,HYD,1379,-7,26,0,114,78
259,IndiGo,CCU,BLR,394,54,103,0,49,17
260,Air India,MAA,DEL,299,109,153,0,46,85
261,Air India,CCU,HYD,748,232,92,0,86,81
262,SpiceJet,BLR,BOM,284,126,131,0,45,64
263,Emirates,DEL,HYD,329,236,160,0,79,19
264,Qatar Airways,CCU,MAA,49,34,173,0,34,55
265,Go First,BOM,DEL,772,135,144,0,60,53
266,IndiGo,DEL,CCU,377,165,286,0,88,47
267,IndiGo,BLR,BLR,999,31,58,0,78,99
268,Vistara,CCU,DEL,773,286,2,0,50,53
269,Emirates,MAA,MAA,1167,78,124,0,62,88
270,Air India,BLR,MAA,1083,207,99,0,7,15
271,Go First,BOM,MAA,867,217,312,0,33,19
272,SpiceJet,CCU,MAA,1098,287,209,0,24,46
273,Air India,HYD,BOM,2,280,30,0,112,96
274,Emirates,DEL,BLR,747,56,22,0,43,6
275,Qatar Airways,MAA,CCU,274,240,190,0,82,22
276,SpiceJet,HYD,MAA,214,30,-7,0,42,74
277,Qatar Airways,CCU,MAA,328,88,237,0,49,32
278,Vistara,CCU,HYD,254,295,92,0,12,39
279,Vistara,BLR,BLR,1410,68,82,0,45,4
280,IndiGo,CCU,DEL,125,290,259,0,75,44
281,Qatar Airways,MAA,BLR,766,188,55,0,78,40
282,Emirates,HYD,BLR,1347,136,23,0,86,7
283,Go First,MAA,CCU,1227,95,282,0,52,80
284,SpiceJet,BOM,BLR,1195,182,74,0,62,81
285,Air India,BOM,CCU,216,111,203,0,103,49
286,Emirates,DEL,MAA,1268,66,91,0,1,90
287,Emirates,DEL,MAA,1359,101,80,0,39,30
288,Vistara,BOM,BOM,1321,286,16,0,22,3
289,Qatar Airways,CCU,CCU,831,159,110,0,58,65
290,IndiGo,MAA,CCU,181,-5,131,0,68,55
291,IndiGo,BOM,DEL,333,186,264,0,33,4
292,SpiceJet,DEL,HYD,510,87,8,0,73,80
293,Vistara,BOM,BLR,382,219,193,0,26,53
294,Emirates,CCU,DEL,1222,157,104,0,54,95
295,Go First,BOM,CCU,331,286,258,0,105,92
296,Vistara,MAA,DEL,1188,254,124,0,3,79
297,SpiceJet,HYD,BOM,1265,-3,281,0,67,0
298,SpiceJet,CCU,HYD,899,161,66,0,71,75
299,Vistara,DEL,CCU,641,184,192,1,69,82
300,SpiceJet,MAA,CCU,1250,258,17,0,88,72
301,Vistara,BOM,BLR,633,8,8,0,26,60
302,Air India,BOM,HYD,450,38,45,0,46,6
303,Vistara,HYD,BOM,195,147,295,0,113,29
304,Qatar Airways,DEL,MAA,1227,55,173,0,116,14
305,Vistara,DEL,DEL,457,48,68,0,117,3
306,SpiceJet,BLR,BLR,829,298,209,0,39,62
307,Qatar Airways,DEL,CCU,256,297,152,0,83,69
308,SpiceJet,HYD,MAA,1295,148,170,0,26,37
309,IndiGo,BLR,BOM,8,260,56,0,6,46
310,IndiGo,BLR,HYD,760,110,58,0,22,59
311,Qatar Airways,BOM,DEL,948,243,137,1,83,98
312,Air India,BOM,BLR,1224,250,80,0,63,1
313,IndiGo,DEL,CCU,1082,124,37,0,112,68
314,Vistara,BLR,CCU,886,263,158,0,114,7
315,SpiceJet,BOM,MAA,392,45,94,0,97,50
316,IndiGo,HYD,MAA,1142,85,300,0,28,93
317,IndiGo,BOM,DEL,398,103,35,0,60,18
318,Air India,CCU,HYD,330,17,237,0,43,93
319,Qatar Airways,CCU,BOM,1290,295,57,0,114,30
320,Qatar Airways,BOM,HYD,479,-9,196,0,68,79
321,Emirates,BLR,HYD,133,201,196,0,26,21
322,Air India,BLR,HYD,915,57,235,0,11,32
323,Vistara,MAA,DEL,934,117,152,0,16,85
324,Qatar Airways,CCU,DEL,354,13,247,0,36,71
325,SpiceJet,HYD,BOM,583,242,315,0,33,36
326,Air India,BLR,HYD,624,219,214,0,93,11
327,IndiGo,DEL,DEL,1130,165,223,0,35,68
328,SpiceJet,CCU,BOM,289,210,259,0,5,63
329,SpiceJet,HYD,CCU,824,25,127,0,95,24
330,IndiGo,HYD,BOM,628,-9,54,0,31,53
331,Air India,BLR,HYD,1018,263,296,0,72,28
332,IndiGo,HYD,BLR,631,166,158,0,21,12
333,Emirates,BLR,HYD,1170,253,93,0,9,25
334,SpiceJet,BOM,BLR,326,175,187,0,28,21
335,Go First,CCU,BOM,1438,4,169,0,10,92
336,Go First,MAA,CCU,209,268,275,0,91,75
337,Vistara,BOM,CCU,1319,183,312,0,65,91
338,Qatar Airways,CCU,DEL,1421,187,76,0,55,72
339,IndiGo,BLR,CCU,1126,294,243,0,84,9
340,IndiGo,CCU,MAA,635,53,306,0,94,47
341,Vistara,BLR,BOM,867,279,190,0,57,41
342,Vistara,BOM,DEL,1232,7,36,0,104,89
343,Vistara,DEL,CCU,427,53,165,0,51,99
344,SpiceJet,DEL,BOM,392,240,287,0,60,58
345,Emirates,CCU,HYD,825,6,-13,0,16,52
346,IndiGo,DEL,CCU,915,130,68,0,90,39
347,SpiceJet,BLR,BLR,1132,297,198,0,29,74
348,Vistara,HYD,BOM,347,234,18,0,104,61
349,IndiGo,BLR,DEL,49,279,34,0,71,5
350,SpiceJet,HYD,HYD,915,76,273,0,36,3
351,Emirates,BOM,MAA,1128,188,313,0,4,90
352,SpiceJet,MAA,HYD,1396,150,243,0,25,54
353,Emirates,HYD,CCU,1050,129,242,0,69,87
354,Vistara,DEL,BLR,967,65,256,0,79,68
355,Emirates,BLR,HYD,799,8,166,0,0,2
356,IndiGo,BOM,MAA,1296,39,17,0,8,6
357,Vistara,DEL,DEL,1016,221,249,0,84,87
358,IndiGo,BOM,BOM,648,284,297,0,70,85
359,Go First,MAA,BLR,1363,1,24,0,106,11
360,Air India,BLR,MAA,300,4,292,0,63,98
361,Emirates,CCU,CCU,1288,17,194,0,78,16
362,Air India,BLR,CCU,165,281,256,0,23,66
363,Air India,MAA,CCU,315,239,120,0,4,74
364,Emirates,BLR,BLR,0,87,71,0,50,69
365,Vistara,CCU,HYD,1019,292,44,0,37,35
366,Go First,HYD,BLR,1284,28,148,0,118,16
367,IndiGo,BOM,CCU,62,27,-13,1,28,85
368,SpiceJet,CCU,MAA,482,289,-1,0,45,0
369,IndiGo,DEL,BOM,1344,168,86,0,51,66
370,SpiceJet,MAA,BOM,1224,86,239,0,45,79
371,IndiGo,HYD,BLR,221,271,209,0,74,98
372,Emirates,DEL,CCU,151,227,194,0,67,77
373,Go First,DEL,DEL,643,153,7,0,58,48
374,SpiceJet,MAA,BLR,625,86,219,0,9,50
375,Qatar Airways,HYD,CCU,216,246,115,0,97,70
376,Vistara,DEL,HYD,195,298,142,0,3,89
377,IndiGo,DEL,BOM,1225,251,157,0,51,42
378,IndiGo,HYD,BOM,994,282,1,0,73,30
379,SpiceJet,BLR,BOM,1014,247,298,0,96,23
380,Vistara,DEL,DEL,646,238,169,0,109,82
381,Vistara,BOM,CCU,1257,234,318,0,17,36
382,Emirates,HYD,CCU,1164,240,168,0,75,64
383,Qatar Airways,DEL,CCU,707,112,127,0,50,88
384,Emirates,MAA,CCU,1080,158,28,0,22,62
385,Emirates,CCU,DEL,1165,164,-4,0,107,55
386,Emirates,BOM,MAA,721,258,-8,0,24,73
387,Emirates,CCU,BLR,639,193,64,1,59,17
388,Emirates,CCU,BLR,105,55,281,0,36,64
389,Go First,DEL,CCU,164,48,146,0,67,28
390,Vistara,BOM,HYD,214,208,286,0,76,76
391,Emirates,BOM,BOM,1094,255,200,0,17,3
392,Vistara,BLR,DEL,89,130,232,0,28,11
393,Vistara,CCU,HYD,873,225,13,0,107,55
394,Air India,BOM,HYD,1251,207,256,0,29,47
395,Go First,BLR,CCU,1102,4,117,0,111,18
396,Emirates,HYD,DEL,607,291,-11,0,118,25
397,IndiGo,BLR,BLR,348,127,228,0,101,37
398,SpiceJet,MAA,BOM,893,221,14,0,91,79
399,Qatar Airways,DEL,BLR,245,78,101,0,6,24
400,IndiGo,HYD,HYD,271,66,162,0,87,55
401,Go First,HYD,BOM,402,125,245,0,40,73
402,SpiceJet,MAA,MAA,1139,99,219,0,73,27
403,Go First,BLR,HYD,1195,290,125,0,36,60
404,Vistara,DEL,BLR,1039,80,289,0,26,91
405,SpiceJet,BLR,BLR,960,179,34,0,20,88
406,Vistara,BOM,CCU,897,62,254,0,99,88
407,IndiGo,BLR,BLR,1079,162,92,0,42,50
408,IndiGo,HYD,DEL,1126,24,30,0,50,11
409,SpiceJet,DEL,HYD,283,199,66,0,92,7
410,SpiceJet,BLR,BOM,516,287,110,0,70,99
411,Emirates,DEL,BLR,617,122,68,0,12,57
412,Go First,DEL,CCU,1301,272,274,0,108,87
413,Emirates,BOM,CCU,611,187,55,0,52,22
414,Go First,BOM,BLR,749,21,159,0,86,36
415,Emirates,HYD,DEL,1292,125,300,1,62,10
416,Vistara,MAA,CCU,399,237,314,0,113,16
417,SpiceJet,DEL,BOM,85,135,75,0,56,91
418,IndiGo,MAA,HYD,319,132,233,0,24,55
419,Go First,HYD,MAA,1055,223,116,0,104,52
420,Go First,DEL,DEL,335,33,153,0,108,66
421,IndiGo,DEL,CCU,50,21,44,0,12,1
422,Emirates,CCU,HYD,1102,220,225,0,36,28
423,Go First,MAA,MAA,173,17,174,0,29,56
424,Qatar Airways,BLR,BLR,500,149,265,0,89,33
425,Vistara,BOM,BLR,75,196,216,0,11,77
426,SpiceJet,BLR,BOM,315,7,273,0,64,96
427,IndiGo,MAA,MAA,1396,92,259,0,17,81
428,SpiceJet,BOM,BLR,1104,59,297,0,84,92
429,Qatar Airways,BLR,BLR,696,108,-1,0,116,1
430,Go First,CCU,CCU,1009,128,25,0,117,74
431,Go First,BOM,BOM,731,149,192,0,61,30
432,Qatar Airways,DEL,HYD,1094,221,44,0,23,76
433,IndiGo,BLR,BLR,968,137,224,0,59,43
434,Vistara,BOM,DEL,853,232,80,0,16,89
435,Air India,CCU,DEL,665,24,262,0,105,55
436,IndiGo,BOM,HYD,651,228,144,0,59,97
437,Air India,BOM,MAA,1094,138,266,0,8,53
438,Qatar Airways,CCU,BOM,45,100,193,0,51,52
439,Emirates,BLR,CCU,1070,6,117,0,103,73
440,Air India,HYD,DEL,148,215,81,0,91,75
441,Vistara,BLR,DEL,909,129,203,0,14,85
442,Emirates,MAA,HYD,1153,133,55,0,76,45
443,Air India,CCU,MAA,455,249,258,0,27,53
444,Qatar Airways,BLR,MAA,876,206,118,0,116,30
445,Emirates,BOM,HYD,965,151,50,0,80,82
446,Qatar Airways,CCU,DEL,868,81,111,0,8,23
447,Air India,DEL,BOM,928,163,189,0,55,24
448,Qatar Airways,BLR,DEL,1023,194,282,0,84,34
449,Vistara,CCU,MAA,1000,142,101,0,93,56
450,Air India,BLR,CCU,773,92,251,0,74,71
451,Air India,CCU,DEL,243,191,266,0,93,68
452,Air India,BOM,BOM,473,269,133,0,35,85
453,IndiGo,DEL,BLR,381,54,178,0,55,27
454,IndiGo,DEL,DEL,1126,106,152,0,88,75
455,IndiGo,MAA,HYD,488,142,296,0,70,32
456,Vistara,CCU,BLR,1060,145,163,0,19,52
457,Emirates,BLR,HYD,1356,153,132,0,54,15
458,Qatar Airways,DEL,HYD,396,71,41,0,117,25
459,Go First,DEL,HYD,295,-5,-11,0,59,11
460,Air India,HYD,DEL,106,56,-2,0,34,86
461,Qatar Airways,HYD,MAA,859,227,264,0,73,89
462,Air India,DEL,BLR,953,61,308,0,98,76
463,Vistara,CCU,BOM,529,84,288,0,0,86
464,Air India,MAA,MAA,1106,293,200,0,77,30
465,IndiGo,DEL,DEL,933,67,159,0,44,99
466,Go First,BOM,HYD,287,56,300,0,68,26
467,SpiceJet,BLR,BOM,705,165,-13,0,39,35
468,Air India,MAA,BLR,214,161,121,1,107,58
469,Qatar Airways,BOM,MAA,1304,244,84,0,37,86
470,IndiGo,MAA,CCU,731,52,67,0,119,2
471,SpiceJet,BOM,MAA,343,291,264,0,118,93
472,Go First,BLR,BOM,193,235,116,0,97,31
473,SpiceJet,BLR,DEL,157,181,-15,0,23,14
474,IndiGo,HYD,BLR,464,60,100,0,3,74
475,Emirates,CCU,BOM,103,218,186,0,90,65
476,Emirates,BOM,HYD,33,52,124,0,68,89
477,SpiceJet,HYD,BLR,1125,286,130,0,106,62
478,Vistara,BOM,MAA,638,234,250,0,12,97
479,Qatar Airways,HYD,BOM,324,-4,186,0,103,0
480,Qatar Airways,BLR,MAA,690,249,136,0,20,74
481,SpiceJet,MAA,MAA,591,78,206,0,100,4
482,Air India,HYD,MAA,140,166,63,0,31,89
483,Air India,BOM,DEL,473,193,184,0,37,5
484,Qatar Airways,BOM,MAA,1054,123,234,0,94,98
485,Qatar Airways,CCU,HYD,883,71,83,0,31,4
486,Emirates,BLR,HYD,62,10,197,0,78,72
487,Vistara,BOM,BLR,1110,117,127,0,118,27
488,IndiGo,DEL,CCU,303,184,174,0,56,82
489,Air India,MAA,MAA,1084,183,285,0,47,68
490,Qatar Airways,HYD,MAA,395,173,36,0,29,86
491,Emirates,CCU,BOM,333,236,96,1,106,43
492,Go First,MAA,DEL,785,149,119,1,70,15
