Student_ID,University,Course,Specialization,Year_of_Study,Gender,Attendance_Percentage,Internal_Marks,External_Marks,CGPA,Placement_Status
1000047,Anna University,MCA,Marketing,2,Male,78.89,25,64,7.29,Placed
1000048,Mumbai University,MCA,Finance,4,Male,91.61,23,41,4.65,Placed
1000049,Delhi University,BBA,Finance,4,Male,73.81,10,64,4.16,Placed
1000050,Delhi University,B.Sc,Mechanical,1,Female,55.76,11,40,8.32,Placed
1000051,Delhi University,B.Tech,Mechanical,4,Female,98.21,10,58,9.61,Placed
1000052,Pune University,MBA,Mechanical,1,Other,59.56,14,62,7.72,Placed
1000053,Mumbai University,B.Sc,Civil,2,Female,66.76,19,46,5.31,Not Placed
1000054,Mumbai University,MCA,Computer Science,2,Female,57.98,25,51,7.58,Placed
1000055,Mumbai University,MCA,Computer Science,3,Female,70.86,17,51,7.57,Placed
1000056,Mumbai University,B.Tech,Finance,4,Female,56.92,12,61,9.85,Placed
1000057,Mumbai University,B.Com,Finance,1,Male,69.41,17,48,4.15,Placed
1000058,Delhi University,BBA,Marketing,4,Male,83.81,14,52,8.79,Placed
1000059,Anna University,B.Com,Data Science,4,Female,73.97,22,35,8.57,Not Placed
1000060,Mumbai University,MCA,Civil,2,Female,68.23,13,63,6.55,Placed
1000061,JNTU Hyderabad,B.Tech,Marketing,3,Female,61.45,15,36,9.08,Not Placed
1000062,JNTU Hyderabad,B.Sc,Finance,3,Female,64.75,22,30,7.94,Placed
1000063,Mumbai University,B.Com,Finance,4,Male,65.51,27,36,8.27,Not Placed
1000064,JNTU Hyderabad,B.Tech,Finance,1,Male,58.55,12,59,6.78,Placed
1000065,Mumbai University,B.Com,Finance,2,Female,93.96,17,53,7.25,Not Placed
1000066,Pune University,B.Com,Data Science,2,Male,63.65,23,51,5.78,Placed
1000067,JNTU Hyderabad,B.Tech,Civil,4,Female,90.23,23,41,7.14,Placed
1000068,Anna University,MBA,Finance,1,Male,90.69,15,29,4.52,Placed
1000069,Pune University,B.Sc,Computer Science,1,Male,65.95,25,23,9.82,Placed
1000070,Pune University,MCA,Finance,1,Male,67.5,22,64,8.75,Placed
1000071,JNTU Hyderabad,MCA,Marketing,2,Female,82.45,13,37,9.04,Not Placed
1000072,Delhi University,B.Sc,Data Science,2,Male,82.56,21,38,9.1,Placed
1000073,Anna University,BBA,Computer Science,1,Male,84.29,28,36,9.62,Placed
1000074,JNTU Hyderabad,B.Com,Civil,2,Male,64.58,14,49,5.9,Placed
1000075,JNTU Hyderabad,B.Tech,Computer Science,4,Male,66.23,28,61,5.05,Not Placed
1000076,Mumbai University,MCA,Computer Science,2,Male,82.54,25,26,5.71,Not Placed
1000077,Mumbai University,B.Tech,Data Science,2,Male,57.47,14,35,7.79,Placed
1000078,Delhi University,BBA,Finance,1,Male,78.37,11,61,9.89,Placed
1000079,Delhi University,BBA,Finance,2,Male,56.26,15,51,6.21,Placed
1000080,Mumbai University,B.Tech,Marketing,3,Male,71.27,20,49,6.05,Placed
1000081,Anna University,MCA,Civil,1,Female,69.15,11,68,7.85,Placed
1000082,Mumbai University,B.Tech,Mechanical,3,Male,81.14,11,21,7.64,Placed
1000083,Anna University,B.Com,Finance,2,Female,91.43,13,50,5.92,Placed
1000084,JNTU Hyderabad,MBA,Finance,2,Male,66.58,28,24,4.77,Placed
1000085,Mumbai University,B.Com,Finance,2,Male,74.21,21,44,9.25,Placed
1000086,Delhi University,MBA,Computer Science,4,Female,69.08,13,21,6.69,Placed
1000087,Mumbai University,B.Tech,Civil,4,Male,75.15,18,21,5.3,Placed
1000088,Pune University,B.Tech,Data Science,2,Female,82.95,19,36,9.13,Not Placed
1000089,Anna University,MCA,Mechanical,4,Male,68.7,24,53,9.77,Placed
1000090,Mumbai University,B.Sc,Finance,2,Male,71.53,13,42,9.56,Placed
1000091,JNTU Hyderabad,B.Tech,Computer Science,2,Female,98.21,16,42,4.71,Placed
1000092,Pune University,B.Sc,Finance,4,Male,71.19,20,52,5.22,Placed
1000093,Delhi University,B.Com,Mechanical,2,Female,86.98,14,34,7.56,Not Placed
1000094,Mumbai University,B.Tech,Marketing,3,Female,86.76,18,29,6.78,Placed
1000095,Anna University,B.Com,Data Science,3,Male,70.14,16,54,7.54,Placed
1000096,Pune University,B.Sc,Civil,2,Male,81.47,11,66,8.65,Placed
1000097,Pune University,MCA,Computer Science,1,Male,71.31,18,68,9.19,Not Placed
1000098,Delhi University,BBA,Marketing,2,Female,56.08,26,52,9.01,Placed
1000099,Mumbai University,B.Sc,Mechanical,2,Female,73.17,27,47,5.0,Not Placed
1000100,Delhi University,B.Tech,Mechanical,4,Male,77.42,14,40,5.18,Placed
1000101,JNTU Hyderabad,MBA,Civil,1,Female,93.7,29,48,5.54,Placed
1000102,JNTU Hyderabad,B.Tech,Data Science,2,Male,91.86,24,27,9.27,Placed
1000103,Delhi University,B.Com,Civil,1,Male,86.81,13,50,6.72,Placed
1000104,Delhi University,MCA,Computer Science,2,Male,77.3,22,43,9.37,Placed
1000105,Delhi University,MCA,Data Science,2,Female,88.39,24,28,5.7,Not Placed
1000106,Delhi University,B.Tech,Mechanical,4,Female,92.5,29,25,8.28,Placed
1000107,JNTU Hyderabad,BBA,Marketing,1,Male,78.27,26,42,8.31,Not Placed
1000108,Delhi University,B.Com,Marketing,1,Female,72.06,23,35,8.89,Placed
1000109,Mumbai University,B.Sc,Mechanical,4,Female,91.04,20,31,8.33,Placed
1000110,Pune University,MCA,Marketing,4,Male,79.91,28,59,7.5,Placed
1000111,Pune University,MCA,Marketing,3,Male,67.19,16,67,4.4,Not Placed
1000112,Pune University,MCA,Finance,4,Male,59.04,24,35,9.29,Not Placed
1000113,Mumbai University,B.Com,Civil,2,Female,89.43,19,31,8.8,Placed
1000114,Anna University,BBA,Mechanical,1,Female,94.29,29,40,8.62,Not Placed
1000115,Anna University,MBA,Finance,3,Male,55.27,17,48,9.21,Placed
1000116,Anna University,B.Sc,Marketing,1,Female,79.56,16,38,6.92,Not Placed
1000117,Mumbai University,B.Sc,Marketing,3,Female,68.77,16,46,7.11,Placed
1000118,JNTU Hyderabad,MCA,Computer Science,3,Male,79.16,13,39,9.14,Placed
1000119,JNTU Hyderabad,MBA,Computer Science,2,Female,73.78,16,32,9.1,Not Placed
1000120,Pune University,BBA,Mechanical,2,Female,81.59,12,61,8.76,Not Placed
1000121,Pune University,B.Tech,Civil,2,Female,83.18,16,57,9.46,Placed
1000122,Pune University,MBA,Computer Science,1,Male,98.76,17,64,8.27,Placed
1000123,JNTU Hyderabad,B.Sc,Mechanical,4,Male,60.05,11,55,6.86,Placed
1000124,Delhi University,MBA,Finance,3,Male,95.31,26,26,5.14,Not Placed
1000125,Delhi University,MCA,Computer Science,3,Female,94.01,29,32,4.91,Not Placed
1000126,JNTU Hyderabad,B.Com,Civil,2,Male,89.0,26,31,9.11,Not Placed
1000127,Delhi University,MCA,Computer Science,2,Male,67.63,24,60,6.25,Placed
1000128,Mumbai University,MBA,Marketing,3,Male,62.18,23,66,7.54,Placed
1000129,JNTU Hyderabad,MBA,Civil,1,Female,69.03,23,55,7.82,Placed
1000130,Pune University,MCA,Civil,4,Male,82.74,11,36,5.34,Placed
1000131,Anna University,B.Sc,Marketing,3,Male,56.87,22,40,5.65,Not Placed
1000132,Delhi University,MBA,Mechanical,2,Male,80.31,14,29,7.32,Placed
1000133,Pune University,B.Com,Data Science,4,Male,59.16,15,28,6.76,Not Placed
1000134,JNTU Hyderabad,BBA,Data Science,2,Female,59.74,22,37,5.61,Not Placed
1000135,Delhi University,B.Tech,Data Science,2,Female,93.38,15,52,9.34,Placed
1000136,Pune University,MCA,Mechanical,1,Male,63.76,18,33,8.26,Not Placed
1000137,Delhi University,MBA,Data Science,4,Male,75.12,14,67,9.02,Placed
1000138,Pune University,MCA,Finance,2,Female,60.71,17,57,7.02,Placed
1000139,JNTU Hyderabad,BBA,Mechanical,1,Male,94.76,22,63,7.05,Placed
1000140,JNTU Hyderabad,B.Com,Civil,3,Male,60.87,16,23,5.12,Placed
1000141,Pune University,B.Com,Civil,4,Female,61.01,23,34,9.34,Not Placed
1000142,Anna University,B.Tech,Mechanical,2,Male,87.37,11,47,7.06,Not Placed
1000143,JNTU Hyderabad,B.Tech,Civil,2,Male,89.42,26,48,4.25,Placed
1000144,Pune University,B.Tech,Data Science,1,Male,87.0,20,57,9.29,Not Placed
1000145,Mumbai University,B.Tech,Data Science,1,Male,57.56,20,43,5.02,Not Placed
1000146,JNTU Hyderabad,B.Com,Data Science,1,Female,86.03,24,55,7.65,Placed
1000147,Anna University,MCA,Civil,1,Male,55.79,26,46,5.32,Not Placed
1000148,Anna University,B.Sc,Civil,2,Female,85.32,22,62,4.91,Placed
1000149,Mumbai University,MBA,Civil,1,Female,80.66,12,24,7.65,Not Placed
1000150,Delhi University,MCA,Civil,4,Male,89.35,26,26,7.22,Placed
1000151,Mumbai University,MBA,Civil,4,Male,86.11,28,62,9.67,Placed
1000152,Anna University,B.Com,Finance,4,Male,69.19,21,53,9.71,Placed
1000153,JNTU Hyderabad,MCA,Mechanical,3,Female,90.49,12,34,8.1,Not Placed
1000154,Delhi University,B.Com,Civil,4,Female,92.45,17,65,5.36,Placed
1000155,Mumbai University,MBA,Civil,4,Male,67.91,12,40,7.67,Not Placed
1000156,Delhi University,MBA,Data Science,2,Male,64.55,25,55,7.79,Not Placed
1000157,Mumbai University,B.Sc,Data Science,1,Male,61.17,22,28,8.01,Not Placed
1000158,Delhi University,MBA,Marketing,4,Male,98.5,23,63,9.84,Placed
1000159,Anna University,MCA,Computer Science,3,Female,59.5,22,67,4.04,Placed
1000160,Anna University,B.Sc,Marketing,3,Female,72.69,23,52,9.13,Placed
1000161,Anna University,BBA,Finance,2,Female,61.18,24,21,7.52,Placed
1000162,Pune University,MBA,Finance,4,Male,78.78,24,27,4.95,Placed
1000163,Delhi University,MBA,Finance,3,Male,88.54,27,63,7.37,Not Placed
1000164,JNTU Hyderabad,B.Com,Finance,4,Male,90.71,23,34,8.52,Placed
1000165,Delhi University,B.Tech,Mechanical,4,Female,70.16,28,60,5.36,Placed
1000166,JNTU Hyderabad,B.Sc,Civil,2,Female,68.04,14,65,8.77,Placed
1000167,Delhi University,BBA,Marketing,4,Female,97.32,12,56,9.54,Not Placed
1000168,Delhi University,B.Com,Civil,4,Male,95.9,23,37,8.77,Placed
1000169,Mumbai University,MBA,Marketing,1,Male,87.12,21,52,7.62,Placed
1000170,Delhi University,MBA,Marketing,3,Male,92.02,28,40,4.39,Not Placed
1000171,Anna University,BBA,Mechanical,3,Female,56.48,27,64,8.09,Not Placed
1000172,JNTU Hyderabad,B.Com,Civil,3,Female,75.32,22,42,8.55,Placed
1000173,Pune University,MBA,Marketing,2,Male,84.76,27,56,4.63,Placed
1000174,Anna University,B.Com,Computer Science,2,Male,84.32,14,21,4.99,Placed
1000175,Mumbai University,B.Tech,Marketing,2,Female,61.85,21,31,7.46,Not Placed
1000176,Anna University,B.Tech,Civil,2,Female,68.69,16,66,4.19,Not Placed
1000177,Delhi University,MCA,Data Science,2,Female,72.96,28,51,8.93,Placed
1000178,Anna University,BBA,Mechanical,3,Male,98.43,19,33,6.97,Not Placed
1000179,Anna University,BBA,Finance,1,Female,84.48,19,64,6.44,Placed
1000180,Anna University,MCA,Finance,3,Male,99.82,10,64,8.53,Placed
1000181,Mumbai University,MBA,Civil,3,Female,90.92,23,29,6.37,Placed
1000182,Anna University,B.Com,Mechanical,4,Male,74.12,25,34,4.45,Placed
1000183,Delhi University,MCA,Data Science,1,Male,57.53,28,50,6.21,Not Placed
1000184,JNTU Hyderabad,B.Sc,Mechanical,1,Female,80.95,26,48,5.96,Placed
1000185,JNTU Hyderabad,BBA,Marketing,4,Female,97.92,26,31,4.85,Not Placed
1000186,Mumbai University,MBA,Computer Science,1,Male,68.39,23,53,6.57,Placed
1000187,JNTU Hyderabad,B.Sc,Data Science,3,Female,92.08,27,22,4.71,Not Placed
1000188,Pune University,MBA,Marketing,4,Male,90.96,24,50,9.0,Placed
1000189,Pune University,B.Com,Civil,2,Male,88.43,16,55,5.35,Placed
1000190,Anna University,MBA,Mechanical,3,Male,59.88,27,34,8.47,Placed
1000191,Mumbai University,B.Com,Civil,2,Male,76.71,24,31,4.78,Placed
1000192,JNTU Hyderabad,MBA,Mechanical,3,Female,78.75,15,51,4.78,Placed
1000193,Anna University,B.Tech,Civil,2,Female,60.83,23,40,8.79,Placed
1000194,Pune University,B.Tech,Civil,3,Female,61.52,10,56,7.1,Placed
1000195,Anna University,MBA,Computer Science,3,Female,80.93,28,26,6.37,Not Placed
1000196,Anna University,MBA,Computer Science,3,Male,79.67,17,57,5.95,Placed
1000197,Anna University,B.Tech,Civil,1,Female,96.58,24,57,5.92,Placed
1000198,Pune University,BBA,Mechanical,4,Male,65.35,10,45,7.44,Not Placed
1000199,Mumbai University,B.Com,Mechanical,2,Female,89.86,28,21,5.61,Not Placed
1000200,Mumbai University,BBA,Marketing,3,Female,60.34,19,33,4.01,Placed
1000201,JNTU Hyderabad,B.Tech,Data Science,2,Male,73.65,24,45,5.13,Not Placed
1000202,Anna University,BBA,Civil,1,Male,66.6,23,52,4.54,Placed
1000203,Pune University,B.Sc,Marketing,3,Female,90.1,28,57,5.24,Placed
1000204,JNTU Hyderabad,MBA,Finance,2,Female,80.6,13,44,6.18,Placed
1000205,Anna University,MBA,Data Science,2,Female,81.48,18,20,6.48,Placed
1000206,Delhi University,B.Com,Computer Science,1,Female,88.66,21,33,5.98,Not Placed
1000207,JNTU Hyderabad,MBA,Finance,2,Male,94.61,23,47,4.43,Not Placed
1000208,Mumbai University,B.Sc,Computer Science,2,Male,72.79,25,61,8.6,Not Placed
1000209,Pune University,MBA,Finance,2,Male,63.93,15,55,6.47,Placed
1000210,Pune University,B.Com,Computer Science,3,Male,61.76,23,57,6.85,Placed
1000211,Pune University,MBA,Marketing,3,Female,76.57,21,46,5.84,Placed
1000212,Delhi University,B.Tech,Mechanical,1,Male,98.59,26,49,5.97,Placed
1000213,Mumbai University,MCA,Civil,2,Female,86.98,10,48,4.95,Placed
1000214,Mumbai University,MBA,Finance,1,Female,56.74,29,47,4.35,Placed
1000215,Delhi University,MCA,Civil,2,Female,79.29,26,31,4.07,Placed
1000216,JNTU Hyderabad,B.Com,Data Science,1,Male,92.34,19,41,7.53,Placed
1000217,Mumbai University,B.Tech,Computer Science,1,Female,74.73,18,40,8.79,Not Placed
1000218,Pune University,MBA,Finance,1,Male,87.6,18,44,7.06,Placed
1000219,Delhi University,B.Sc,Mechanical,2,Female,90.78,15,28,7.89,Placed
1000220,JNTU Hyderabad,B.Com,Mechanical,1,Male,86.88,25,69,4.03,Placed
1000221,Anna University,B.Tech,Computer Science,1,Female,91.04,19,31,8.47,Placed
1000222,Pune University,B.Tech,Finance,2,Female,55.38,22,58,5.22,Placed
1000223,JNTU Hyderabad,MCA,Marketing,3,Male,92.83,22,59,8.77,Placed
1000224,Anna University,MCA,Data Science,4,Female,84.83,28,22,8.57,Not Placed
1000225,Anna University,B.Tech,Data Science,1,Female,92.61,29,58,4.23,Not Placed
1000226,JNTU Hyderabad,B.Com,Finance,4,Female,75.73,17,21,4.33,Not Placed
1000227,Mumbai University,B.Com,Civil,4,Male,91.3,29,63,9.88,Placed
1000228,Mumbai University,B.Sc,Computer Science,1,Female,83.08,19,60,4.47,Not Placed
1000229,JNTU Hyderabad,B.Sc,Finance,1,Female,93.57,28,31,8.19,Placed
1000230,Anna University,B.Sc,Civil,1,Male,62.38,28,59,6.84,Placed
1000231,JNTU Hyderabad,B.Tech,Computer Science,4,Male,90.69,28,26,4.57,Placed
1000232,JNTU Hyderabad,MBA,Civil,1,Male,98.79,23,21,5.28,Placed
1000233,Pune University,MBA,Marketing,4,Female,73.28,11,32,4.8,Placed
1000234,Delhi University,MBA,Marketing,2,Male,89.21,12,56,8.41,Placed
1000235,Mumbai University,B.Tech,Finance,2,Male,85.37,11,66,6.09,Placed
1000236,Delhi University,MBA,Computer Science,2,Female,88.88,16,45,8.12,Placed
1000237,Pune University,B.Tech,Marketing,4,Female,55.46,17,65,5.1,Not Placed
1000238,JNTU Hyderabad,MBA,Civil,2,Male,94.3,13,22,9.29,Placed
1000239,JNTU Hyderabad,B.Sc,Mechanical,2,Female,85.01,11,43,9.34,Placed
1000240,Delhi University,B.Com,Computer Science,3,Male,98.0,26,48,6.86,Not Placed
1000241,JNTU Hyderabad,B.Sc,Civil,1,Male,93.92,14,45,9.46,Placed
1000242,Mumbai University,MBA,Computer Science,1,Male,80.08,20,24,5.06,Not Placed
1000243,JNTU Hyderabad,B.Sc,Mechanical,4,Female,82.48,13,55,7.71,Not Placed
1000244,Pune University,MBA,Data Science,4,Male,57.52,23,51,6.12,Not Placed
1000245,Pune University,B.Sc,Computer Science,4,Male,58.9,29,22,5.63,Placed
1000246,JNTU Hyderabad,MBA,Finance,1,Male,58.34,22,56,5.07,Not Placed
1000247,JNTU Hyderabad,B.Tech,Data Science,3,Male,97.27,23,20,6.27,Placed
1000248,Anna University,MCA,Finance,3,Female,61.17,25,28,6.58,Not Placed
1000249,Mumbai University,B.Sc,Finance,2,Male,60.78,25,40,7.32,Placed
1000250,Pune University,B.Com,Computer Science,1,Female,90.89,28,59,5.79,Not Placed
1000251,Delhi University,B.Sc,Computer Science,1,Male,96.0,16,50,4.56,Not Placed
1000252,Anna University,B.Com,Marketing,3,Male,87.16,16,44,9.02,Not Placed
1000253,Anna University,MBA,Mechanical,1,Male,73.14,12,47,5.51,Not Placed
1000254,JNTU Hyderabad,B.Tech,Mechanical,1,Male,72.56,10,56,5.63,Not Placed
1000255,Delhi University,B.Tech,Data Science,1,Female,71.19,26,66,5.85,Placed
1000256,Mumbai University,B.Tech,Marketing,4,Male,75.18,21,25,8.1,Placed
1000257,Delhi University,B.Com,Marketing,2,Female,69.48,13,24,8.08,Placed
1000258,Mumbai University,B.Sc,Finance,3,Female,57.96,29,33,4.7,Placed
1000259,JNTU Hyderabad,B.Sc,Finance,4,Female,72.69,13,24,5.03,Placed
1000260,Anna University,BBA,Finance,3,Male,71.55,13,45,9.52,Placed
1000261,Delhi University,MBA,Finance,4,Male,62.13,24,27,6.93,Placed
1000262,Delhi University,B.Tech,Marketing,1,Female,93.87,14,37,5.38,Placed
1000263,JNTU Hyderabad,B.Com,Finance,1,Male,57.5,14,34,6.63,Placed
1000264,Anna University,MBA,Marketing,1,Male,56.02,28,69,5.4,Not Placed
1000265,JNTU Hyderabad,B.Sc,Civil,3,Female,56.35,23,54,4.03,Placed
1000266,JNTU Hyderabad,BBA,Finance,4,Female,59.84,27,66,5.63,Placed
1000267,Delhi University,MCA,Finance,1,Male,89.24,27,61,7.74,Placed
1000268,Mumbai University,MCA,Computer Science,4,Female,65.27,18,28,9.05,Placed
1000269,Pune University,BBA,Marketing,2,Male,90.6,28,66,8.22,Not Placed
1000270,JNTU Hyderabad,B.Tech,Marketing,3,Female,84.21,23,29,8.38,Placed
1000271,Pune University,B.Tech,Marketing,1,Female,94.3,11,56,9.01,Placed
1000272,Delhi University,MBA,Civil,2,Male,81.93,17,31,8.49,Not Placed
1000273,Mumbai University,BBA,Mechanical,1,Female,59.87,14,26,7.42,Not Placed
1000274,JNTU Hyderabad,B.Tech,Mechanical,4,Male,66.47,23,66,9.43,Not Placed
1000275,JNTU Hyderabad,MCA,Computer Science,3,Female,99.46,29,40,9.85,Placed
1000276,Delhi University,BBA,Computer Science,3,Female,71.1,17,57,7.02,Placed
1000277,Mumbai University,MCA,Finance,3,Female,78.36,12,55,8.17,Placed
1000278,Pune University,MBA,Civil,4,Female,86.67,12,21,8.35,Not Placed
1000279,JNTU Hyderabad,MBA,Finance,1,Male,75.93,16,46,9.0,Placed
1000280,Mumbai University,B.Com,Mechanical,1,Male,57.96,16,43,5.39,Placed
1000281,JNTU Hyderabad,B.Tech,Marketing,4,Female,57.72,28,23,4.11,Not Placed
1000282,Delhi University,BBA,Computer Science,1,Female,62.9,16,55,6.95,Placed
1000283,Delhi University,BBA,Marketing,3,Male,79.97,15,46,4.68,Placed
1000284,JNTU Hyderabad,B.Com,Computer Science,4,Male,69.39,17,65,9.25,Placed
1000285,JNTU Hyderabad,B.Sc,Finance,2,Female,63.68,20,52,7.77,Placed
1000286,Delhi University,B.Com,Mechanical,2,Female,74.63,20,55,5.82,Placed
1000287,Delhi University,MCA,Data Science,4,Male,90.32,17,62,7.2,Placed
1000288,Anna University,B.Tech,Computer Science,4,Male,95.02,12,68,5.23,Placed
1000289,Pune University,B.Tech,Mechanical,3,Female,87.3,29,68,9.32,Placed
1000290,Mumbai University,B.Tech,Data Science,4,Female,73.34,21,38,4.02,Placed
1000291,Pune University,B.Sc,Mechanical,4,Male,66.67,16,30,8.35,Not Placed
1000292,Anna University,BBA,Computer Science,4,Female,94.46,22,41,4.68,Placed
1000293,Mumbai University,MBA,Mechanical,4,Female,89.73,16,50,8.52,Placed
1000294,JNTU Hyderabad,MBA,Computer Science,4,Female,81.75,24,56,4.7,Placed
1000295,Pune University,B.Tech,Marketing,3,Male,77.78,21,53,8.56,Placed
1000296,Anna University,B.Sc,Civil,4,Male,72.37,24,67,7.81,Placed
1000297,Delhi University,B.Sc,Data Science,1,Male,81.26,10,34,7.57,Not Placed
1000298,Mumbai University,B.Sc,Mechanical,2,Male,73.45,16,55,5.12,Placed
1000299,JNTU Hyderabad,B.Tech,Mechanical,2,Female,83.98,20,25,5.23,Placed
1000300,Mumbai University,BBA,Finance,2,Female,83.5,21,57,5.21,Not Placed
1000301,JNTU Hyderabad,B.Sc,Data Science,2,Other,75.25,21,59,4.23,Placed
1000302,Mumbai University,B.Tech,Computer Science,1,Male,89.17,25,67,8.88,Placed
1000303,Anna University,MCA,Marketing,1,Male,67.69,23,48,6.63,Placed
1000304,Mumbai University,B.Tech,Data Science,2,Male,93.34,28,36,5.51,Not Placed
1000305,Pune University,BBA,Marketing,1,Male,70.64,16,33,5.67,Not Placed
1000306,JNTU Hyderabad,MBA,Civil,1,Female,58.61,28,41,6.4,Not Placed
1000307,Delhi University,B.Sc,Computer Science,1,Female,68.25,16,56,7.01,Placed
1000308,Pune University,B.Tech,Mechanical,1,Male,63.29,12,21,9.61,Not Placed
1000309,Pune University,B.Com,Mechanical,1,Female,99.44,11,29,6.53,Not Placed
1000310,Delhi University,B.Sc,Mechanical,1,Male,78.53,23,35,8.93,Placed
1000311,Mumbai University,B.Tech,Marketing,4,Female,96.59,24,21,5.82,Placed
1000312,Anna University,B.Com,Mechanical,4,Female,97.48,28,35,9.69,Placed
1000313,Mumbai University,MBA,Finance,4,Male,95.93,11,22,5.67,Not Placed
1000314,Mumbai University,B.Com,Data Science,1,Male,79.73,19,51,7.99,Placed
1000315,Pune University,MBA,Marketing,1,Female,77.13,13,57,5.43,Placed
1000316,Anna University,B.Sc,Finance,3,Male,63.77,19,57,8.92,Placed
1000317,Pune University,B.Sc,Marketing,1,Female,74.28,24,30,5.28,Not Placed
1000318,JNTU Hyderabad,B.Tech,Mechanical,2,Female,92.8,15,32,7.57,Placed
1000319,Mumbai University,BBA,Finance,1,Male,87.03,22,25,4.07,Placed
1000320,Pune University,MCA,Computer Science,1,Female,84.67,11,49,4.34,Placed
1000321,JNTU Hyderabad,BBA,Marketing,2,Female,55.41,17,26,8.95,Placed
1000322,Anna University,BBA,Computer Science,1,Male,78.98,10,56,9.33,Placed
1000323,Mumbai University,MCA,Marketing,4,Female,66.84,15,22,9.44,Placed
1000324,JNTU Hyderabad,BBA,Marketing,1,Female,74.45,16,38,6.5,Placed
1000325,Anna University,B.Sc,Finance,4,Male,58.13,10,62,7.96,Placed
1000326,Delhi University,B.Tech,Mechanical,3,Male,93.15,14,21,9.51,Placed
