Date,City,State,Avg_Temperature_C,Rainfall_mm,Humidity_%,Wind_Speed_kmph,Weather_Type,Pressure_hPa
2018-05-04,Chicago,TX,8.2,7.16,48,8.5,Snow,992
2018-05-05,Phoenix,TX,14.8,13.35,83,11.8,Storm,1034
2018-05-06,Chicago,AZ,7.2,6.69,35,9.2,Sunny,1006
2018-05-07,Phoenix,IL,6.3,1.29,74,11.7,Snow,999
2018-05-08,Chicago,AZ,12.8,2.45,46,2.0,Cloudy,1006
2018-05-09,Houston,AZ,13.7,1.52,53,2.9,Sunny,1019
2018-05-10,Los Angeles,NY,11.0,4.56,79,4.1,Cloudy,992
2018-05-11,New York,CA,18.3,1.75,85,15.4,Cloudy,1012
2018-05-12,New York,CA,13.7,3.02,75,20.6,Rainy,1034
2018-05-13,Houston,TX,10.0,0.66,65,24.2,Snow,1004
2018-05-14,New York,TX,16.3,1.13,88,11.4,Cloudy,997
2018-05-15,Phoenix,TX,16.9,1.33,79,1.3,Sunny,997
2018-05-16,Houston,NY,16.1,3.22,34,17.3,Sunny,998
2018-05-17,Houston,CA,20.6,1.95,89,22.9,Rainy,1029
2018-05-18,Phoenix,CA,28.0,2.05,75,22.2,Rainy,985
2018-05-19,New York,IL,20.0,1.22,78,7.4,Sunny,1002
2018-05-20,New York,NY,27.4,0.79,30,11.1,Rainy,1027
2018-05-21,New York,CA,18.1,3.49,39,8.7,Snow,1017
2018-05-22,Los Angeles,CA,22.0,2.55,51,7.7,Sunny,997
2018-05-23,New York,NY,30.4,7.57,93,17.4,Rainy,1002
2018-05-24,Phoenix,NY,24.9,2.85,53,6.1,Sunny,1028
2018-05-25,Phoenix,TX,22.7,5.42,45,21.7,Sunny,1002
2018-05-26,Phoenix,TX,32.5,3.36,85,3.3,Sunny,994
2018-05-27,New York,CA,32.8,6.31,81,3.7,Sunny,985
2018-05-28,Houston,TX,32.6,2.05,88,19.6,Cloudy,1014
2018-05-29,Los Angeles,NY,36.0,0.22,31,22.1,Sunny,1025
2018-05-30,Phoenix,NY,23.3,6.36,77,6.5,Sunny,982
2018-05-31,Chicago,TX,28.9,1.01,31,19.1,Sunny,982
2018-06-01,New York,AZ,26.0,2.02,89,2.6,Sunny,1028
2018-06-02,Phoenix,TX,19.4,3.53,52,5.9,Sunny,1017
2018-06-03,Chicago,NY,24.7,3.2,77,21.6,Cloudy,991
2018-06-04,Phoenix,CA,25.8,5.38,87,9.2,Storm,1033
2018-06-05,Chicago,TX,26.9,2.26,67,14.0,Rainy,990
2018-06-06,Los Angeles,IL,23.6,0.35,66,2.4,Rainy,1006
2018-06-07,Los Angeles,TX,29.3,0.9,41,11.9,Snow,1033
2018-06-08,Phoenix,AZ,28.2,0.34,75,8.5,Rainy,999
2018-06-09,Houston,NY,25.6,7.51,32,20.5,Rainy,1033
2018-06-10,New York,CA,36.7,0.25,43,10.0,Cloudy,988
2018-06-11,Los Angeles,TX,23.2,0.67,79,3.8,Storm,1017
2018-06-12,Phoenix,IL,28.6,0.22,59,7.0,Sunny,1009
2018-06-13,Houston,IL,29.7,3.94,52,22.5,Sunny,1016
2018-06-14,Houston,NY,17.4,10.46,80,6.8,Sunny,982
2018-06-15,Chicago,NY,28.7,2.77,40,9.2,Rainy,1013
2018-06-16,Phoenix,NY,24.9,0.38,80,23.9,Sunny,991
2018-06-17,New York,AZ,27.8,0.62,40,12.9,Rainy,1026
2018-06-18,Houston,AZ,30.0,1.73,60,5.8,Storm,1009
2018-06-19,Houston,TX,39.4,0.51,66,22.1,Rainy,991
2018-06-20,Houston,IL,29.2,1.35,77,11.2,Snow,983
2018-06-21,Houston,AZ,31.1,6.29,81,8.6,Rainy,998
2018-06-22,Chicago,TX,29.2,0.18,90,4.4,Sunny,1013
2018-06-23,Phoenix,AZ,22.0,2.13,88,7.7,Sunny,997
2018-06-24,Chicago,AZ,22.1,1.99,67,14.4,Cloudy,993
2018-06-25,New York,CA,20.5,0.41,44,25.0,Rainy,996
2018-06-26,Phoenix,NY,34.3,10.65,65,24.6,Storm,1031
2018-06-27,Phoenix,IL,27.6,1.66,87,10.9,Rainy,1032
2018-06-28,Chicago,TX,31.2,2.07,62,5.0,Sunny,1004
2018-06-29,Chicago,AZ,18.5,1.63,77,10.1,Storm,1031
2018-06-30,Phoenix,NY,32.3,4.14,56,11.4,Cloudy,1002
2018-07-01,Chicago,IL,33.6,8.54,39,10.2,Cloudy,997
2018-07-02,New York,CA,30.2,0.44,35,13.6,Cloudy,993
2018-07-03,Phoenix,TX,31.9,5.84,65,19.1,Rainy,983
2018-07-04,Houston,NY,25.3,0.1,88,20.1,Storm,1015
2018-07-05,Phoenix,NY,30.7,3.03,86,5.3,Sunny,1024
2018-07-06,Phoenix,TX,22.1,0.91,83,22.1,Sunny,1009
2018-07-07,New York,CA,32.5,5.32,81,8.7,Rainy,1030
2018-07-08,Chicago,AZ,33.0,11.12,56,15.2,Cloudy,1022
2018-07-09,Phoenix,TX,27.8,0.86,45,20.4,Sunny,994
2018-07-10,Houston,CA,26.6,0.27,67,2.9,Rainy,1027
2018-07-11,New York,AZ,21.7,6.27,40,9.2,Rainy,1034
2018-07-12,New York,AZ,31.9,3.91,74,17.8,Snow,1021
2018-07-13,New York,NY,23.1,1.69,30,4.8,Storm,1020
2018-07-14,Houston,CA,35.7,11.83,43,13.8,Sunny,1026
2018-07-15,Houston,IL,27.1,4.75,54,11.1,Storm,1028
2018-07-16,New York,CA,25.6,5.95,85,8.9,Rainy,998
2018-07-17,New York,NY,19.5,0.97,45,19.8,Cloudy,1030
2018-07-18,Houston,AZ,31.7,2.46,60,3.6,Rainy,1025
2018-07-19,New York,AZ,18.4,3.26,41,22.7,Sunny,987
2018-07-20,Phoenix,IL,22.7,0.5,51,6.6,Sunny,1003
2018-07-21,Houston,TX,23.0,5.18,35,22.0,Sunny,997
2018-07-22,Houston,TX,21.7,0.65,71,7.8,Sunny,996
2018-07-23,Chicago,TX,17.9,2.25,91,12.2,Storm,989
2018-07-24,Los Angeles,NY,24.3,0.02,94,2.2,Storm,994
2018-07-25,Phoenix,CA,20.4,3.22,77,10.1,Sunny,1014
2018-07-26,New York,IL,16.2,1.86,42,23.9,Rainy,1032
2018-07-27,Houston,CA,25.6,0.61,71,23.2,Cloudy,986
2018-07-28,Houston,AZ,27.4,2.69,85,10.0,Rainy,992
2018-07-29,Chicago,IL,26.7,7.16,94,1.7,Sunny,997
2018-07-30,Houston,NY,20.3,4.16,59,10.8,Sunny,1034
2018-07-31,Phoenix,IL,22.1,2.14,33,7.2,Sunny,1007
2018-08-01,Phoenix,AZ,20.1,0.91,71,4.5,Sunny,1034
2018-08-02,Chicago,CA,22.4,4.74,80,11.6,Rainy,1004
2018-08-03,Chicago,TX,23.3,1.71,60,7.9,Rainy,987
2018-08-04,Houston,AZ,19.6,3.48,53,16.5,Cloudy,1022
2018-08-05,Chicago,AZ,20.3,0.46,79,14.8,Sunny,980
2018-08-06,New York,NY,22.9,0.06,63,1.4,Rainy,1031
2018-08-07,Phoenix,AZ,26.2,4.05,78,5.6,Rainy,997
2018-08-08,New York,IL,29.1,0.68,67,19.0,Rainy,1012
2018-08-09,Chicago,TX,35.6,1.66,44,24.4,Storm,985
2018-08-10,New York,IL,40.1,4.57,80,2.6,Sunny,1021
2018-08-11,Phoenix,AZ,27.7,0.42,46,9.3,Rainy,1012
2018-08-12,Houston,CA,31.1,1.98,70,10.5,Sunny,1022
2018-08-13,Houston,AZ,39.5,0.18,92,20.8,Rainy,999
2018-08-14,New York,NY,37.8,4.65,33,4.3,Sunny,1020
2018-08-15,Los Angeles,NY,30.1,1.46,71,16.2,Snow,1021
2018-08-16,New York,NY,31.6,0.75,78,11.7,Cloudy,1005
2018-08-17,New York,AZ,29.7,0.63,60,9.2,Cloudy,1013
2018-08-18,Phoenix,IL,34.6,6.34,94,17.2,Sunny,1030
2018-08-19,New York,NY,36.7,3.2,54,6.6,Cloudy,1028
2018-08-20,Houston,NY,39.7,3.54,48,5.4,Sunny,981
2018-08-21,Houston,NY,30.7,0.35,62,4.1,Cloudy,996
2018-08-22,New York,IL,40.7,0.87,34,1.6,Rainy,988
2018-08-23,Chicago,CA,30.7,3.78,87,23.3,Cloudy,1023
2018-08-24,New York,NY,28.5,0.91,89,16.8,Storm,982
2018-08-25,Houston,TX,38.7,0.91,67,3.1,Sunny,1022
2018-08-26,New York,NY,30.3,5.43,92,6.4,Sunny,1033
2018-08-27,Los Angeles,CA,33.7,0.8,36,4.4,Rainy,1007
2018-08-28,Los Angeles,AZ,27.3,10.24,31,10.6,Sunny,1011
2018-08-29,Los Angeles,AZ,35.0,6.04,66,14.7,Cloudy,1015
2018-08-30,New York,AZ,22.5,1.93,39,8.8,Sunny,986
2018-08-31,Phoenix,CA,23.1,2.47,51,12.9,Sunny,993
2018-09-01,Los Angeles,CA,27.9,0.04,38,5.8,Sunny,997
2018-09-02,Houston,NY,25.0,0.87,87,24.7,Snow,992
2018-09-03,New York,NY,39.3,0.92,78,8.1,Cloudy,1015
2018-09-04,Los Angeles,IL,31.5,1.08,54,6.9,Sunny,996
2018-09-05,Houston,IL,23.0,4.84,49,13.2,Sunny,1032
2018-09-06,Phoenix,NY,36.7,4.16,67,24.0,Cloudy,1031
2018-09-07,New York,IL,33.0,8.18,74,23.2,Rainy,1003
2018-09-08,Phoenix,TX,37.3,5.33,66,16.0,Storm,986
2018-09-09,New York,NY,38.7,0.74,74,23.1,Storm,990
2018-09-10,Houston,CA,39.0,0.36,41,17.4,Sunny,1016
2018-09-11,Phoenix,TX,39.6,0.36,54,8.8,Cloudy,1009
2018-09-12,Los Angeles,CA,43.4,4.57,83,11.6,Rainy,1032
2018-09-13,New York,CA,32.3,0.73,66,4.2,Cloudy,1030
2018-09-14,Chicago,IL,29.6,16.49,33,11.4,Cloudy,991
2018-09-15,Los Angeles,IL,29.5,1.6,59,24.2,Storm,988
2018-09-16,Los Angeles,AZ,29.6,7.0,66,20.4,Sunny,1023
2018-09-17,New York,IL,41.7,1.21,86,16.5,Snow,985
2018-09-18,New York,TX,31.2,0.66,68,20.7,Sunny,1013
2018-09-19,Los Angeles,AZ,40.1,2.69,69,10.9,Cloudy,1014
2018-09-20,Chicago,NY,41.7,2.95,65,20.4,Rainy,992
2018-09-21,Houston,NY,43.8,0.39,86,18.0,Rainy,1012
2018-09-22,New York,CA,39.9,2.69,49,20.9,Rainy,1012
2018-09-23,New York,NY,38.6,0.37,40,6.4,Cloudy,1025
2018-09-24,Phoenix,TX,50.8,2.33,91,13.5,Sunny,1017
2018-09-25,Los Angeles,NY,40.6,9.04,56,22.0,Storm,987
2018-09-26,Houston,CA,47.8,12.44,61,14.3,Sunny,1000
2018-09-27,New York,TX,36.8,1.17,89,12.1,Sunny,996
2018-09-28,Houston,NY,38.9,0.13,75,19.3,Snow,984
2018-09-29,Los Angeles,IL,43.8,2.0,41,20.0,Cloudy,1024
2018-09-30,New York,TX,37.6,1.73,93,11.1,Storm,987
2018-10-01,Los Angeles,TX,38.4,5.08,73,12.4,Sunny,988
2018-10-02,Los Angeles,CA,52.0,0.09,56,3.5,Sunny,992
2018-10-03,Phoenix,IL,39.9,2.96,70,14.4,Cloudy,994
2018-10-04,Chicago,CA,46.5,0.98,55,16.2,Rainy,1024
2018-10-05,New York,TX,51.9,5.77,44,22.1,Cloudy,991
2018-10-06,Houston,NY,53.4,3.22,66,9.3,Sunny,991
2018-10-07,Phoenix,AZ,45.1,0.54,92,18.3,Sunny,993
2018-10-08,New York,NY,48.9,1.91,75,15.6,Sunny,1012
2018-10-09,Los Angeles,CA,43.5,2.47,50,5.0,Sunny,1002
2018-10-10,Phoenix,IL,41.9,0.82,78,17.8,Sunny,1017
2018-10-11,Phoenix,AZ,45.0,4.27,64,14.0,Rainy,1011
2018-10-12,Phoenix,NY,45.0,4.25,83,14.2,Snow,1013
2018-10-13,New York,AZ,42.1,1.57,90,10.3,Cloudy,996
2018-10-14,Houston,TX,45.6,0.56,76,14.5,Sunny,1033
2018-10-15,Houston,CA,47.4,0.8,73,16.0,Rainy,991
2018-10-16,New York,NY,46.8,3.15,52,3.6,Storm,984
2018-10-17,Phoenix,TX,43.8,0.78,54,8.4,Cloudy,1000
2018-10-18,Houston,IL,39.8,0.95,45,21.4,Cloudy,1023
2018-10-19,New York,TX,44.4,3.29,30,2.3,Sunny,1002
2018-10-20,Houston,CA,35.7,1.75,41,6.8,Rainy,1023
2018-10-21,Phoenix,IL,45.3,0.15,42,14.6,Rainy,999
2018-10-22,Houston,IL,48.4,1.4,47,19.1,Cloudy,985
2018-10-23,Phoenix,CA,42.1,1.53,77,21.9,Cloudy,1023
2018-10-24,New York,NY,38.3,3.87,60,21.5,Sunny,987
2018-10-25,Phoenix,IL,48.8,2.46,38,21.2,Storm,984
2018-10-26,Houston,TX,37.4,6.52,44,21.5,Sunny,1029
2018-10-27,Chicago,CA,43.2,1.17,90,3.6,Cloudy,1022
2018-10-28,New York,IL,49.4,2.0,58,14.6,Cloudy,999
2018-10-29,New York,CA,48.2,11.29,82,18.3,Storm,1034
2018-10-30,Houston,AZ,51.7,15.28,30,9.3,Sunny,991
2018-10-31,Chicago,IL,47.3,4.03,94,2.2,Storm,1023
2018-11-01,Houston,NY,44.0,5.91,93,6.0,Rainy,986
2018-11-02,Phoenix,NY,51.6,1.2,64,16.0,Sunny,1033
2018-11-03,New York,NY,53.8,0.64,61,11.3,Rainy,1010
2018-11-04,Los Angeles,IL,54.6,2.37,43,10.1,Sunny,1021
2018-11-05,Chicago,NY,56.3,3.44,31,15.5,Snow,1008
2018-11-06,Chicago,AZ,53.8,0.85,87,10.3,Cloudy,1005
2018-11-07,Chicago,AZ,55.4,12.94,56,13.0,Rainy,983
2018-11-08,New York,CA,60.6,0.12,51,2.5,Storm,1021
2018-11-09,Chicago,CA,52.2,3.29,58,23.0,Rainy,1017
2018-11-10,Phoenix,TX,46.1,4.49,60,18.8,Rainy,1020
2018-11-11,Phoenix,TX,55.4,2.84,72,17.8,Cloudy,989
2018-11-12,New York,AZ,45.0,1.27,57,11.6,Snow,991
2018-11-13,Phoenix,TX,47.9,0.13,78,6.9,Sunny,984
2018-11-14,Houston,AZ,48.4,1.22,48,18.7,Cloudy,994
2018-11-15,Houston,IL,52.9,1.3,84,5.4,Rainy,997
2018-11-16,Chicago,IL,55.1,1.92,51,23.9,Cloudy,980
2018-11-17,New York,AZ,56.0,1.74,69,8.8,Cloudy,992
2018-11-18,Los Angeles,CA,42.9,11.28,91,24.3,Sunny,1028
2018-11-19,Chicago,AZ,44.5,0.33,45,2.2,Storm,1001
2018-11-20,New York,NY,52.0,23.15,82,20.1,Sunny,1032
2018-11-21,Houston,TX,52.4,1.17,51,2.8,Storm,989
2018-11-22,New York,CA,43.1,4.01,47,15.6,Storm,1034
2018-11-23,Houston,TX,47.3,4.21,65,10.5,Rainy,998
2018-11-24,Houston,AZ,46.1,2.17,41,21.5,Sunny,1033
2018-11-25,Los Angeles,CA,42.3,0.92,32,14.7,Rainy,1022
2018-11-26,Phoenix,NY,34.2,2.85,41,13.4,Rainy,1034
2018-11-27,Chicago,TX,38.5,2.58,46,2.9,Storm,988
2018-11-28,Los Angeles,IL,37.8,1.55,40,11.8,Cloudy,1031
2018-11-29,Chicago,NY,33.7,2.8,78,10.9,Cloudy,990
2018-11-30,Houston,AZ,39.7,10.97,46,3.3,Rainy,1003
2018-12-01,Los Angeles,TX,30.5,2.62,68,3.9,Sunny,987
2018-12-02,Chicago,TX,26.7,4.72,87,4.9,Cloudy,1009
2018-12-03,Los Angeles,TX,37.5,1.54,48,2.2,Storm,1016
2018-12-04,Los Angeles,TX,29.1,2.77,72,21.0,Sunny,988
2018-12-05,Chicago,NY,39.6,0.24,86,8.2,Sunny,999
2018-12-06,Chicago,NY,30.7,0.48,93,9.0,Snow,1003
2018-12-07,Chicago,CA,37.2,4.76,59,2.1,Rainy,1002
2018-12-08,Chicago,NY,30.7,0.42,46,16.5,Sunny,997
2018-12-09,New York,NY,35.0,1.0,44,17.1,Storm,1017
2018-12-10,Phoenix,AZ,32.8,0.6,88,18.5,Snow,997
2018-12-11,Chicago,AZ,42.9,3.03,78,16.3,Sunny,998
2018-12-12,Chicago,TX,29.5,6.6,51,20.7,Sunny,1008
2018-12-13,Houston,CA,41.2,10.71,72,20.2,Rainy,1014
2018-12-14,Los Angeles,IL,38.6,0.97,57,19.0,Cloudy,1014
2018-12-15,New York,NY,40.0,2.63,49,19.1,Storm,994
2018-12-16,Phoenix,NY,37.2,0.95,71,7.4,Sunny,1030
2018-12-17,Los Angeles,CA,30.8,1.07,92,4.6,Cloudy,981
2018-12-18,Chicago,TX,34.7,0.9,78,2.1,Cloudy,1013
2018-12-19,Chicago,CA,42.2,4.06,61,9.0,Sunny,1016
2018-12-20,Los Angeles,AZ,38.0,13.4,45,24.1,Cloudy,1033
2018-12-21,Phoenix,CA,45.4,1.75,56,18.8,Cloudy,1005
2018-12-22,Los Angeles,AZ,42.0,2.15,60,9.6,Rainy,1024
2018-12-23,Phoenix,IL,42.8,5.85,59,19.6,Storm,985
2018-12-24,Los Angeles,NY,40.6,8.23,81,5.4,Cloudy,1013
2018-12-25,New York,TX,31.1,1.87,92,14.1,Rainy,1007
2018-12-26,Houston,IL,34.6,0.92,63,6.7,Sunny,1023
2018-12-27,Chicago,IL,30.4,1.68,60,19.6,Sunny,998
2018-12-28,Phoenix,TX,36.0,5.02,81,1.9,Sunny,981
2018-12-29,Los Angeles,NY,30.1,3.09,77,9.2,Sunny,1017
2018-12-30,Phoenix,CA,32.9,0.13,56,2.2,Rainy,983
2018-12-31,Houston,CA,36.9,6.27,94,19.7,Sunny,1000
2019-01-01,Los Angeles,NY,39.0,3.32,44,2.2,Sunny,1032
2019-01-02,Phoenix,NY,40.1,1.11,63,6.2,Storm,1011
2019-01-03,Phoenix,NY,40.4,1.18,68,11.7,Snow,1009
2019-01-04,Houston,IL,40.2,1.19,88,2.8,Sunny,988
2019-01-05,Chicago,AZ,28.3,5.48,63,5.9,Rainy,996
2019-01-06,Phoenix,TX,37.6,0.45,85,17.2,Rainy,983
2019-01-07,New York,CA,40.9,0.06,69,10.7,Rainy,1033
2019-01-08,Los Angeles,IL,32.5,5.19,71,18.8,Sunny,986
2019-01-09,Chicago,CA,40.2,0.99,64,10.3,Cloudy,1013
2019-01-10,New York,TX,49.3,1.38,41,20.1,Snow,1014
2019-01-11,Chicago,IL,42.9,4.4,33,23.1,Rainy,1025
