Ride_ID,Driver_ID,Rider_ID,City,Ride_Type,Distance_km,Ride_Duration_Min,Fare_Amount,Payment_Mode,Ride_Status
900027,98111,85689,Pune,Mini,39.02,11,2031,Debit Card,Completed
900028,77355,92231,Hyderabad,Auto,24.14,94,817,Debit Card,Completed
900029,74229,85005,Delhi,Sedan,18.0,33,1039,Debit Card,Completed
900030,82420,60037,Mumbai,SUV,45.48,92,2335,Cash,Completed
900031,25852,52479,Delhi,Auto,16.35,45,1516,UPI,Completed
900032,45902,94510,Hyderabad,Auto,35.54,7,909,Credit Card,Completed
900033,19745,82149,Bengaluru,Mini,20.69,33,1689,Credit Card,Completed
900034,94041,63460,Bengaluru,Auto,34.6,91,1915,Cash,Completed
900035,56240,52694,Mumbai,SUV,2.74,43,1831,UPI,Completed
900036,49151,50051,Pune,SUV,13.7,116,411,Cash,Completed
900037,71609,99006,Pune,Mini,32.8,25,498,Debit Card,Completed
900038,94835,75063,Delhi,Sedan,35.56,9,1233,Cash,Completed
900039,40618,86171,Chennai,SUV,21.85,92,1328,UPI,Completed
900040,59925,77251,Bengaluru,Sedan,42.57,107,429,Credit Card,Completed
900041,20592,83289,Hyderabad,Auto,3.51,27,293,Debit Card,Completed
900042,69132,74629,Delhi,SUV,41.77,48,2439,UPI,Completed
900043,81387,96863,Chennai,Sedan,9.97,54,2109,Cash,Completed
900044,42001,82564,Chennai,Sedan,15.28,87,2167,UPI,Completed
900045,36028,94352,Chennai,SUV,21.85,107,2173,UPI,Completed
900046,19035,97915,Pune,Mini,7.08,63,2074,Debit Card,Completed
900047,42779,72965,Chennai,SUV,17.31,36,1957,Cash,Completed
900048,21997,85460,Pune,Auto,40.8,110,1222,UPI,Completed
900049,97921,90633,Delhi,SUV,6.7,36,1031,Cash,Completed
900050,29579,55706,Chennai,Sedan,3.2,106,1818,Debit Card,Completed
900051,96284,80490,Mumbai,SUV,27.99,86,1545,Cash,Cancelled
900052,90973,79398,Pune,Mini,42.84,76,980,Debit Card,Cancelled
900053,31987,58271,Delhi,Auto,1.53,97,2122,Credit Card,Completed
900054,27496,79862,Hyderabad,Mini,10.48,17,1439,Cash,Completed
900055,72952,55909,Pune,Sedan,4.31,61,1596,Cash,Completed
900056,15577,70850,Mumbai,Sedan,23.87,67,856,Debit Card,Completed
900057,27010,50454,Hyderabad,Mini,20.08,59,338,UPI,Completed
900058,83209,99058,Hyderabad,Auto,26.51,30,1116,Cash,Completed
900059,55032,87574,Delhi,Mini,37.4,31,256,Cash,Completed
900060,70171,73680,Hyderabad,Auto,29.75,35,2264,Cash,Completed
900061,31504,66067,Bengaluru,Sedan,2.08,15,1001,Cash,Completed
900062,39335,92636,Mumbai,Mini,22.14,21,2394,Cash,Completed
900063,35021,53210,Bengaluru,SUV,45.35,17,128,Debit Card,Completed
900064,46363,86850,Pune,Mini,32.3,97,1440,Cash,Completed
900065,14210,63552,Pune,Auto,14.24,48,2237,Debit Card,Completed
900066,91392,65923,Chennai,Auto,11.11,32,1120,Credit Card,Completed
900067,43149,71179,Hyderabad,Auto,34.84,109,2242,Cash,Completed
900068,24320,77051,Chennai,SUV,28.12,35,1049,Debit Card,Completed
900069,60626,83912,Mumbai,Sedan,34.28,62,2393,UPI,Completed
900070,43875,96097,Bengaluru,Auto,39.93,20,1161,UPI,Completed
900071,87884,89696,Mumbai,Auto,28.01,90,1305,Cash,Completed
900072,14200,97505,Chennai,Auto,45.13,35,328,Credit Card,Completed
900073,72074,50659,Chennai,SUV,47.77,86,245,UPI,Completed
900074,46259,65767,Hyderabad,Sedan,39.3,34,1211,Cash,Completed
900075,71621,58952,Delhi,Auto,41.78,71,1678,Cash,Completed
900076,61308,56207,Hyderabad,Auto,2.13,30,80,UPI,Completed
900077,82609,70067,Bengaluru,Mini,42.53,92,672,Cash,Cancelled
900078,94013,89110,Bengaluru,Auto,43.48,11,937,UPI,Completed
900079,45165,78339,Bengaluru,Sedan,34.62,21,2139,Credit Card,Completed
900080,87247,72214,Pune,SUV,15.14,54,1046,Cash,Completed
900081,24782,71375,Hyderabad,Sedan,5.58,51,1591,Debit Card,Completed
900082,62811,88247,Delhi,Sedan,17.48,17,723,Cash,Completed
900083,36462,98945,Hyderabad,Auto,30.54,77,84,Cash,Completed
900084,78332,74664,Delhi,SUV,12.76,86,1706,Debit Card,Completed
900085,58983,72832,Mumbai,Auto,40.19,102,1494,UPI,Completed
900086,56774,89655,Chennai,SUV,23.19,10,2147,Cash,Completed
900087,24634,74009,Chennai,Mini,13.86,71,261,Debit Card,Completed
900088,32875,78010,Delhi,Sedan,5.39,95,1628,UPI,Completed
900089,30645,95271,Mumbai,Mini,2.96,104,195,UPI,Cancelled
900090,35760,99786,Pune,SUV,16.48,75,513,UPI,Completed
900091,37523,66515,Hyderabad,Auto,7.2,19,583,UPI,Completed
900092,47148,72911,Hyderabad,SUV,31.04,46,1486,Cash,Completed
900093,35517,95990,Delhi,Auto,32.71,48,424,UPI,Cancelled
900094,12235,96949,Pune,Sedan,28.82,113,2289,UPI,Completed
900095,21589,76992,Pune,Sedan,33.76,119,2393,Debit Card,Cancelled
900096,70333,91637,Delhi,Auto,31.17,34,1681,UPI,Completed
900097,29879,65118,Delhi,Auto,35.07,12,894,Debit Card,Completed
900098,22472,70928,Mumbai,Sedan,13.56,104,1803,Credit Card,Completed
900099,17544,96526,Bengaluru,SUV,46.54,83,2365,Cash,Completed
900100,74546,61664,Pune,SUV,5.84,104,1373,Cash,Completed
900101,17732,94284,Pune,Sedan,23.89,6,1693,Credit Card,Completed
900102,32176,57582,Pune,Mini,39.32,77,748,Cash,Completed
900103,97784,88477,Pune,Sedan,1.74,110,1035,Cash,Completed
900104,86571,93896,Mumbai,Sedan,14.55,49,1297,Credit Card,Completed
900105,66640,72138,Bengaluru,Mini,4.66,20,1471,Credit Card,Completed
900106,42334,94565,Mumbai,Sedan,21.21,8,2322,Credit Card,Completed
900107,60537,54408,Delhi,Mini,28.9,29,963,UPI,Completed
900108,21578,72260,Chennai,Mini,44.98,5,2498,UPI,Completed
900109,23688,97943,Pune,Auto,25.09,81,553,Cash,Completed
900110,27124,60455,Delhi,SUV,26.22,54,2409,Credit Card,Completed
900111,85409,63655,Pune,Sedan,4.87,101,1075,Debit Card,Cancelled
900112,75549,81505,Pune,Auto,45.8,81,1799,Debit Card,Completed
900113,94208,54613,Chennai,Sedan,38.45,26,2051,Cash,Completed
900114,76073,73131,Chennai,Auto,35.47,25,1526,Debit Card,Completed
900115,38042,58558,Bengaluru,SUV,24.51,36,2117,UPI,Completed
900116,44975,92753,Mumbai,Sedan,5.25,81,718,UPI,Completed
900117,53930,74309,Bengaluru,Sedan,11.32,87,2273,UPI,Completed
900118,78087,97948,Delhi,Sedan,1.04,81,1188,Cash,Completed
900119,91430,67563,Bengaluru,Auto,19.39,92,370,Cash,Completed
900120,27004,67061,Pune,Sedan,11.41,8,425,UPI,Completed
900121,58481,84964,Bengaluru,Mini,5.28,62,1000,Debit Card,Completed
900122,60036,93851,Chennai,SUV,17.02,103,2077,Cash,Cancelled
900123,70454,81788,Pune,Mini,48.45,56,2076,UPI,Completed
900124,31240,76130,Bengaluru,Auto,13.8,73,1970,Debit Card,Completed
900125,97442,50574,Chennai,Auto,30.79,49,1458,Credit Card,Cancelled
900126,53597,68624,Hyderabad,Sedan,20.5,75,1024,UPI,Completed
900127,34283,92447,Bengaluru,Mini,18.19,81,847,UPI,Completed
900128,98253,82702,Bengaluru,Mini,48.27,92,2440,Credit Card,Completed
900129,60430,97218,Mumbai,Auto,10.08,91,1565,Debit Card,Completed
900130,88978,97922,Hyderabad,Auto,14.89,87,1649,Credit Card,Completed
900131,99127,76558,Pune,Mini,25.52,94,775,UPI,Completed
900132,97778,87778,Chennai,Sedan,11.65,50,415,Debit Card,Cancelled
900133,13715,53197,Pune,Sedan,4.6,65,2301,Cash,Completed
900134,87391,55146,Hyderabad,Auto,11.88,41,1321,Cash,Completed
900135,33807,59776,Mumbai,Auto,13.83,103,1993,Credit Card,Completed
900136,70510,84068,Chennai,Sedan,42.03,51,2464,Debit Card,Completed
900137,71597,79271,Mumbai,SUV,19.44,43,2005,Credit Card,Completed
900138,44634,61548,Pune,SUV,5.69,19,687,Debit Card,Completed
900139,60394,98230,Bengaluru,Mini,37.65,114,921,UPI,Completed
900140,88790,91139,Pune,Auto,8.53,32,1063,Debit Card,Completed
900141,43185,70570,Delhi,SUV,49.02,115,1650,Cash,Completed
900142,87662,86933,Hyderabad,SUV,44.34,58,921,Cash,Completed
900143,87758,88887,Bengaluru,Sedan,11.13,81,861,Cash,Completed
900144,81494,69975,Hyderabad,SUV,1.59,57,167,UPI,Completed
900145,87455,65148,Delhi,SUV,35.26,75,2168,UPI,Completed
900146,76687,98578,Mumbai,Mini,21.93,56,1663,UPI,Completed
900147,33775,89211,Bengaluru,Mini,3.13,28,123,UPI,Completed
900148,47955,60720,Bengaluru,Auto,28.52,51,1490,Debit Card,Completed
900149,35803,82762,Delhi,SUV,12.22,27,1849,UPI,Completed
900150,49034,52824,Mumbai,Auto,4.02,83,444,UPI,Completed
900151,25260,97844,Bengaluru,SUV,15.66,5,432,UPI,Completed
900152,21462,58668,Pune,Auto,3.44,22,1898,Cash,Completed
900153,24633,66198,Pune,SUV,46.5,94,868,Debit Card,Completed
900154,87657,92485,Pune,Auto,25.21,63,313,UPI,Completed
900155,31653,60291,Mumbai,SUV,34.39,100,1391,UPI,Cancelled
900156,12565,93406,Pune,Mini,36.98,112,1917,Cash,Completed
900157,44032,69244,Bengaluru,Auto,37.49,63,461,UPI,Completed
900158,88946,58667,Mumbai,Auto,6.95,11,1266,Debit Card,Completed
900159,43212,77672,Pune,Auto,28.45,5,119,Credit Card,Completed
900160,64912,96850,Delhi,SUV,22.57,100,2157,Debit Card,Completed
900161,86870,96736,Chennai,Sedan,3.06,40,1879,UPI,Completed
900162,56999,95682,Delhi,Sedan,43.33,109,1543,Debit Card,Cancelled
900163,57378,84695,Delhi,Mini,43.02,87,2285,Credit Card,Completed
900164,90136,54938,Mumbai,Mini,30.8,112,1010,Credit Card,Cancelled
900165,58662,53372,Chennai,Sedan,27.88,94,1461,Credit Card,Completed
900166,90603,80528,Hyderabad,Mini,1.41,69,1809,Debit Card,Completed
900167,88962,60488,Chennai,SUV,27.6,105,1671,Cash,Cancelled
900168,99717,77545,Hyderabad,Sedan,48.29,78,730,Cash,Completed
900169,36541,80780,Bengaluru,Mini,8.12,35,2012,Cash,Completed
900170,78815,81198,Mumbai,Auto,22.75,97,1766,UPI,Completed
900171,25361,60231,Bengaluru,Sedan,7.71,17,308,Credit Card,Completed
900172,73127,77262,Bengaluru,Mini,35.25,107,1433,UPI,Completed
900173,87653,60241,Pune,Sedan,4.9,72,1847,UPI,Completed
900174,23237,53167,Pune,Auto,47.53,96,1474,Credit Card,Completed
900175,54280,84463,Delhi,Sedan,32.62,47,1366,Debit Card,Cancelled
900176,45155,82600,Pune,Sedan,9.6,45,1656,Credit Card,Completed
900177,84913,82398,Mumbai,Sedan,33.24,22,167,Cash,Completed
900178,37082,82275,Chennai,Mini,39.72,24,1268,Credit Card,Cancelled
900179,72597,61839,Chennai,Mini,36.82,116,1059,UPI,Completed
900180,77997,95097,Chennai,Auto,1.77,71,563,Credit Card,Completed
900181,29274,91348,Bengaluru,SUV,15.51,92,1792,Credit Card,Completed
900182,93728,83064,Hyderabad,Mini,22.17,59,83,Credit Card,Completed
900183,83367,77940,Bengaluru,Sedan,22.09,58,2088,Credit Card,Completed
900184,45127,56131,Delhi,Mini,25.28,56,332,Cash,Completed
900185,47348,88845,Delhi,Sedan,32.64,96,2471,UPI,Completed
900186,74943,90136,Hyderabad,Mini,48.19,99,1587,Debit Card,Completed
900187,56512,93642,Chennai,Auto,35.15,22,1766,Credit Card,Completed
900188,30841,72302,Chennai,Sedan,11.03,82,2197,UPI,Completed
900189,33193,96812,Bengaluru,Sedan,24.65,8,1470,Debit Card,Completed
900190,94942,73957,Pune,SUV,40.92,111,998,Credit Card,Completed
900191,36130,97051,Delhi,SUV,49.45,102,882,Cash,Completed
900192,80976,76613,Mumbai,SUV,46.82,77,1029,Credit Card,Completed
900193,47614,88066,Mumbai,Auto,33.38,86,516,Debit Card,Completed
900194,34129,93918,Bengaluru,Mini,5.14,97,1770,Debit Card,Completed
900195,97671,83167,Pune,Auto,44.41,106,1373,Cash,Completed
900196,20335,97480,Mumbai,SUV,41.63,107,2157,Debit Card,Cancelled
900197,20599,85899,Mumbai,SUV,24.76,14,1003,Debit Card,Completed
900198,39330,81845,Hyderabad,Auto,25.76,82,1191,Credit Card,Completed
900199,71506,52919,Mumbai,Auto,13.83,20,2245,Debit Card,Completed
900200,75779,65549,Bengaluru,SUV,47.6,13,1404,Credit Card,Completed
900201,56238,93812,Delhi,Auto,33.55,89,1900,Credit Card,Completed
900202,70432,73856,Mumbai,SUV,29.17,102,80,Debit Card,Completed
900203,41709,83372,Mumbai,Mini,26.08,36,624,Credit Card,Completed
900204,39330,80457,Hyderabad,SUV,18.41,53,1606,Credit Card,Completed
900205,50069,71573,Delhi,Auto,49.07,103,938,Credit Card,Completed
900206,33425,71600,Hyderabad,SUV,1.18,36,1394,UPI,Completed
900207,87230,71674,Chennai,Sedan,37.31,86,1188,Cash,Completed
900208,23797,64819,Chennai,Sedan,31.63,85,1268,Credit Card,Completed
900209,62636,77474,Delhi,Auto,14.36,115,892,Credit Card,Completed
900210,40918,53415,Pune,Auto,7.41,77,783,Debit Card,Completed
900211,28053,62967,Hyderabad,Sedan,42.91,16,577,Cash,Cancelled
900212,64212,58676,Chennai,Auto,29.0,110,955,UPI,Completed
900213,47603,78335,Pune,SUV,13.65,82,1125,UPI,Completed
900214,65841,57714,Mumbai,SUV,14.01,57,2322,Cash,Completed
900215,23508,50337,Pune,Sedan,14.64,33,578,UPI,Completed
900216,53562,61189,Hyderabad,Mini,13.04,16,640,Cash,Completed
900217,37933,68673,Chennai,Auto,22.62,14,1308,Cash,Completed
900218,23432,68926,Mumbai,Sedan,18.91,12,274,Debit Card,Completed
900219,65534,63144,Delhi,Sedan,31.25,115,842,Credit Card,Completed
900220,94220,72726,Bengaluru,SUV,39.08,24,1628,Cash,Completed
900221,19230,50507,Delhi,SUV,30.57,65,415,Debit Card,Completed
900222,42275,55940,Pune,Sedan,5.1,61,2430,UPI,Completed
900223,42269,62342,Chennai,Mini,44.69,41,551,Debit Card,Completed
900224,59547,66623,Delhi,SUV,30.27,31,636,Debit Card,Completed
900225,30326,61518,Hyderabad,Sedan,27.27,36,1515,UPI,Completed
900226,49911,62205,Mumbai,Auto,25.0,71,776,Credit Card,Completed
900227,59753,82463,Delhi,Mini,12.77,87,2251,Cash,Completed
900228,94870,72165,Pune,Auto,36.95,73,2268,UPI,Completed
900229,14443,51598,Hyderabad,Auto,47.42,24,1617,Credit Card,Cancelled
900230,66033,59485,Chennai,SUV,36.5,11,1526,Credit Card,Completed
900231,24760,83492,Delhi,Mini,36.66,32,934,Debit Card,Completed
900232,13140,67873,Hyderabad,Auto,35.83,106,333,Credit Card,Completed
900233,46962,65250,Delhi,Mini,41.1,20,1010,Credit Card,Completed
900234,52850,79900,Delhi,Auto,6.68,98,1297,UPI,Completed
900235,25910,73798,Bengaluru,Mini,46.27,85,491,UPI,Completed
900236,74513,77059,Hyderabad,Auto,46.59,31,1563,Cash,Completed
900237,75040,94140,Pune,Mini,2.06,95,500,Cash,Completed
900238,93398,64208,Pune,Mini,27.52,6,804,Credit Card,Completed
900239,48528,71105,Chennai,Mini,43.67,115,1667,Cash,Completed
900240,77285,55085,Delhi,Sedan,23.81,56,2302,Debit Card,Completed
900241,36348,87507,Mumbai,SUV,9.74,78,181,UPI,Completed
900242,39889,63669,Mumbai,Auto,44.71,45,1665,Cash,Completed
900243,73811,73642,Hyderabad,Auto,45.2,94,1079,Cash,Completed
900244,86255,58996,Delhi,SUV,42.56,45,153,Cash,Completed
900245,37849,64309,Hyderabad,Sedan,24.08,16,1946,Debit Card,Cancelled
900246,25476,51740,Mumbai,Sedan,31.42,42,2074,Cash,Completed
900247,59249,58145,Mumbai,Sedan,12.71,49,2280,Debit Card,Completed
900248,23303,92695,Pune,Sedan,28.51,115,685,Debit Card,Cancelled
900249,24935,52899,Mumbai,Mini,19.89,23,1526,Debit Card,Completed
900250,69448,67404,Delhi,SUV,38.5,102,658,Cash,Completed
900251,69112,97866,Chennai,Mini,29.29,93,1876,UPI,Completed
900252,22458,85629,Hyderabad,Sedan,24.43,79,1122,Debit Card,Completed
900253,59644,92458,Chennai,Sedan,30.32,90,277,UPI,Completed
900254,19421,66288,Chennai,Mini,28.53,94,384,UPI,Completed
900255,77674,50579,Pune,SUV,30.8,65,2264,UPI,Completed
900256,96462,98961,Hyderabad,Mini,25.26,67,1875,Cash,Completed
900257,18265,56894,Hyderabad,SUV,39.85,10,2333,Debit Card,Cancelled
900258,10589,58692,Mumbai,Auto,33.0,12,712,Credit Card,Completed
900259,66448,96070,Delhi,Sedan,25.18,118,1615,UPI,Completed
900260,35371,87971,Pune,SUV,20.29,62,495,Debit Card,Completed
900261,96262,57431,Pune,Auto,13.46,64,1589,UPI,Completed
900262,29084,88879,Hyderabad,Auto,25.75,5,2450,Cash,Completed
900263,21295,83028,Chennai,Mini,22.42,75,2474,Debit Card,Completed
900264,31503,91609,Pune,Sedan,29.33,94,1003,UPI,Completed
900265,44416,63246,Chennai,Sedan,37.16,58,1038,Debit Card,Completed
900266,15230,72102,Hyderabad,SUV,39.6,69,1663,Credit Card,Completed
900267,49627,60444,Chennai,Mini,2.61,84,1901,Cash,Completed
900268,90666,59762,Mumbai,Mini,39.59,77,700,UPI,Completed
900269,65702,57370,Pune,SUV,49.84,87,1035,Credit Card,Completed
900270,53944,64007,Bengaluru,SUV,47.56,11,918,Debit Card,Completed
900271,27484,78966,Chennai,Auto,11.05,87,446,Credit Card,Completed
900272,15499,79692,Hyderabad,Mini,40.31,57,1588,Credit Card,Completed
900273,24949,61573,Chennai,SUV,8.86,81,1963,Debit Card,Completed
900274,69551,60469,Mumbai,Auto,1.71,32,836,Credit Card,Completed
900275,21174,92536,Chennai,Sedan,31.29,50,770,Credit Card,Completed
900276,12303,74180,Delhi,Sedan,47.73,41,544,Credit Card,Completed
900277,29538,71932,Hyderabad,Sedan,40.62,60,2083,Cash,Completed
900278,60215,70804,Hyderabad,Auto,10.25,111,1904,Debit Card,Completed
900279,13910,58401,Mumbai,Sedan,9.39,46,145,Debit Card,Completed
900280,59963,91818,Chennai,Sedan,18.33,18,2371,Debit Card,Cancelled
900281,76584,84784,Chennai,Mini,8.5,14,1176,UPI,Completed
900282,94723,72138,Mumbai,Sedan,14.82,103,2246,Debit Card,Completed
900283,87682,86591,Hyderabad,Auto,12.68,27,1212,Debit Card,Completed
900284,74231,83432,Mumbai,Mini,47.14,114,2058,Cash,Completed
900285,52090,55101,Hyderabad,Auto,32.55,42,2074,Credit Card,Completed
900286,22748,72559,Bengaluru,Auto,42.61,46,695,Credit Card,Cancelled
900287,66351,63784,Delhi,SUV,42.1,110,1176,Debit Card,Completed
900288,75686,62891,Hyderabad,Auto,6.1,97,2075,UPI,Completed
900289,33459,56387,Mumbai,Mini,6.51,7,516,Cash,Completed
900290,53971,96807,Chennai,SUV,15.93,77,478,Cash,Cancelled
900291,19665,79866,Pune,SUV,24.03,87,2007,Cash,Completed
900292,95392,91245,Pune,Mini,35.42,106,1841,Debit Card,Completed
900293,84882,58590,Delhi,Mini,30.94,5,1204,Credit Card,Cancelled
900294,54292,83505,Bengaluru,Mini,34.58,17,414,UPI,Completed
900295,59476,67646,Chennai,Mini,3.49,9,1016,Credit Card,Cancelled
900296,85629,81672,Pune,Mini,19.11,12,2321,UPI,Completed
900297,93916,93775,Hyderabad,Mini,8.68,76,185,Credit Card,Completed
900298,66236,69015,Bengaluru,Sedan,5.87,77,711,Debit Card,Completed
900299,55879,64876,Hyderabad,Mini,32.18,50,2354,Debit Card,Completed
900300,29943,82779,Bengaluru,SUV,36.45,20,1759,Debit Card,Cancelled
900301,67647,68118,Bengaluru,Sedan,12.25,84,2193,Credit Card,Completed
900302,10989,69654,Chennai,Sedan,1.65,27,2276,UPI,Completed
900303,99612,80954,Chennai,Sedan,28.61,54,2001,UPI,Completed
900304,35985,74002,Bengaluru,Sedan,49.96,96,1714,Cash,Completed
900305,43669,92869,Chennai,Sedan,37.51,55,602,Debit Card,Cancelled
900306,21524,82172,Chennai,Mini,36.48,53,239,UPI,Completed
900307,40007,84052,Chennai,Sedan,45.11,67,1917,UPI,Completed
900308,80137,53140,Bengaluru,Sedan,7.33,92,584,Debit Card,Completed
900309,67620,84289,Chennai,Mini,45.9,60,1996,Credit Card,Completed
900310,86208,82965,Hyderabad,Auto,21.84,97,161,Debit Card,Completed
900311,65626,64505,Pune,Auto,9.27,109,1332,Credit Card,Completed
900312,93944,53106,Mumbai,Sedan,44.56,18,687,Debit Card,Completed
900313,40260,83154,Pune,Auto,16.11,105,586,Debit Card,Completed
900314,62102,78451,Chennai,Auto,20.18,69,1073,Debit Card,Completed
900315,13512,54908,Mumbai,Auto,48.36,76,736,Debit Card,Completed
900316,18404,59750,Pune,SUV,47.61,73,675,Debit Card,Completed
900317,40171,53012,Bengaluru,SUV,19.79,101,974,Debit Card,Completed
900318,86027,52264,Hyderabad,SUV,7.68,57,2267,Debit Card,Completed
900319,25507,68225,Hyderabad,SUV,23.5,52,518,Cash,Completed
900320,12114,60367,Hyderabad,Mini,7.82,119,1364,UPI,Completed
900321,17416,98320,Hyderabad,Auto,13.46,102,2425,Credit Card,Completed
900322,65105,96607,Mumbai,Mini,46.41,89,1487,UPI,Completed
900323,60441,76026,Pune,Auto,49.42,53,2379,Cash,Completed
900324,17759,62385,Bengaluru,Mini,20.17,33,2353,UPI,Completed
900325,64635,75044,Delhi,Mini,7.88,97,1148,UPI,Completed
900326,93002,50246,Mumbai,Mini,7.19,107,636,Credit Card,Completed
900327,75316,84216,Hyderabad,Mini,33.56,49,1799,Cash,Completed
900328,17327,80392,Hyderabad,SUV,42.84,97,2323,Cash,Completed
900329,30420,97411,Chennai,Auto,26.24,101,1157,Credit Card,Completed
900330,87583,95206,Bengaluru,Sedan,36.65,38,1185,Credit Card,Completed
900331,38468,91601,Hyderabad,Auto,3.62,74,844,Cash,Completed
900332,30265,55569,Bengaluru,Sedan,30.9,94,577,Credit Card,Completed
900333,71162,76893,Bengaluru,Mini,30.3,103,2344,Credit Card,Completed
900334,15484,97124,Hyderabad,Sedan,19.09,13,273,UPI,Completed
900335,85034,86054,Hyderabad,Mini,29.35,52,644,Debit Card,Completed
900336,95688,65014,Mumbai,Auto,14.46,43,1402,Credit Card,Completed
900337,60057,52071,Mumbai,Sedan,38.09,52,1520,Cash,Completed
900338,12796,58196,Pune,Mini,37.2,44,1511,Cash,Completed
900339,56494,89131,Bengaluru,SUV,10.67,17,112,Cash,Cancelled
900340,49684,61847,Hyderabad,Sedan,43.84,61,2003,Credit Card,Completed
900341,50659,84826,Delhi,Mini,13.18,108,2321,Credit Card,Completed
900342,84285,92122,Mumbai,SUV,43.68,119,860,Credit Card,Completed
900343,35046,90132,Mumbai,Mini,13.63,70,759,Cash,Completed
900344,33161,57682,Mumbai,Auto,25.92,55,715,UPI,Completed
900345,61224,77778,Mumbai,Sedan,13.82,17,1804,Credit Card,Completed
900346,41195,93898,Bengaluru,Auto,7.49,87,2131,Cash,Completed
900347,12593,93963,Bengaluru,Sedan,25.19,45,633,Cash,Completed
900348,25516,71191,Mumbai,Mini,18.79,35,612,Credit Card,Completed
900349,86921,58399,Pune,Auto,12.79,17,2130,Debit Card,Completed
900350,70757,99629,Hyderabad,SUV,40.98,106,2292,Cash,Completed
900351,94125,57306,Hyderabad,Mini,20.84,20,1559,UPI,Completed
900352,92213,59326,Pune,Auto,26.4,113,671,UPI,Completed
900353,97125,68138,Mumbai,Auto,6.57,57,1772,Cash,Completed
900354,28440,57457,Hyderabad,Mini,4.51,74,1227,Credit Card,Completed
900355,21962,87991,Bengaluru,Sedan,39.17,58,1558,Credit Card,Completed
900356,98291,94545,Delhi,Auto,33.51,23,936,Cash,Completed
900357,92257,54609,Hyderabad,Mini,46.09,10,1880,Debit Card,Completed
900358,87439,61409,Delhi,Sedan,37.38,35,2393,Credit Card,Completed
900359,53287,82604,Hyderabad,Auto,42.59,44,2229,Credit Card,Cancelled
900360,37359,82851,Delhi,Sedan,33.79,6,634,Debit Card,Completed
900361,39556,99276,Pune,Mini,45.06,105,1415,UPI,Completed
900362,20813,93199,Hyderabad,Mini,45.36,78,1598,Cash,Completed
900363,69967,80968,Pune,Auto,5.77,80,2373,UPI,Completed
900364,41789,88732,Delhi,SUV,10.25,11,2439,Credit Card,Completed
900365,15546,92429,Bengaluru,SUV,26.36,29,2096,Credit Card,Completed
900366,61195,54648,Chennai,Mini,16.88,103,2120,Credit Card,Completed
900367,41251,88184,Bengaluru,Mini,21.99,65,910,Debit Card,Completed
900368,74080,79576,Delhi,Auto,42.88,18,1740,Cash,Completed
900369,51794,97353,Bengaluru,SUV,6.46,108,222,Debit Card,Completed
900370,57196,97187,Pune,Sedan,29.49,43,354,Cash,Completed
900371,19349,95211,Mumbai,Mini,16.93,23,886,UPI,Completed
900372,58378,95789,Hyderabad,Sedan,15.69,74,692,Debit Card,Completed
900373,29962,59187,Pune,Auto,43.76,90,2140,UPI,Completed
900374,22909,76826,Delhi,Sedan,29.32,41,1938,Cash,Completed
900375,96076,82528,Bengaluru,Sedan,14.16,90,300,Credit Card,Completed
900376,84510,87581,Bengaluru,SUV,13.99,21,961,UPI,Completed
