Date,City,State,Property_Type,Bedrooms,Bathrooms,Area_sqft,Property_Price_USD,Year_Built,Sale_Status
2019-03-09,Miami,IL,Condo,5,1,1617,277010,2016,Available
2019-03-10,Chicago,IL,Villa,3,2,2694,278780,2004,Available
2019-03-11,Chicago,CA,Townhouse,5,2,3226,279793,2010,Sold
2019-03-12,Houston,IL,Villa,2,2,3978,282253,1984,Available
2019-03-13,Chicago,NY,Townhouse,4,1,2379,284000,2021,Sold
2019-03-14,Houston,TX,Condo,2,2,1028,283071,1988,Available
2019-03-15,Los Angeles,TX,Villa,2,3,722,283566,1989,Sold
2019-03-16,Houston,FL,Townhouse,3,3,1066,282124,2010,Available
2019-03-17,Chicago,CA,Villa,5,3,3702,282911,2014,Available
2019-03-18,New York,NY,Apartment,2,3,1508,283063,2019,Available
2019-03-19,Los Angeles,IL,Apartment,4,1,3255,283409,2008,Sold
2019-03-20,Miami,IL,Condo,3,4,2538,282818,1985,Sold
2019-03-21,New York,TX,Villa,2,3,818,282854,1997,Available
2019-03-22,Chicago,CA,Townhouse,1,1,1700,281454,2005,Sold
2019-03-23,Chicago,CA,Condo,1,4,2707,283410,1991,Sold
2019-03-24,Miami,CA,Townhouse,2,2,3470,285683,1992,Sold
2019-03-25,Los Angeles,NY,Villa,4,3,1889,287593,1998,Sold
2019-03-26,Los Angeles,IL,Condo,3,3,756,286255,2022,Available
2019-03-27,Chicago,NY,Apartment,4,3,1001,286942,1980,Sold
2019-03-28,Los Angeles,CA,Townhouse,2,4,3549,286412,1984,Available
2019-03-29,Chicago,FL,Condo,1,3,1734,288933,2012,Sold
2019-03-30,Chicago,CA,Condo,2,3,3911,290649,1993,Sold
2019-03-31,New York,TX,Apartment,2,1,890,290179,2022,Available
2019-04-01,Houston,FL,Townhouse,3,2,1387,289148,1992,Available
2019-04-02,Houston,NY,Townhouse,3,4,1642,290722,1985,Sold
2019-04-03,Houston,NY,Condo,3,3,1904,290786,2013,Sold
2019-04-04,Miami,CA,Villa,3,2,1330,292510,2003,Sold
2019-04-05,Houston,IL,Townhouse,3,3,2455,290780,2011,Sold
2019-04-06,Los Angeles,TX,Villa,5,1,2263,291923,2013,Available
2019-04-07,New York,NY,Villa,3,4,3603,291849,1985,Available
2019-04-08,Miami,FL,Apartment,3,3,1570,293188,1982,Available
2019-04-09,Houston,FL,Apartment,5,4,2024,294817,1994,Available
2019-04-10,Miami,CA,Condo,2,3,713,296272,1985,Available
2019-04-11,Miami,FL,Villa,2,4,2294,297449,2012,Sold
2019-04-12,New York,TX,Condo,5,2,3930,298567,1995,Available
2019-04-13,Miami,FL,Apartment,4,3,981,297772,2000,Sold
2019-04-14,Houston,FL,Villa,4,1,2808,297374,2008,Sold
2019-04-15,New York,NY,Villa,4,2,3160,299801,1985,Sold
2019-04-16,Miami,FL,Condo,1,1,3909,302714,2014,Sold
2019-04-17,Los Angeles,CA,Townhouse,1,4,2216,302873,2009,Sold
2019-04-18,Los Angeles,IL,Apartment,1,3,2689,302992,1993,Sold
2019-04-19,Miami,NY,Condo,5,3,3513,305839,2015,Sold
2019-04-20,New York,TX,Townhouse,5,2,2647,307957,1998,Available
2019-04-21,Los Angeles,TX,Apartment,3,3,2239,306317,1982,Sold
2019-04-22,New York,TX,Villa,2,4,3479,305301,2002,Sold
2019-04-23,Chicago,CA,Villa,5,2,575,304185,1983,Available
2019-04-24,Chicago,TX,Condo,5,4,1013,304277,1988,Sold
2019-04-25,Houston,IL,Condo,5,4,2495,303622,2011,Available
2019-04-26,Miami,TX,Villa,4,1,705,303819,1984,Sold
2019-04-27,Houston,NY,Townhouse,2,3,3212,302395,2018,Available
2019-04-28,Miami,NY,Townhouse,3,1,2625,303256,1985,Sold
2019-04-29,New York,TX,Apartment,2,1,2305,302102,2020,Sold
2019-04-30,Miami,CA,Villa,3,1,612,303648,1999,Sold
2019-05-01,Chicago,IL,Condo,3,1,1392,305476,1985,Available
2019-05-02,New York,FL,Villa,4,2,2078,304523,2018,Sold
2019-05-03,Los Angeles,NY,Apartment,5,2,1495,307433,2022,Sold
2019-05-04,Chicago,FL,Villa,5,2,3130,309403,2002,Sold
2019-05-05,Miami,CA,Apartment,3,2,1502,308712,1991,Sold
2019-05-06,Chicago,FL,Apartment,5,2,3230,310440,2015,Available
2019-05-07,Houston,FL,Villa,5,2,2548,309657,2005,Sold
2019-05-08,Los Angeles,CA,Villa,1,4,634,309561,2019,Available
2019-05-09,New York,IL,Apartment,4,3,1247,309759,1982,Sold
2019-05-10,Miami,TX,Apartment,1,3,1190,311437,1988,Sold
2019-05-11,Miami,CA,Condo,4,4,2717,311563,1998,Available
2019-05-12,Miami,FL,Condo,4,4,1035,313107,2004,Sold
2019-05-13,Los Angeles,CA,Apartment,3,1,1780,313078,1995,Available
2019-05-14,New York,FL,Apartment,4,4,1918,311511,1982,Available
2019-05-15,Miami,TX,Apartment,1,3,3223,312120,1982,Sold
2019-05-16,New York,NY,Townhouse,1,1,3494,310825,2010,Sold
2019-05-17,Chicago,CA,Villa,1,4,3680,309459,2006,Sold
2019-05-18,Chicago,FL,Apartment,1,1,1800,307465,1995,Sold
2019-05-19,Miami,NY,Villa,5,3,1339,306526,1986,Available
2019-05-20,Miami,FL,Townhouse,5,4,1829,305077,2003,Sold
2019-05-21,Chicago,IL,Villa,1,1,2191,307269,1989,Available
2019-05-22,New York,IL,Apartment,3,2,636,309148,1992,Sold
2019-05-23,Chicago,IL,Condo,1,1,1840,310054,1984,Sold
2019-05-24,Miami,TX,Townhouse,5,1,3750,308870,2007,Sold
2019-05-25,Los Angeles,IL,Apartment,4,1,1515,309779,2019,Sold
2019-05-26,Chicago,NY,Apartment,5,2,2062,311660,1993,Sold
2019-05-27,New York,NY,Villa,5,3,3905,310256,1982,Available
2019-05-28,Miami,TX,Condo,2,3,1489,311790,1984,Available
2019-05-29,Los Angeles,NY,Townhouse,1,3,3150,311207,2019,Sold
2019-05-30,Miami,NY,Villa,4,2,3963,311263,1989,Sold
2019-05-31,Los Angeles,FL,Villa,5,4,2186,311709,1990,Available
2019-06-01,Los Angeles,NY,Condo,5,4,3981,311418,1981,Available
2019-06-02,New York,TX,Apartment,1,4,618,310237,1981,Available
2019-06-03,Chicago,IL,Villa,3,3,1906,308674,1993,Sold
2019-06-04,Los Angeles,IL,Townhouse,1,2,2158,310139,1997,Available
2019-06-05,Houston,FL,Villa,2,4,524,310001,1996,Available
2019-06-06,Chicago,TX,Townhouse,3,4,2727,311030,2021,Sold
2019-06-07,New York,NY,Villa,2,4,2559,311955,1995,Available
2019-06-08,New York,TX,Villa,1,2,2608,309990,1996,Sold
2019-06-09,Miami,NY,Apartment,4,1,3497,311598,2000,Sold
2019-06-10,Houston,FL,Townhouse,1,1,2416,313880,1995,Available
2019-06-11,Chicago,FL,Apartment,5,3,3649,312240,2010,Sold
2019-06-12,Houston,CA,Condo,3,4,2616,311088,1993,Available
2019-06-13,Houston,CA,Villa,3,4,843,312698,2013,Available
2019-06-14,Miami,IL,Townhouse,5,3,663,315430,2005,Sold
2019-06-15,Houston,NY,Condo,3,2,1939,317797,2004,Sold
2019-06-16,Los Angeles,NY,Condo,3,1,3502,320446,2017,Available
2019-06-17,Los Angeles,TX,Apartment,5,4,1503,318957,2002,Sold
2019-06-18,Chicago,IL,Apartment,2,2,2853,320156,2001,Sold
2019-06-19,New York,CA,Condo,5,2,2199,320099,2019,Sold
2019-06-20,New York,TX,Townhouse,2,2,2818,320136,2020,Available
2019-06-21,Houston,CA,Townhouse,4,2,3193,319376,1996,Available
2019-06-22,Houston,TX,Townhouse,1,4,2605,320192,1982,Available
2019-06-23,Houston,NY,Villa,2,4,3881,321554,2002,Sold
2019-06-24,New York,IL,Townhouse,2,2,1107,324350,2002,Sold
2019-06-25,Chicago,NY,Condo,4,1,3243,323450,1994,Sold
2019-06-26,Miami,TX,Townhouse,3,4,1590,324649,2005,Sold
2019-06-27,Houston,NY,Villa,2,4,2711,324225,2003,Available
2019-06-28,Miami,TX,Townhouse,2,4,2354,322485,2008,Sold
2019-06-29,New York,CA,Villa,4,2,2507,320816,1998,Sold
2019-06-30,New York,IL,Townhouse,5,3,3654,321555,1988,Sold
2019-07-01,Miami,FL,Townhouse,5,2,3883,324449,1991,Available
2019-07-02,Los Angeles,NY,Villa,4,3,1857,325078,1995,Available
2019-07-03,Los Angeles,IL,Townhouse,3,4,576,325261,2021,Available
2019-07-04,Los Angeles,TX,Townhouse,3,4,2998,327447,2022,Available
2019-07-05,New York,IL,Condo,3,4,2994,327949,2021,Available
2019-07-06,New York,NY,Townhouse,3,2,967,328211,1994,Sold
2019-07-07,Miami,IL,Condo,5,2,3478,328070,2005,Sold
2019-07-08,Miami,NY,Apartment,2,4,2850,330050,2000,Available
2019-07-09,Los Angeles,NY,Villa,3,4,3471,329605,2010,Available
2019-07-10,Miami,NY,Villa,5,2,2429,328967,1994,Sold
2019-07-11,Chicago,TX,Townhouse,2,4,1435,329675,2020,Available
2019-07-12,Los Angeles,FL,Apartment,4,1,3799,331807,2015,Sold
2019-07-13,New York,CA,Apartment,1,1,630,332046,1984,Sold
2019-07-14,Houston,FL,Townhouse,3,2,3011,333543,1987,Available
2019-07-15,Los Angeles,FL,Apartment,3,4,2477,333537,1984,Sold
2019-07-16,Houston,TX,Apartment,5,2,1256,336535,1987,Available
2019-07-17,Chicago,IL,Apartment,5,4,3287,336208,1991,Sold
2019-07-18,Chicago,NY,Condo,4,2,2674,338028,2011,Sold
2019-07-19,Los Angeles,CA,Villa,5,4,2736,336169,2008,Available
2019-07-20,Miami,CA,Villa,1,2,1147,335241,1983,Available
2019-07-21,Miami,NY,Condo,3,4,511,336640,1996,Available
2019-07-22,Chicago,TX,Condo,5,1,2063,337179,2021,Sold
2019-07-23,Houston,CA,Villa,2,3,1536,337093,1994,Available
2019-07-24,Chicago,NY,Apartment,1,1,1347,336145,1983,Available
2019-07-25,Los Angeles,NY,Townhouse,4,3,683,337127,2009,Available
2019-07-26,Los Angeles,TX,Condo,3,1,2248,338051,1992,Sold
2019-07-27,New York,IL,Condo,5,1,611,336814,1990,Available
2019-07-28,Miami,IL,Condo,3,1,730,335287,2006,Available
2019-07-29,Houston,IL,Townhouse,4,2,1622,336666,2003,Available
2019-07-30,New York,CA,Villa,3,3,2449,336176,1985,Available
2019-07-31,Chicago,CA,Villa,2,1,2017,334760,1980,Sold
2019-08-01,New York,NY,Condo,3,3,3164,334626,1998,Sold
2019-08-02,Houston,CA,Townhouse,2,4,3698,333628,1984,Sold
2019-08-03,Miami,FL,Villa,4,4,2378,335851,1998,Available
2019-08-04,Chicago,NY,Townhouse,5,2,1416,337546,2002,Sold
2019-08-05,Chicago,NY,Apartment,4,3,2310,339090,2004,Sold
2019-08-06,Los Angeles,TX,Condo,3,3,3557,341085,2009,Available
2019-08-07,Miami,NY,Condo,2,3,2579,343583,2009,Sold
2019-08-08,New York,CA,Villa,5,2,2005,342632,2011,Sold
2019-08-09,Los Angeles,IL,Villa,3,1,713,344154,2021,Sold
2019-08-10,Los Angeles,TX,Townhouse,5,2,1321,343330,1992,Sold
2019-08-11,Los Angeles,TX,Villa,5,3,1228,345640,1985,Sold
2019-08-12,Houston,NY,Apartment,5,4,885,346012,1990,Sold
2019-08-13,Miami,CA,Apartment,4,4,1143,346183,1984,Sold
2019-08-14,Chicago,CA,Townhouse,4,1,1243,344646,2011,Sold
2019-08-15,Chicago,CA,Condo,5,4,2310,345498,1988,Sold
2019-08-16,Houston,TX,Townhouse,5,1,3606,345915,1984,Available
2019-08-17,Chicago,TX,Townhouse,2,3,2078,346735,2015,Available
2019-08-18,Miami,TX,Townhouse,2,2,2519,348969,2009,Sold
2019-08-19,Chicago,FL,Condo,2,3,3114,351488,1984,Available
2019-08-20,Los Angeles,NY,Townhouse,4,1,952,349724,1985,Available
2019-08-21,Houston,NY,Villa,1,3,635,350641,1998,Available
2019-08-22,Houston,CA,Townhouse,4,3,3088,351414,2006,Sold
2019-08-23,New York,IL,Townhouse,3,4,3116,353796,1988,Available
2019-08-24,Chicago,TX,Condo,2,2,1607,354569,2006,Available
2019-08-25,Miami,FL,Condo,4,3,3738,356058,2010,Sold
2019-08-26,Miami,NY,Apartment,5,4,1011,356977,1998,Available
2019-08-27,New York,IL,Condo,1,1,1853,355515,2005,Available
2019-08-28,New York,NY,Townhouse,1,3,2405,357182,2017,Sold
2019-08-29,New York,IL,Townhouse,4,1,2801,358763,2002,Available
2019-08-30,Houston,TX,Apartment,3,1,2291,360183,1990,Available
2019-08-31,Chicago,TX,Villa,1,4,3658,359992,1988,Sold
2019-09-01,Miami,IL,Apartment,1,4,3837,359249,1997,Available
2019-09-02,Miami,CA,Condo,2,3,3340,361169,1990,Sold
2019-09-03,Los Angeles,NY,Townhouse,1,4,717,360428,1991,Available
2019-09-04,Miami,FL,Apartment,2,1,2063,362870,1985,Sold
2019-09-05,Chicago,NY,Townhouse,2,3,2979,365696,2011,Available
2019-09-06,New York,NY,Villa,5,2,2812,363749,1996,Available
2019-09-07,Miami,CA,Townhouse,5,1,3301,362297,1998,Available
2019-09-08,Miami,FL,Villa,2,2,1887,360883,1982,Available
2019-09-09,Houston,TX,Villa,2,3,3460,361142,2016,Sold
2019-09-10,Los Angeles,FL,Villa,4,3,3993,362137,1998,Sold
2019-09-11,Miami,NY,Townhouse,3,2,3760,361819,2013,Available
2019-09-12,Los Angeles,TX,Townhouse,3,3,1403,364087,1983,Sold
2019-09-13,New York,CA,Apartment,4,4,3548,362988,1984,Sold
2019-09-14,New York,TX,Townhouse,3,1,2318,365385,2012,Available
2019-09-15,Miami,TX,Apartment,3,1,2586,363439,2007,Available
2019-09-16,New York,IL,Apartment,1,2,3638,363431,1993,Available
2019-09-17,Chicago,TX,Condo,4,4,1178,361881,1994,Available
2019-09-18,Miami,TX,Townhouse,1,3,2746,360529,1992,Available
2019-09-19,Houston,NY,Villa,1,4,2101,360906,2020,Sold
2019-09-20,Houston,NY,Villa,4,2,3961,361301,2005,Available
2019-09-21,Chicago,FL,Townhouse,3,4,1656,359579,1995,Sold
2019-09-22,Chicago,NY,Condo,1,1,2903,359173,2010,Available
2019-09-23,Los Angeles,TX,Townhouse,5,2,2541,359500,1984,Available
2019-09-24,Chicago,FL,Apartment,1,2,2478,362359,2001,Sold
2019-09-25,Houston,TX,Townhouse,2,2,1054,364286,1997,Available
2019-09-26,Miami,NY,Townhouse,2,1,3194,365059,2017,Sold
2019-09-27,Los Angeles,TX,Villa,5,2,3691,363575,2007,Sold
2019-09-28,New York,CA,Townhouse,5,2,1877,364176,2004,Sold
2019-09-29,Miami,IL,Condo,1,4,3363,365611,2013,Available
2019-09-30,Los Angeles,CA,Apartment,3,1,3611,365867,2022,Sold
2019-10-01,New York,FL,Townhouse,5,1,537,364086,2005,Sold
2019-10-02,Houston,FL,Villa,3,2,2910,365392,2006,Available
2019-10-03,Los Angeles,FL,Villa,3,1,2103,364304,2006,Available
2019-10-04,New York,CA,Townhouse,3,2,2396,366064,2009,Sold
2019-10-05,Houston,TX,Villa,2,4,2441,367031,1999,Sold
2019-10-06,Miami,TX,Villa,2,2,3292,365048,2020,Sold
2019-10-07,New York,IL,Apartment,4,1,1697,365992,1995,Sold
2019-10-08,New York,NY,Condo,5,4,3367,367926,2011,Available
2019-10-09,Chicago,CA,Condo,3,1,2811,367744,1980,Sold
2019-10-10,Miami,TX,Townhouse,4,1,3560,367277,2008,Available
2019-10-11,Los Angeles,NY,Villa,5,2,634,367671,2012,Available
2019-10-12,Miami,FL,Condo,1,3,629,366148,2012,Sold
2019-10-13,New York,IL,Condo,5,2,2915,368261,2008,Available
2019-10-14,Houston,FL,Apartment,1,4,1614,368471,2017,Sold
2019-10-15,Chicago,TX,Apartment,3,3,3526,370690,2003,Available
2019-10-16,New York,NY,Apartment,4,3,2553,370346,1990,Available
2019-10-17,New York,TX,Villa,1,2,1218,371566,1980,Sold
2019-10-18,Chicago,TX,Villa,4,3,3139,373461,1997,Sold
2019-10-19,New York,CA,Townhouse,1,3,1453,373454,1993,Sold
2019-10-20,Miami,FL,Townhouse,2,4,1887,371622,1990,Sold
2019-10-21,Chicago,IL,Apartment,4,3,3791,374153,2000,Available
2019-10-22,Miami,IL,Villa,4,1,3483,373458,2019,Available
2019-10-23,New York,FL,Condo,2,1,3192,375920,2022,Sold
2019-10-24,Los Angeles,CA,Condo,5,2,1234,377675,2004,Available
2019-10-25,Miami,FL,Condo,4,4,1156,379169,2015,Sold
2019-10-26,Miami,NY,Condo,3,3,2479,378580,2003,Sold
2019-10-27,Los Angeles,CA,Villa,2,4,2511,377377,1984,Available
2019-10-28,Los Angeles,TX,Villa,3,2,3625,375778,1996,Sold
2019-10-29,New York,FL,Apartment,1,1,1281,376158,1991,Available
2019-10-30,New York,CA,Villa,3,4,3015,375178,1991,Sold
2019-10-31,Houston,FL,Condo,3,2,765,377485,1980,Sold
2019-11-01,Los Angeles,TX,Townhouse,3,1,1467,379024,2000,Sold
2019-11-02,New York,CA,Apartment,4,2,901,381272,2015,Available
2019-11-03,Miami,CA,Condo,2,4,3044,383300,2017,Sold
2019-11-04,Los Angeles,NY,Villa,4,2,2462,385873,1998,Available
2019-11-05,Houston,IL,Villa,3,4,578,386801,1997,Sold
2019-11-06,Los Angeles,IL,Villa,4,1,3087,386202,1982,Sold
2019-11-07,Los Angeles,CA,Villa,4,4,2128,388956,1999,Sold
2019-11-08,New York,NY,Townhouse,5,3,3869,387096,1999,Available
2019-11-09,Miami,FL,Apartment,3,1,1904,385139,2014,Available
2019-11-10,Houston,TX,Villa,1,3,3271,384957,1999,Sold
2019-11-11,New York,CA,Apartment,2,1,3788,387396,2013,Sold
2019-11-12,Miami,IL,Townhouse,3,3,2501,387868,1995,Sold
2019-11-13,Miami,CA,Condo,4,4,1610,390861,2016,Sold
2019-11-14,Chicago,NY,Apartment,2,1,3853,393367,2006,Sold
2019-11-15,Los Angeles,TX,Condo,4,1,3907,395856,2008,Sold
2019-11-16,New York,TX,Townhouse,1,4,1708,397815,2001,Sold
2019-11-17,Los Angeles,IL,Townhouse,4,3,1971,400030,2008,Sold
2019-11-18,Chicago,NY,Townhouse,2,4,1616,400729,2020,Available
2019-11-19,Miami,CA,Apartment,4,1,2986,399834,1991,Sold
2019-11-20,Chicago,NY,Townhouse,2,2,3124,398701,2021,Sold
2019-11-21,Miami,NY,Townhouse,2,4,3090,399515,2020,Available
2019-11-22,Houston,CA,Villa,4,3,2193,397733,1984,Sold
2019-11-23,Los Angeles,TX,Villa,1,2,517,398017,2022,Sold
2019-11-24,Chicago,CA,Townhouse,3,1,2350,398302,2015,Available
2019-11-25,Chicago,FL,Condo,1,4,631,397826,1981,Sold
2019-11-26,Los Angeles,IL,Townhouse,4,2,732,399648,2022,Sold
2019-11-27,Chicago,NY,Villa,3,3,2332,398942,2022,Available
2019-11-28,Houston,TX,Condo,5,3,2047,398473,1988,Sold
2019-11-29,Chicago,NY,Apartment,1,3,1527,399124,2014,Available
2019-11-30,Chicago,FL,Villa,5,4,840,400604,2004,Available
2019-12-01,Miami,CA,Townhouse,2,2,1296,401536,2013,Available
2019-12-02,New York,TX,Villa,4,1,586,401189,2001,Sold
2019-12-03,Miami,NY,Townhouse,3,3,1252,400018,2022,Available
2019-12-04,Los Angeles,FL,Townhouse,2,4,2574,400461,1985,Available
2019-12-05,New York,CA,Condo,4,1,3908,401054,1995,Sold
2019-12-06,Chicago,NY,Townhouse,3,3,2833,402325,1996,Sold
2019-12-07,Houston,NY,Condo,2,4,2759,400557,2005,Sold
2019-12-08,Houston,TX,Condo,1,4,2068,401729,2017,Sold
2019-12-09,Houston,NY,Villa,5,1,1137,400846,2022,Available
2019-12-10,Houston,CA,Condo,4,2,2607,401902,1993,Sold
2019-12-11,New York,NY,Townhouse,3,2,3396,403950,2019,Available
2019-12-12,Miami,TX,Condo,2,2,1124,403323,1997,Available
2019-12-13,New York,IL,Condo,2,2,3217,405331,2001,Available
2019-12-14,Houston,CA,Apartment,2,1,2021,406979,2020,Sold
2019-12-15,Chicago,FL,Townhouse,2,1,1687,409709,2017,Sold
2019-12-16,Los Angeles,FL,Villa,2,2,3303,408031,1997,Available
2019-12-17,Chicago,IL,Townhouse,5,1,1222,407775,2012,Sold
2019-12-18,Chicago,NY,Townhouse,5,3,2439,406470,2004,Available
2019-12-19,Miami,CA,Townhouse,2,4,1570,405171,1982,Sold
2019-12-20,Houston,CA,Villa,4,4,3828,407844,2016,Available
2019-12-21,Miami,IL,Condo,1,1,1854,405972,2014,Available
2019-12-22,Houston,FL,Townhouse,5,1,1866,407487,2003,Sold
2019-12-23,Chicago,IL,Townhouse,5,2,2820,407794,2017,Available
2019-12-24,New York,TX,Villa,1,4,3385,409061,2012,Sold
2019-12-25,Chicago,NY,Villa,5,4,1755,408805,2006,Available
2019-12-26,Chicago,FL,Condo,1,2,1397,410666,2020,Sold
2019-12-27,Chicago,NY,Villa,1,4,2623,411730,2008,Available
2019-12-28,New York,CA,Townhouse,4,2,822,413475,1996,Sold
2019-12-29,Los Angeles,FL,Villa,5,3,3951,412022,1988,Available
2019-12-30,New York,CA,Townhouse,5,3,804,414382,1981,Sold
2019-12-31,Chicago,FL,Apartment,2,3,3255,414567,2000,Sold
2020-01-01,Chicago,NY,Apartment,1,2,2771,416857,2017,Available
2020-01-02,Miami,NY,Townhouse,3,2,3972,419065,2018,Sold
2020-01-03,Houston,CA,Condo,4,2,3218,419431,2003,Sold
2020-01-04,Los Angeles,FL,Townhouse,1,2,2168,420120,1987,Sold
2020-01-05,Houston,IL,Apartment,1,2,2898,420049,2013,Available
2020-01-06,Houston,TX,Villa,2,3,2399,418283,1999,Sold
2020-01-07,Houston,CA,Villa,1,1,2675,416634,1997,Sold
2020-01-08,New York,NY,Apartment,1,3,3673,417901,1990,Available
2020-01-09,New York,CA,Villa,2,1,3457,418163,2017,Sold
2020-01-10,Houston,CA,Townhouse,2,2,3054,418174,2005,Available
2020-01-11,Chicago,CA,Apartment,5,4,2982,420849,1986,Sold
2020-01-12,Miami,NY,Villa,1,4,2638,421999,2003,Sold
2020-01-13,Chicago,CA,Villa,4,1,893,420178,2002,Sold
2020-01-14,Los Angeles,NY,Condo,3,3,1189,418960,2014,Sold
2020-01-15,Houston,FL,Villa,4,2,2331,420257,2013,Available
2020-01-16,Houston,IL,Villa,5,1,2779,420813,2020,Sold
2020-01-17,Chicago,IL,Apartment,2,3,1568,422791,1985,Available
2020-01-18,New York,IL,Villa,4,1,782,421537,2000,Sold
2020-01-19,Los Angeles,FL,Apartment,3,4,3860,421274,2009,Sold
2020-01-20,New York,IL,Townhouse,1,3,3964,420521,1988,Sold
2020-01-21,New York,CA,Apartment,5,2,1190,423238,2016,Sold
2020-01-22,Los Angeles,NY,Condo,5,1,3371,422418,1986,Available
2020-01-23,New York,NY,Villa,4,4,549,421539,2002,Sold
