Employee_ID,Department,Job_Role,Experience_Years,Education_Level,Monthly_Salary,Performance_Score,Work_Mode,Overtime_Hours,Attrition_Status
20061,Sales,Manager,11.1,Bachelor,50896,2.5,Remote,24,No
20062,Sales,Manager,18.5,Master,67364,3.3,Remote,5,No
20063,Marketing,Intern,15.5,Diploma,70399,2.8,Hybrid,27,No
20064,Sales,Executive,13.7,PhD,170513,2.4,Hybrid,19,No
20065,IT,Intern,12.6,PhD,176341,1.1,Remote,28,No
20066,Sales,Executive,16.0,Diploma,120975,4.4,Office,33,No
20067,IT,Manager,15.4,Master,156364,2.2,Hybrid,38,No
20068,Operations,Senior Manager,6.5,Bachelor,166287,4.0,Hybrid,26,No
20069,IT,Intern,17.5,PhD,144016,2.6,Remote,30,No
20070,Operations,Senior Manager,17.6,Bachelor,140946,4.5,Remote,29,No
20071,IT,Senior Manager,6.9,Master,135059,4.1,Hybrid,10,No
20072,Finance,Manager,18.1,Diploma,30313,1.8,Remote,7,No
20073,Sales,Analyst,1.0,Master,150773,4.9,Remote,21,No
20074,Finance,Executive,9.0,PhD,178054,3.2,Office,28,No
20075,Finance,Analyst,4.4,Bachelor,95123,3.0,Remote,16,Yes
20076,Operations,Analyst,3.5,Master,177618,2.4,Office,10,No
20077,Sales,Senior Manager,4.4,PhD,43851,3.1,Remote,28,No
20078,Sales,Analyst,0.1,Diploma,164446,3.0,Hybrid,18,No
20079,Finance,Analyst,17.2,Bachelor,115259,4.2,Remote,18,No
20080,HR,Analyst,12.4,Diploma,92719,1.4,Office,3,No
20081,Marketing,Executive,8.1,PhD,115750,4.5,Remote,30,No
20082,Operations,Intern,5.9,Diploma,43246,1.0,Office,27,No
20083,Sales,Intern,17.2,PhD,178086,4.5,Remote,5,No
20084,IT,Analyst,0.9,Master,123717,4.6,Hybrid,39,Yes
20085,IT,Analyst,2.8,PhD,88936,3.8,Hybrid,3,No
20086,Marketing,Intern,12.1,Bachelor,24099,3.8,Remote,5,No
20087,Sales,Intern,5.0,PhD,117509,4.2,Office,4,Yes
20088,Marketing,Senior Manager,0.6,PhD,166981,3.6,Remote,31,No
20089,Marketing,Manager,0.4,PhD,17241,2.9,Hybrid,4,No
20090,Operations,Executive,18.4,PhD,39984,2.3,Hybrid,39,No
20091,Marketing,Manager,0.2,PhD,96022,3.2,Remote,15,No
20092,Sales,Analyst,17.4,Master,33373,1.2,Office,17,No
20093,Sales,Analyst,16.0,Diploma,169200,4.6,Remote,9,Yes
20094,HR,Senior Manager,17.1,Bachelor,118366,1.7,Office,0,No
20095,Marketing,Intern,8.4,Master,121126,3.3,Hybrid,12,No
20096,Sales,Analyst,2.1,Master,148938,2.2,Remote,6,Yes
20097,HR,Manager,18.7,PhD,83157,1.5,Hybrid,9,No
20098,Finance,Manager,0.6,Master,111696,4.6,Hybrid,23,No
20099,Finance,Senior Manager,13.5,Diploma,134754,4.5,Hybrid,32,Yes
20100,Sales,Executive,6.7,Bachelor,31376,2.0,Office,9,Yes
20101,Operations,Executive,10.9,Bachelor,116841,4.9,Remote,33,Yes
20102,Finance,Senior Manager,8.6,Diploma,114269,3.0,Remote,19,No
20103,Sales,Analyst,9.3,Diploma,58385,2.3,Hybrid,30,Yes
20104,Operations,Senior Manager,15.7,PhD,115295,4.0,Remote,11,No
20105,Marketing,Analyst,7.6,Master,175623,4.7,Hybrid,18,Yes
20106,Marketing,Executive,12.3,Diploma,138658,1.3,Office,39,Yes
20107,Operations,Analyst,13.0,Diploma,29826,2.9,Remote,22,No
20108,HR,Senior Manager,8.9,Master,95841,1.9,Hybrid,37,No
20109,Operations,Analyst,11.5,Master,55400,2.7,Office,6,No
20110,Operations,Analyst,0.8,PhD,88345,1.3,Remote,18,No
20111,Marketing,Manager,3.0,PhD,112660,2.5,Office,25,No
20112,Sales,Executive,7.2,Master,115019,2.9,Hybrid,5,No
20113,IT,Executive,18.3,Diploma,76491,2.2,Hybrid,24,No
20114,Finance,Senior Manager,5.8,PhD,165529,2.0,Office,25,No
20115,Operations,Analyst,8.8,Bachelor,87820,4.3,Office,34,No
20116,Marketing,Manager,0.0,Master,139302,4.8,Hybrid,19,No
20117,Marketing,Intern,11.8,Master,119134,4.6,Hybrid,24,Yes
20118,IT,Intern,1.6,Bachelor,41820,3.6,Office,2,No
20119,IT,Manager,1.1,Master,178264,3.2,Remote,34,Yes
20120,Operations,Manager,12.1,Master,69114,4.2,Office,37,No
20121,Finance,Analyst,16.7,Bachelor,40325,2.4,Office,36,No
20122,HR,Analyst,18.1,Master,141895,1.0,Remote,31,No
20123,Marketing,Executive,13.0,Diploma,81790,3.3,Office,24,No
20124,Finance,Intern,8.5,Diploma,35366,3.3,Hybrid,33,No
20125,Marketing,Manager,6.3,PhD,160923,1.7,Hybrid,29,Yes
20126,HR,Analyst,19.7,Master,150694,1.7,Hybrid,6,No
20127,Finance,Senior Manager,14.8,PhD,36113,2.9,Office,7,No
20128,Sales,Intern,12.8,Bachelor,18018,1.5,Hybrid,19,No
20129,Finance,Intern,0.4,Master,118187,4.5,Office,15,No
20130,Marketing,Senior Manager,2.1,Diploma,52681,2.0,Hybrid,23,Yes
20131,IT,Senior Manager,7.3,PhD,17948,3.2,Hybrid,36,No
20132,Operations,Senior Manager,11.1,PhD,69347,3.1,Hybrid,33,No
20133,Finance,Intern,14.6,Master,31918,1.8,Office,35,No
20134,IT,Manager,11.8,Diploma,26837,3.9,Remote,7,No
20135,Operations,Senior Manager,12.1,Diploma,63251,4.5,Office,23,No
20136,IT,Analyst,7.0,Bachelor,107732,4.1,Office,2,Yes
20137,Marketing,Executive,8.3,Master,73266,2.6,Remote,20,Yes
20138,IT,Intern,6.0,PhD,70174,1.3,Office,21,No
20139,HR,Analyst,2.2,Bachelor,48171,2.2,Hybrid,0,No
20140,Marketing,Manager,8.2,Bachelor,44053,4.3,Hybrid,16,No
20141,Operations,Senior Manager,7.0,Diploma,67685,2.7,Remote,7,No
20142,IT,Executive,4.6,Master,59390,1.5,Remote,36,Yes
20143,Operations,Analyst,8.5,PhD,58444,4.3,Office,9,No
20144,Marketing,Intern,5.7,Bachelor,16606,3.2,Remote,4,No
20145,Sales,Executive,3.4,PhD,98434,4.0,Remote,24,No
20146,Marketing,Senior Manager,11.6,Master,54615,2.0,Office,38,No
20147,IT,Analyst,18.4,Master,112047,1.2,Remote,29,No
20148,Sales,Manager,15.5,PhD,72777,1.2,Office,20,No
20149,HR,Analyst,14.1,Diploma,120013,4.8,Office,37,No
20150,IT,Senior Manager,6.1,Diploma,170730,3.4,Hybrid,19,No
20151,Operations,Analyst,18.8,Master,174755,1.4,Office,25,No
20152,Operations,Analyst,15.5,Bachelor,171337,3.6,Hybrid,34,Yes
20153,Sales,Executive,9.1,Bachelor,72747,2.9,Office,24,No
20154,Marketing,Analyst,2.8,Master,153539,2.7,Remote,14,Yes
20155,HR,Manager,12.0,PhD,40455,1.3,Hybrid,6,No
20156,Sales,Analyst,3.6,PhD,176203,1.5,Hybrid,31,No
20157,IT,Analyst,6.5,Master,27073,3.6,Hybrid,13,No
20158,Marketing,Manager,19.8,Master,73015,4.8,Remote,11,Yes
20159,Marketing,Analyst,11.3,Master,49128,2.0,Remote,6,No
20160,Operations,Executive,3.9,Bachelor,35648,4.6,Hybrid,5,No
20161,Marketing,Senior Manager,6.3,Diploma,130169,1.1,Remote,14,No
20162,Operations,Senior Manager,16.8,PhD,155520,3.3,Hybrid,27,No
20163,Finance,Analyst,1.5,Diploma,149211,2.4,Hybrid,7,No
20164,IT,Analyst,5.2,PhD,68965,3.5,Office,39,No
20165,Sales,Manager,5.1,Bachelor,81793,1.9,Hybrid,16,No
20166,Sales,Executive,4.6,PhD,20555,2.2,Hybrid,0,No
20167,Finance,Analyst,7.9,Master,140492,4.7,Remote,4,No
20168,Marketing,Intern,17.0,Bachelor,102022,2.6,Office,1,No
20169,HR,Analyst,13.6,Diploma,83536,3.4,Office,21,No
20170,Operations,Analyst,18.3,Master,80513,3.6,Office,26,No
20171,Sales,Manager,9.8,Bachelor,21842,4.0,Hybrid,39,No
20172,Operations,Executive,14.9,Bachelor,40695,4.8,Remote,37,No
20173,HR,Analyst,13.1,Master,167286,3.8,Hybrid,21,No
20174,Operations,Analyst,5.8,PhD,110309,3.5,Office,11,No
20175,IT,Senior Manager,20.0,PhD,162402,3.8,Remote,3,No
20176,Operations,Manager,15.7,Bachelor,139088,3.8,Office,7,No
20177,HR,Senior Manager,0.5,PhD,50816,2.1,Hybrid,18,Yes
20178,Marketing,Analyst,19.3,Diploma,129171,1.8,Hybrid,7,No
20179,Sales,Executive,7.4,Diploma,53365,3.4,Office,22,No
20180,Operations,Senior Manager,9.9,Master,79281,4.8,Remote,9,No
20181,IT,Intern,5.4,Diploma,85698,1.2,Remote,7,No
20182,Finance,Intern,5.2,Master,124887,4.1,Office,5,Yes
20183,HR,Executive,14.7,Master,111229,4.4,Remote,23,Yes
20184,Finance,Manager,1.6,Bachelor,53943,2.6,Office,16,No
20185,HR,Analyst,17.0,Bachelor,19253,5.0,Hybrid,25,No
20186,Finance,Senior Manager,0.7,Diploma,144526,4.7,Hybrid,32,No
20187,IT,Manager,1.6,Bachelor,79484,4.2,Office,19,No
20188,IT,Manager,2.7,Bachelor,134752,1.6,Hybrid,8,No
20189,Operations,Intern,7.3,Master,46313,1.4,Remote,22,No
20190,Operations,Executive,7.2,PhD,84893,3.0,Hybrid,25,No
20191,Sales,Senior Manager,13.2,Master,78685,1.7,Office,39,No
20192,IT,Manager,12.5,PhD,77268,1.4,Office,13,No
20193,HR,Intern,11.2,Diploma,103489,2.7,Remote,11,No
20194,HR,Manager,3.5,Master,58630,3.3,Hybrid,20,No
20195,IT,Executive,4.9,Bachelor,62155,2.6,Remote,1,No
20196,IT,Senior Manager,14.5,PhD,117323,1.8,Remote,22,No
20197,IT,Manager,14.0,Diploma,81185,3.6,Hybrid,28,No
20198,Operations,Analyst,18.0,Bachelor,142490,3.6,Hybrid,14,No
20199,Sales,Manager,8.4,Master,98501,2.0,Hybrid,24,No
20200,Finance,Senior Manager,15.1,PhD,32598,4.8,Hybrid,20,Yes
20201,HR,Manager,13.1,Diploma,30043,4.1,Hybrid,5,No
20202,Operations,Manager,5.8,Master,138816,1.8,Hybrid,39,No
20203,Finance,Manager,6.8,Bachelor,136840,1.5,Remote,33,No
20204,Finance,Senior Manager,16.6,PhD,175747,2.7,Remote,12,No
20205,Marketing,Intern,14.0,PhD,98453,1.1,Remote,33,No
20206,Finance,Intern,15.6,Bachelor,74725,3.6,Remote,10,No
20207,Sales,Analyst,18.4,Master,79762,3.2,Hybrid,6,Yes
20208,Marketing,Analyst,10.2,PhD,123492,4.9,Remote,11,No
20209,HR,Intern,6.1,PhD,169685,1.5,Remote,30,No
20210,IT,Analyst,11.9,Master,54772,4.8,Office,9,Yes
20211,Marketing,Executive,12.3,Bachelor,134604,4.3,Hybrid,35,Yes
20212,IT,Executive,2.0,PhD,114070,2.0,Hybrid,11,No
20213,Marketing,Intern,3.7,PhD,152668,2.1,Hybrid,33,No
20214,Sales,Manager,17.5,Master,72867,3.9,Hybrid,23,Yes
20215,Finance,Analyst,13.1,Diploma,123370,3.3,Hybrid,26,No
20216,Marketing,Manager,10.3,PhD,102974,3.9,Office,9,No
20217,IT,Executive,11.1,Bachelor,113804,4.1,Hybrid,25,No
20218,HR,Executive,13.9,PhD,176959,2.9,Remote,3,No
20219,Finance,Senior Manager,7.5,Master,115435,4.0,Hybrid,11,Yes
20220,Marketing,Executive,19.1,Diploma,148997,3.9,Hybrid,29,No
20221,HR,Intern,2.4,Bachelor,35008,2.5,Hybrid,7,No
20222,HR,Executive,4.6,Bachelor,121338,4.6,Office,18,No
20223,Marketing,Senior Manager,11.0,PhD,31733,2.7,Office,8,No
20224,IT,Intern,3.9,Master,133056,4.8,Office,36,Yes
20225,HR,Executive,4.9,PhD,122450,1.9,Office,15,No
20226,Finance,Senior Manager,15.3,Master,139918,2.1,Hybrid,7,No
20227,HR,Analyst,18.3,Diploma,173161,4.7,Remote,11,No
20228,Sales,Executive,9.2,Bachelor,163908,1.8,Hybrid,9,No
20229,Operations,Manager,2.5,Master,149023,4.8,Office,15,No
20230,Operations,Manager,2.6,Master,87848,1.4,Remote,1,No
20231,HR,Intern,9.4,Diploma,141692,4.3,Remote,22,No
20232,IT,Executive,1.4,Bachelor,25845,3.7,Hybrid,9,No
20233,Sales,Intern,15.5,Master,167167,3.4,Office,12,Yes
20234,Finance,Executive,11.4,Master,58246,2.6,Hybrid,1,No
20235,HR,Analyst,12.0,PhD,77210,4.1,Remote,3,No
20236,HR,Executive,0.7,Diploma,147876,3.8,Hybrid,32,Yes
20237,Marketing,Executive,9.0,Master,75125,4.6,Hybrid,39,No
20238,Operations,Executive,18.0,Master,143960,2.3,Remote,2,No
20239,Marketing,Manager,17.3,Bachelor,78196,2.0,Remote,36,No
20240,Sales,Intern,12.6,Diploma,46934,3.6,Remote,29,No
20241,Operations,Executive,7.5,Diploma,120131,3.4,Hybrid,25,No
20242,IT,Senior Manager,8.7,Diploma,122909,3.2,Hybrid,20,No
20243,Operations,Manager,10.7,Master,105466,1.4,Remote,11,No
20244,Finance,Executive,3.4,Diploma,75541,1.5,Hybrid,3,No
20245,Marketing,Intern,13.8,Diploma,56840,2.3,Office,2,Yes
20246,HR,Manager,12.9,Bachelor,105254,2.7,Remote,9,No
20247,Marketing,Senior Manager,4.4,Diploma,21886,4.1,Remote,35,Yes
20248,Finance,Executive,0.3,Bachelor,149634,2.1,Hybrid,3,No
20249,Finance,Manager,0.8,Bachelor,132218,1.6,Remote,34,Yes
20250,HR,Manager,17.9,Master,75939,3.7,Hybrid,12,No
20251,Operations,Analyst,11.1,Bachelor,104079,2.2,Office,6,No
20252,Sales,Analyst,13.0,PhD,156271,2.7,Hybrid,4,No
20253,IT,Analyst,19.2,Master,142822,2.4,Office,30,No
20254,Operations,Executive,7.7,PhD,66765,3.0,Remote,32,No
20255,HR,Analyst,13.4,PhD,63719,1.8,Office,33,No
20256,Sales,Executive,19.8,PhD,69939,2.8,Hybrid,18,No
20257,IT,Manager,8.8,Master,56324,4.7,Office,1,No
20258,Finance,Senior Manager,11.8,Bachelor,161925,2.6,Remote,10,No
20259,HR,Intern,19.8,PhD,174228,4.6,Remote,27,No
20260,IT,Analyst,9.0,Diploma,33307,1.9,Remote,29,Yes
20261,Sales,Senior Manager,5.4,Master,179585,1.6,Hybrid,21,No
20262,Sales,Senior Manager,14.9,Master,33773,4.4,Office,28,No
20263,Marketing,Executive,0.8,Diploma,85171,2.2,Remote,26,No
20264,Operations,Intern,7.6,PhD,108003,2.7,Remote,16,No
20265,Sales,Senior Manager,5.0,PhD,71512,4.2,Hybrid,11,No
20266,IT,Executive,17.7,Bachelor,61824,3.3,Hybrid,13,No
20267,Operations,Senior Manager,2.7,Diploma,101516,1.3,Remote,30,Yes
20268,Marketing,Senior Manager,2.9,PhD,72762,4.5,Hybrid,33,No
20269,Sales,Senior Manager,18.5,Diploma,95703,2.8,Office,15,No
20270,Marketing,Executive,11.6,Bachelor,72524,3.2,Office,25,No
20271,HR,Manager,12.1,Bachelor,107815,3.8,Hybrid,21,Yes
20272,IT,Intern,11.4,Diploma,71867,1.8,Office,17,No
20273,Finance,Executive,2.6,Master,160614,2.7,Hybrid,32,No
20274,Finance,Manager,16.8,Master,21977,3.5,Remote,27,No
20275,HR,Manager,4.1,Diploma,71084,4.7,Office,4,Yes
20276,Marketing,Intern,18.0,PhD,79622,4.0,Office,23,Yes
20277,Sales,Intern,18.1,Diploma,124978,1.2,Remote,18,No
20278,IT,Executive,2.6,Diploma,41643,4.6,Hybrid,6,No
20279,HR,Executive,0.8,Master,101640,2.5,Remote,19,Yes
20280,Marketing,Executive,0.1,Master,102477,1.2,Hybrid,2,No
20281,IT,Manager,13.3,PhD,84591,1.9,Hybrid,33,Yes
20282,HR,Manager,12.9,PhD,130392,2.7,Office,35,No
20283,Operations,Senior Manager,1.5,PhD,24435,3.1,Hybrid,35,No
20284,Finance,Executive,10.5,PhD,128386,3.9,Remote,18,No
20285,Marketing,Manager,12.2,Master,22018,4.2,Remote,2,Yes
20286,Marketing,Analyst,13.4,Diploma,100167,2.5,Hybrid,2,Yes
20287,Marketing,Manager,0.2,Bachelor,132553,4.3,Hybrid,18,No
20288,Marketing,Executive,13.3,Bachelor,77474,4.9,Remote,27,No
20289,Sales,Senior Manager,9.1,Bachelor,87341,4.4,Office,2,No
20290,IT,Analyst,8.0,Bachelor,109921,2.7,Remote,2,No
20291,Finance,Senior Manager,12.8,Diploma,76361,4.1,Hybrid,14,No
20292,HR,Intern,15.2,Diploma,53029,2.4,Remote,9,No
20293,Operations,Intern,5.5,Diploma,80531,1.0,Hybrid,34,Yes
20294,Finance,Executive,13.4,Master,153252,2.1,Remote,32,Yes
20295,IT,Senior Manager,1.9,PhD,37889,1.9,Remote,23,No
20296,Finance,Executive,2.6,PhD,156405,4.2,Office,24,No
20297,Operations,Manager,9.3,Master,62381,4.0,Office,13,No
20298,Operations,Executive,2.9,PhD,64867,3.8,Office,1,No
20299,Operations,Analyst,12.0,Diploma,45827,1.5,Hybrid,39,No
20300,Operations,Intern,10.1,Bachelor,50567,3.1,Remote,34,No
20301,HR,Executive,18.0,Bachelor,149517,2.8,Office,10,No
20302,Finance,Executive,14.0,PhD,103182,1.6,Hybrid,10,No
20303,Marketing,Analyst,5.2,Diploma,130262,2.6,Hybrid,16,No
20304,Operations,Intern,19.2,PhD,115979,3.0,Office,26,No
20305,Finance,Intern,16.3,Bachelor,117503,3.9,Hybrid,13,No
20306,Marketing,Manager,5.1,Diploma,112339,4.3,Hybrid,16,No
20307,HR,Analyst,18.7,Bachelor,86895,2.9,Remote,36,Yes
20308,Operations,Manager,18.8,Bachelor,46047,4.0,Office,15,No
20309,Sales,Intern,2.1,Bachelor,146293,4.5,Hybrid,38,No
20310,Sales,Executive,13.8,PhD,73669,1.9,Remote,4,No
20311,HR,Senior Manager,12.3,Diploma,23893,3.1,Remote,7,Yes
20312,Marketing,Analyst,19.8,Bachelor,164714,1.7,Remote,3,No
20313,Operations,Executive,18.7,Diploma,139372,4.9,Remote,1,No
20314,HR,Analyst,14.5,Master,39367,3.9,Hybrid,32,Yes
20315,Operations,Intern,15.9,Master,152448,2.7,Remote,9,No
20316,IT,Analyst,10.5,PhD,83602,2.3,Office,34,Yes
20317,Marketing,Intern,18.9,Diploma,22714,2.9,Hybrid,30,No
20318,Finance,Intern,13.4,Diploma,67118,5.0,Hybrid,36,No
20319,Operations,Manager,5.6,PhD,148211,3.5,Hybrid,26,Yes
20320,IT,Intern,17.9,PhD,109587,1.7,Hybrid,14,No
20321,IT,Senior Manager,19.9,Master,37229,4.8,Remote,23,Yes
20322,Sales,Executive,6.8,PhD,120312,3.0,Office,22,No
20323,Marketing,Analyst,7.4,Master,176679,2.3,Remote,5,No
20324,HR,Intern,8.6,PhD,162441,1.5,Hybrid,33,No
20325,Sales,Senior Manager,17.7,PhD,77306,1.7,Hybrid,20,No
20326,Operations,Senior Manager,9.2,Master,141009,3.5,Remote,34,No
20327,Marketing,Senior Manager,5.9,PhD,165184,1.5,Remote,8,No
20328,HR,Senior Manager,13.5,Diploma,173726,3.6,Remote,30,Yes
20329,Marketing,Intern,0.1,PhD,72556,2.6,Office,33,No
20330,IT,Analyst,12.5,PhD,111185,3.7,Remote,36,No
20331,Operations,Intern,9.5,PhD,144248,2.4,Remote,29,No
20332,Finance,Manager,14.8,Bachelor,101754,3.2,Hybrid,36,Yes
20333,Sales,Executive,17.7,PhD,151687,4.1,Office,6,No
20334,Sales,Executive,6.5,PhD,133449,1.4,Office,16,No
20335,Marketing,Senior Manager,0.7,PhD,21726,1.4,Office,21,No
20336,HR,Manager,2.2,Master,143698,2.2,Remote,22,Yes
20337,Operations,Executive,3.0,Master,154735,2.9,Hybrid,2,No
20338,Sales,Senior Manager,18.6,Diploma,135663,1.5,Remote,20,No
20339,Operations,Analyst,17.3,Bachelor,127389,1.6,Hybrid,34,No
20340,Operations,Executive,5.1,PhD,101193,5.0,Remote,24,No
20341,Operations,Executive,12.5,Bachelor,37116,4.3,Office,4,Yes
20342,Sales,Intern,8.6,PhD,49627,1.2,Office,34,Yes
20343,Operations,Executive,9.4,PhD,177033,2.3,Remote,0,No
20344,Finance,Senior Manager,16.1,Diploma,41209,1.2,Hybrid,21,No
20345,Sales,Intern,4.2,Diploma,39785,1.1,Office,36,Yes
20346,IT,Analyst,19.6,Diploma,40550,1.9,Office,26,No
20347,IT,Manager,9.0,Diploma,64300,2.0,Remote,14,No
20348,HR,Senior Manager,16.9,PhD,19571,2.5,Office,16,No
20349,Marketing,Analyst,6.5,Diploma,130464,1.5,Office,23,No
20350,Finance,Intern,11.2,Master,76930,1.3,Hybrid,11,No
20351,Finance,Intern,1.7,Diploma,50803,3.9,Remote,34,No
20352,Sales,Executive,9.8,Diploma,168179,3.6,Office,17,No
20353,Sales,Senior Manager,5.9,Master,59804,3.4,Remote,16,No
20354,IT,Intern,7.6,Bachelor,45342,4.4,Remote,24,No
20355,Finance,Senior Manager,16.8,Master,123652,1.8,Remote,11,No
20356,HR,Analyst,19.2,Diploma,125644,4.5,Hybrid,26,No
20357,HR,Executive,3.2,Master,138572,1.2,Remote,15,No
20358,Operations,Manager,16.2,Master,30729,3.9,Remote,19,No
20359,HR,Senior Manager,17.0,Diploma,173820,4.3,Hybrid,11,No
20360,Marketing,Intern,13.0,Diploma,36319,1.4,Office,36,No
20361,IT,Senior Manager,7.2,Diploma,34112,4.0,Office,17,No
20362,Finance,Analyst,14.6,Master,47976,4.8,Office,15,No
20363,Sales,Intern,0.1,PhD,77392,2.2,Remote,14,Yes
20364,Marketing,Senior Manager,0.3,Diploma,131505,2.4,Office,24,No
20365,HR,Senior Manager,2.8,Bachelor,147901,1.6,Remote,0,Yes
20366,Finance,Analyst,18.8,PhD,136759,3.3,Office,27,No
20367,IT,Intern,2.0,Master,172498,2.7,Remote,39,No
20368,Sales,Manager,8.6,Bachelor,116701,4.1,Remote,25,No
20369,IT,Manager,6.3,PhD,72959,3.3,Office,39,No
20370,Operations,Analyst,19.7,Bachelor,108541,4.7,Hybrid,11,No
20371,Operations,Senior Manager,2.4,Master,111323,4.0,Hybrid,25,No
20372,HR,Manager,15.0,Diploma,173388,1.3,Hybrid,13,Yes
20373,IT,Intern,7.6,PhD,133723,4.8,Hybrid,30,No
20374,Sales,Analyst,17.4,Master,157038,3.1,Hybrid,20,Yes
20375,Sales,Analyst,9.9,Diploma,54018,1.3,Office,31,No
20376,Sales,Analyst,6.7,Diploma,33227,1.8,Hybrid,35,No
20377,Finance,Analyst,18.6,Bachelor,46665,4.6,Office,23,No
20378,Marketing,Senior Manager,19.3,PhD,47575,4.3,Office,5,No
20379,Finance,Intern,13.5,PhD,157580,4.1,Office,4,No
20380,HR,Intern,13.9,Diploma,175657,3.4,Remote,15,No
20381,Finance,Intern,3.6,PhD,31968,4.9,Remote,36,No
20382,Marketing,Analyst,1.2,Diploma,156550,3.0,Remote,22,No
20383,IT,Senior Manager,12.7,PhD,158684,1.5,Remote,28,Yes
20384,HR,Manager,8.3,PhD,69113,1.1,Office,18,No
20385,Finance,Intern,10.0,PhD,78258,4.3,Hybrid,1,No
20386,HR,Analyst,16.5,PhD,134271,1.3,Remote,35,No
20387,Finance,Executive,9.4,Bachelor,29686,4.0,Office,13,Yes
