ProductID,SKU,ProductName,Category,Subcategory,Brand,Price,DiscountPercent,DiscountAmount,FinalPrice,StockQty,Rating,NumReviews,LaunchDate,Supplier,WarrantyMonths,Dimensions,Weight_g,Color,Material,Sold_Last_30d,Country_of_Origin,Is_Returnable,CreatedAt,Is_High_Value,ProfitMargin_pct,StockStatus
P000011,SKU100011,Aurelia Facewash Go-431,Beauty,Facewash,Aurelia,1552.73,25.7,399.05,1153.68,57,4.15,10,2023-06-25,Supplier_375,0,12x28x29 cm,2569,Blue,Plastic,15,Germany,True,2023-06-30,False,29.35,Medium
P000012,SKU100012,GreenHarvest Yoga Mat Pro-231,Sports,Yoga Mat,GreenHarvest,7180.47,43.2,3101.96,4078.51,40,4.19,27,2025-05-26,Supplier_344,12,40x15x9 cm,4372,Yellow,Leather,9,Germany,True,2025-06-20,False,10.78,Medium
P000013,SKU100013,KiddoFun Baby Diapers Go-562,Toys & Baby,Baby Diapers,KiddoFun,811.41,39.5,320.51,490.9,46,3.43,178,2019-05-11,Supplier_363,3,19x9x11 cm,222,Brown,Leather,18,Germany,True,2019-05-15,False,25.13,Medium
P000014,SKU100014,LumaTech Toy Car X-132,Toys & Baby,Toy Car,LumaTech,683.54,17.1,116.89,566.65,50,4.84,16,2021-09-15,Supplier_243,0,37x20x9 cm,4026,Blue,Cotton,15,South Korea,True,2021-11-04,False,25.27,Medium
P000015,SKU100015,LumaTech Spices X-199,Grocery,Spices,LumaTech,611.15,21.2,129.56,481.59,54,4.47,22,2025-05-23,Supplier_174,12,27x32x14 cm,3875,Black,Metal,11,India,False,2025-07-08,False,17.84,Medium
P000016,SKU100016,LumaTech Olive Oil Pro-294,Grocery,Olive Oil,LumaTech,14530.0,0.0,0.0,14530.0,50,3.45,97,2024-01-06,Supplier_442,12,13x32x6 cm,2331,Pink,Leather,8,China,False,2024-02-26,True,38.75,Medium
P000017,SKU100017,Zenova Breakfast Cereal X-767,Grocery,Breakfast Cereal,Zenova,9676.19,8.7,841.83,8834.36,48,4.29,66,2024-01-24,Supplier_443,36,5x10x30 cm,1986,Red,Wood,7,South Korea,False,2024-02-06,True,31.08,Medium
P000018,SKU100018,NorthPeak Yoga Mat Mini-102,Sports,Yoga Mat,NorthPeak,8049.82,45.2,3638.52,4411.3,60,4.56,16,2022-05-19,Supplier_496,6,34x23x14 cm,4602,Pink,Cotton,14,Germany,True,2022-06-01,False,29.88,Medium
P000019,SKU100019,GreenHarvest Camera X-865,Electronics,Camera,GreenHarvest,392.77,0.0,0.0,392.77,61,4.1,58,2021-07-08,Supplier_96,0,8x42x16 cm,4169,Brown,Cotton,11,India,True,2021-08-31,False,35.56,Medium
P000020,SKU100020,Zenova Camera Max-982,Electronics,Camera,Zenova,243.52,16.7,40.67,202.85,47,3.27,63,2020-08-21,Supplier_134,12,12x41x8 cm,4792,Black,Metal,8,Japan,True,2020-10-19,False,16.86,Medium
P000021,SKU100021,PureSkin Air Purifier Pro-371,Home & Kitchen,Air Purifier,PureSkin,10940.63,25.5,2789.86,8150.77,50,2.84,51,2022-06-10,Supplier_289,3,47x46x10 cm,3795,Grey,Metal,7,India,False,2022-07-19,True,12.44,Medium
P000022,SKU100022,GreenHarvest Smartphone Pro-618,Electronics,Smartphone,GreenHarvest,818.63,0.0,0.0,818.63,45,3.49,68,2020-12-22,Supplier_279,3,27x9x29 cm,2051,Grey,Glass,17,USA,False,2021-02-13,False,20.34,Medium
P000023,SKU100023,UrbanWear Baby Diapers Max-641,Toys & Baby,Baby Diapers,UrbanWear,1885.49,0.0,0.0,1885.49,46,3.93,23,2018-02-02,Supplier_284,24,40x24x30 cm,898,Red,Glass,9,China,True,2018-03-21,False,25.91,Medium
P000024,SKU100024,EvoHome Vacuum Go-315,Home & Kitchen,Vacuum,EvoHome,1003.58,33.7,338.21,665.37,54,2.95,14,2021-11-05,Supplier_325,3,48x45x28 cm,2212,Brown,Silicone,8,Vietnam,True,2021-11-10,False,24.52,Medium
P000025,SKU100025,Aurelia Cycling Helmet X-441,Sports,Cycling Helmet,Aurelia,4750.29,21.8,1035.56,3714.73,45,4.18,122,2019-06-20,Supplier_484,24,21x15x24 cm,3669,Brown,Wood,10,India,True,2019-06-24,False,12.71,Medium
P000026,SKU100026,GreenHarvest Building Blocks X-954,Toys & Baby,Building Blocks,GreenHarvest,1318.65,8.7,114.72,1203.93,47,4.15,43,2022-02-21,Supplier_184,18,40x14x14 cm,1094,Black,Glass,10,Bangladesh,True,2022-04-19,False,14.4,Medium
P000027,SKU100027,LumaTech Air Purifier Max-205,Home & Kitchen,Air Purifier,LumaTech,11905.1,0.0,0.0,11905.1,57,4.04,73,2021-12-19,Supplier_92,36,40x31x20 cm,1316,Blue,Cotton,7,USA,False,2021-12-20,True,37.4,Medium
P000028,SKU100028,Sportify Baby Diapers Max-984,Toys & Baby,Baby Diapers,Sportify,1472.14,13.2,194.32,1277.82,54,3.35,7,2020-10-13,Supplier_471,6,15x49x4 cm,3183,Black,Silicone,9,Germany,True,2020-12-04,False,7.84,Medium
P000029,SKU100029,EvoHome Cycling Helmet Pro-328,Sports,Cycling Helmet,EvoHome,6561.42,16.3,1069.51,5491.91,48,3.07,4,2018-04-07,Supplier_432,24,17x30x11 cm,2332,White,Glass,7,Bangladesh,False,2018-05-20,True,22.64,Medium
P000030,SKU100030,Aurelia Perfume X-998,Beauty,Perfume,Aurelia,467.6,27.9,130.46,337.14,49,3.79,2,2020-12-05,Supplier_262,3,42x21x2 cm,938,Yellow,Ceramic,11,Bangladesh,False,2021-01-12,False,21.61,Medium
P000031,SKU100031,UrbanWear Smartwatch Pro-360,Electronics,Smartwatch,UrbanWear,1622.22,16.4,266.04,1356.18,42,4.42,21,2018-07-01,Supplier_341,24,32x5x17 cm,4460,Blue,Ceramic,10,Japan,True,2018-08-30,False,18.42,Medium
P000032,SKU100032,PureSkin Watch Max-968,Fashion,Watch,PureSkin,10340.15,19.5,2016.33,8323.82,45,4.36,135,2019-05-26,Supplier_216,24,24x37x10 cm,3395,Grey,Wood,10,Vietnam,True,2019-06-07,True,32.43,Medium
P000033,SKU100033,NorthPeak Stroller Go-682,Toys & Baby,Stroller,NorthPeak,1291.39,29.7,383.54,907.85,59,4.36,42,2021-05-17,Supplier_227,12,40x5x10 cm,2400,Blue,Wood,6,Bangladesh,False,2021-06-14,False,37.29,Medium
P000034,SKU100034,GreenHarvest Building Blocks Mini-912,Toys & Baby,Building Blocks,GreenHarvest,15530.17,9.6,1490.9,14039.27,53,4.62,16,2019-11-27,Supplier_102,24,10x23x17 cm,2795,White,Leather,7,Vietnam,True,2020-01-17,True,39.9,Medium
P000035,SKU100035,Aurelia Blender Pro-586,Home & Kitchen,Blender,Aurelia,1034.39,24.4,252.39,782.0,46,3.63,59,2024-11-08,Supplier_76,36,9x34x14 cm,4765,Blue,Wood,8,South Korea,False,2024-11-23,False,9.3,Medium
P000036,SKU100036,Zenova Toy Car Mini-324,Toys & Baby,Toy Car,Zenova,6272.83,10.0,627.28,5645.55,48,3.79,74,2019-12-22,Supplier_411,36,49x38x15 cm,461,Brown,Leather,14,China,False,2019-12-30,True,6.5,Medium
P000037,SKU100037,GreenHarvest Tennis Racket Go-424,Sports,Tennis Racket,GreenHarvest,3507.68,43.8,1536.36,1971.32,51,3.07,5,2022-12-18,Supplier_385,18,37x32x27 cm,4538,Pink,Cotton,14,South Korea,False,2023-01-03,False,14.64,Medium
P000038,SKU100038,EvoHome Air Purifier Go-596,Home & Kitchen,Air Purifier,EvoHome,23399.18,13.7,3205.69,20193.49,53,3.49,17,2025-01-11,Supplier_277,3,22x33x3 cm,2390,Blue,Glass,8,Bangladesh,True,2025-03-09,True,28.89,Medium
P000039,SKU100039,NorthPeak Laptop Pro-492,Electronics,Laptop,NorthPeak,1555.4,41.1,639.27,916.13,55,4.53,100,2025-10-13,Supplier_106,3,50x18x3 cm,3448,Yellow,Ceramic,14,South Korea,False,2025-10-16,False,19.16,Medium
P000040,SKU100040,Sportify Spices Go-812,Grocery,Spices,Sportify,3002.88,4.9,147.14,2855.74,41,4.3,13,2018-03-22,Supplier_383,36,41x29x16 cm,98,Grey,Glass,14,Japan,False,2018-04-25,False,21.31,Medium
P000041,SKU100041,KiddoFun Building Blocks Pro-379,Toys & Baby,Building Blocks,KiddoFun,3970.41,13.1,520.12,3450.29,54,4.89,14,2022-11-21,Supplier_202,12,6x29x11 cm,3362,Red,Silicone,8,USA,True,2023-01-18,False,39.98,Medium
P000042,SKU100042,Aurelia Facewash X-758,Beauty,Facewash,Aurelia,586.29,12.4,72.7,513.59,40,3.47,68,2022-10-22,Supplier_173,3,34x16x2 cm,2181,Yellow,Ceramic,9,Germany,False,2022-11-11,False,22.2,Medium
P000043,SKU100043,EvoHome Spices Mini-358,Grocery,Spices,EvoHome,4278.21,19.9,851.36,3426.85,37,4.01,49,2018-12-02,Supplier_127,12,6x39x2 cm,2916,Blue,Metal,12,India,True,2019-01-31,False,37.04,Medium
P000044,SKU100044,UrbanWear Blender Pro-344,Home & Kitchen,Blender,UrbanWear,2034.95,9.8,199.43,1835.52,33,4.3,150,2019-06-02,Supplier_311,12,47x12x19 cm,1835,Pink,Glass,15,Bangladesh,True,2019-07-10,False,19.41,Medium
P000045,SKU100045,NorthPeak Toy Car Plus-210,Toys & Baby,Toy Car,NorthPeak,16026.85,13.4,2147.6,13879.25,47,2.85,84,2024-06-28,Supplier_357,0,24x41x22 cm,3124,Yellow,Leather,12,China,True,2024-07-04,True,20.41,Medium
P000046,SKU100046,UrbanWear Coffee X-915,Grocery,Coffee,UrbanWear,1164.97,4.4,51.26,1113.71,52,4.22,4,2024-05-07,Supplier_216,36,7x27x18 cm,3559,Grey,Metal,14,Bangladesh,True,2024-06-30,False,32.0,Medium
P000047,SKU100047,Zenova Spices Mini-470,Grocery,Spices,Zenova,1230.82,0.0,0.0,1230.82,47,4.69,42,2025-02-16,Supplier_423,36,34x50x5 cm,3617,Red,Glass,4,South Korea,False,2025-03-15,False,36.55,Medium
P000048,SKU100048,PureSkin Baby Diapers Pro-950,Toys & Baby,Baby Diapers,PureSkin,242.47,29.2,70.8,171.67,58,3.77,29,2018-12-21,Supplier_167,6,33x20x25 cm,3856,Yellow,Ceramic,11,India,False,2019-02-13,False,33.45,Medium
P000049,SKU100049,LumaTech Sofa Cover Plus-916,Home & Kitchen,Sofa Cover,LumaTech,420.27,4.4,18.49,401.78,40,4.93,36,2020-11-24,Supplier_369,6,22x43x23 cm,2313,Brown,Plastic,14,Germany,True,2020-12-09,False,21.5,Medium
P000050,SKU100050,GreenHarvest Sports Shoes Pro-807,Sports,Sports Shoes,GreenHarvest,1305.22,45.9,599.1,706.12,50,4.07,76,2023-05-05,Supplier_125,24,50x36x15 cm,191,White,Glass,11,Germany,False,2023-06-18,False,29.43,Medium
P000051,SKU100051,UrbanWear Sunglasses Plus-584,Fashion,Sunglasses,UrbanWear,2271.83,4.4,99.96,2171.87,52,4.53,21,2024-03-17,Supplier_129,18,27x32x24 cm,4558,Grey,Ceramic,10,South Korea,True,2024-04-05,False,14.23,Medium
P000052,SKU100052,LumaTech Blender Plus-222,Home & Kitchen,Blender,LumaTech,15574.48,9.4,1464.0,14110.48,57,3.92,92,2024-01-04,Supplier_100,36,49x16x7 cm,1822,Pink,Glass,13,Vietnam,True,2024-02-26,True,7.7,Medium
P000053,SKU100053,PureSkin Jeans Pro-409,Fashion,Jeans,PureSkin,2374.46,17.4,413.16,1961.3,43,4.29,30,2018-02-27,Supplier_447,24,39x13x9 cm,422,Black,Glass,11,USA,False,2018-03-05,False,10.53,Medium
P000054,SKU100054,EvoHome Camera Mini-590,Electronics,Camera,EvoHome,3303.24,13.0,429.42,2873.82,61,2.76,55,2022-12-10,Supplier_296,6,16x8x9 cm,3963,White,Metal,6,Japan,False,2022-12-14,False,5.84,Medium
P000055,SKU100055,NorthPeak Toy Car Pro-930,Toys & Baby,Toy Car,NorthPeak,1164.49,4.3,50.07,1114.42,42,3.94,11,2024-04-24,Supplier_227,6,10x20x4 cm,4621,Yellow,Leather,9,Japan,False,2024-06-21,False,20.56,Medium
P000056,SKU100056,Sportify Watch Plus-682,Fashion,Watch,Sportify,8313.67,44.8,3724.52,4589.15,54,3.38,8,2024-12-18,Supplier_89,0,44x11x25 cm,1752,Blue,Glass,9,China,True,2025-01-02,False,27.95,Medium
P000057,SKU100057,NorthPeak Moisturizer X-518,Beauty,Moisturizer,NorthPeak,1443.52,0.0,0.0,1443.52,62,4.12,63,2023-01-20,Supplier_352,24,43x35x10 cm,317,Blue,Glass,4,Vietnam,False,2023-01-24,False,6.17,Medium
P000058,SKU100058,UrbanWear Vacuum Max-923,Home & Kitchen,Vacuum,UrbanWear,1095.17,27.1,296.79,798.38,51,4.96,29,2020-03-21,Supplier_406,12,12x39x8 cm,1270,Green,Cotton,10,China,True,2020-03-31,False,6.81,Medium
P000059,SKU100059,UrbanWear Watch Plus-549,Fashion,Watch,UrbanWear,6948.23,25.9,1799.59,5148.64,43,5.0,77,2019-05-25,Supplier_21,12,49x24x23 cm,3347,Green,Silicone,10,South Korea,True,2019-07-02,True,23.23,Medium
P000060,SKU100060,UrbanWear Cycling Helmet Plus-126,Sports,Cycling Helmet,UrbanWear,2537.68,36.7,931.33,1606.35,51,4.53,20,2019-01-10,Supplier_334,3,48x41x19 cm,219,Green,Plastic,15,USA,False,2019-02-12,False,37.89,Medium
P000061,SKU100061,NorthPeak Cycling Helmet Go-546,Sports,Cycling Helmet,NorthPeak,10847.69,23.0,2494.97,8352.72,44,3.73,8,2025-02-13,Supplier_83,36,36x10x16 cm,2900,Yellow,Ceramic,7,Bangladesh,True,2025-04-08,True,9.95,Medium
P000062,SKU100062,KiddoFun Jacket Plus-778,Fashion,Jacket,KiddoFun,5309.43,24.3,1290.19,4019.24,52,3.62,0,2022-06-29,Supplier_207,36,40x7x15 cm,771,Grey,Glass,12,Bangladesh,True,2022-08-17,False,28.75,Medium
P000063,SKU100063,Aurelia Breakfast Cereal Max-990,Grocery,Breakfast Cereal,Aurelia,8190.84,16.7,1367.87,6822.97,46,3.02,6,2024-02-01,Supplier_137,12,31x8x7 cm,4297,Grey,Silicone,11,South Korea,True,2024-02-14,True,27.91,Medium
P000064,SKU100064,EvoHome Shampoo Mini-815,Beauty,Shampoo,EvoHome,1806.12,13.0,234.8,1571.32,52,4.03,30,2023-06-09,Supplier_116,0,6x45x20 cm,2010,Red,Glass,10,India,False,2023-06-14,False,15.71,Medium
P000065,SKU100065,KiddoFun Olive Oil X-763,Grocery,Olive Oil,KiddoFun,527.88,4.1,21.64,506.24,41,3.96,46,2019-09-23,Supplier_283,12,50x23x17 cm,2289,Yellow,Silicone,13,South Korea,True,2019-10-22,False,7.66,Medium
P000066,SKU100066,LumaTech Sofa Cover Go-620,Home & Kitchen,Sofa Cover,LumaTech,2195.28,4.1,90.01,2105.27,42,3.39,67,2019-07-14,Supplier_153,36,9x22x25 cm,3449,Grey,Glass,6,India,True,2019-08-29,False,26.32,Medium
P000067,SKU100067,UrbanWear Breakfast Cereal Max-601,Grocery,Breakfast Cereal,UrbanWear,13962.94,16.7,2331.81,11631.13,44,3.84,44,2019-09-01,Supplier_97,12,39x35x12 cm,2773,Brown,Wood,12,South Korea,True,2019-10-26,True,20.51,Medium
P000068,SKU100068,UrbanWear Building Blocks Mini-339,Toys & Baby,Building Blocks,UrbanWear,3854.34,9.2,354.6,3499.74,51,4.36,43,2022-08-10,Supplier_258,0,25x35x23 cm,3173,Yellow,Cotton,9,South Korea,True,2022-08-18,False,15.92,Medium
P000069,SKU100069,Zenova Perfume Mini-202,Beauty,Perfume,Zenova,616.19,33.8,208.27,407.92,51,4.73,59,2023-11-25,Supplier_355,12,5x14x14 cm,1314,White,Silicone,10,Vietnam,True,2024-01-03,False,32.3,Medium
P000070,SKU100070,PureSkin Yoga Mat Max-979,Sports,Yoga Mat,PureSkin,14307.35,23.8,3405.15,10902.2,54,3.47,7,2023-12-26,Supplier_351,12,25x45x23 cm,4047,Brown,Plastic,7,China,True,2024-02-04,True,19.17,Medium
P000071,SKU100071,Zenova Jeans Mini-200,Fashion,Jeans,Zenova,2250.62,0.0,0.0,2250.62,51,5.0,34,2025-02-08,Supplier_184,24,11x33x6 cm,2503,Black,Plastic,10,Bangladesh,True,2025-02-26,False,26.6,Medium
P000072,SKU100072,NorthPeak Jacket Pro-643,Fashion,Jacket,NorthPeak,1376.42,4.0,55.06,1321.36,52,3.44,62,2022-08-15,Supplier_299,18,48x16x6 cm,1484,White,Wood,11,Germany,False,2022-10-12,False,13.97,Medium
P000073,SKU100073,KiddoFun Cooker Max-360,Home & Kitchen,Cooker,KiddoFun,8591.08,22.0,1890.04,6701.04,49,4.17,35,2023-02-26,Supplier_177,6,47x5x29 cm,3861,Green,Cotton,11,China,False,2023-04-27,True,7.74,Medium
P000074,SKU100074,Sportify Perfume Max-356,Beauty,Perfume,Sportify,19114.28,14.8,2828.91,16285.37,57,3.32,52,2023-02-15,Supplier_152,36,24x17x13 cm,4008,White,Leather,13,Japan,True,2023-03-23,True,10.43,Medium
P000075,SKU100075,Aurelia Baby Diapers Max-505,Toys & Baby,Baby Diapers,Aurelia,5695.38,38.7,2204.11,3491.27,61,3.62,10,2021-01-29,Supplier_326,0,41x48x25 cm,451,Pink,Glass,14,Germany,True,2021-02-12,False,17.87,Medium
P000076,SKU100076,EvoHome LED Bulb Max-873,Home & Kitchen,LED Bulb,EvoHome,2428.93,36.9,896.28,1532.65,47,3.7,11,2025-05-24,Supplier_68,24,13x45x4 cm,372,Green,Silicone,13,India,True,2025-07-09,False,30.68,Medium
P000077,SKU100077,PureSkin Headphones Max-525,Electronics,Headphones,PureSkin,893.71,48.6,434.34,459.37,62,4.5,44,2019-12-21,Supplier_423,3,13x39x29 cm,3047,Brown,Glass,7,USA,True,2020-02-17,False,25.5,Medium
P000078,SKU100078,PureSkin Cycling Helmet X-579,Sports,Cycling Helmet,PureSkin,1134.01,34.5,391.23,742.78,56,3.98,12,2018-11-05,Supplier_136,3,19x48x24 cm,3305,Brown,Ceramic,7,China,False,2018-11-05,False,18.17,Medium
P000079,SKU100079,KiddoFun Moisturizer Plus-788,Beauty,Moisturizer,KiddoFun,469.09,0.0,0.0,469.09,59,3.65,18,2025-07-16,Supplier_453,6,42x29x27 cm,3093,White,Leather,9,South Korea,True,2025-08-24,False,21.6,Medium
P000080,SKU100080,UrbanWear Perfume Pro-763,Beauty,Perfume,UrbanWear,5313.03,0.0,0.0,5313.03,49,3.45,3,2018-09-16,Supplier_253,24,34x49x10 cm,3394,White,Cotton,13,India,True,2018-10-05,True,25.36,Medium
P000081,SKU100081,LumaTech Smartphone Go-238,Electronics,Smartphone,LumaTech,612.55,0.0,0.0,612.55,51,4.17,146,2022-05-11,Supplier_251,12,28x47x24 cm,4475,Yellow,Cotton,9,Japan,True,2022-07-03,False,10.92,Medium
P000082,SKU100082,EvoHome Lipstick X-806,Beauty,Lipstick,EvoHome,562.37,29.9,168.15,394.22,48,3.85,14,2022-02-26,Supplier_142,3,33x33x8 cm,3021,White,Ceramic,7,Bangladesh,True,2022-03-23,False,14.51,Medium
P000083,SKU100083,KiddoFun Blender X-778,Home & Kitchen,Blender,KiddoFun,3090.62,16.7,516.13,2574.49,53,3.86,64,2020-05-18,Supplier_425,24,45x43x1 cm,464,Grey,Leather,9,USA,True,2020-05-22,False,14.68,Medium
P000084,SKU100084,LumaTech Breakfast Cereal Go-321,Grocery,Breakfast Cereal,LumaTech,1686.55,29.4,495.85,1190.7,43,3.78,10,2020-08-12,Supplier_339,6,14x43x1 cm,2321,Red,Cotton,11,Vietnam,True,2020-08-19,False,8.61,Medium
P000085,SKU100085,NorthPeak Olive Oil X-466,Grocery,Olive Oil,NorthPeak,762.72,17.4,132.71,630.01,45,3.07,48,2020-09-01,Supplier_33,18,25x6x6 cm,2223,Black,Cotton,9,Japan,True,2020-10-18,False,11.99,Medium
P000086,SKU100086,PureSkin Sports Shoes Go-707,Sports,Sports Shoes,PureSkin,742.94,9.9,73.55,669.39,56,4.36,101,2019-03-23,Supplier_246,12,37x19x20 cm,405,Brown,Glass,10,South Korea,True,2019-03-26,False,24.58,Medium
P000087,SKU100087,Sportify Spices Max-210,Grocery,Spices,Sportify,355.16,0.0,0.0,355.16,51,3.63,90,2023-07-02,Supplier_320,24,33x9x29 cm,711,Grey,Cotton,6,China,True,2023-07-19,False,12.92,Medium
P000088,SKU100088,Sportify Baby Diapers Go-643,Toys & Baby,Baby Diapers,Sportify,14579.21,19.3,2813.79,11765.42,50,3.75,25,2021-04-22,Supplier_117,12,37x43x14 cm,862,White,Leather,10,Japan,False,2021-06-17,True,25.37,Medium
P000089,SKU100089,KiddoFun Cycling Helmet Mini-525,Sports,Cycling Helmet,KiddoFun,1212.39,17.1,207.32,1005.07,45,4.43,34,2019-01-25,Supplier_426,6,32x25x22 cm,2138,Grey,Cotton,11,South Korea,True,2019-01-30,False,5.84,Medium
P000090,SKU100090,Sportify Smartphone X-862,Electronics,Smartphone,Sportify,1658.66,4.2,69.66,1589.0,55,3.2,46,2022-03-07,Supplier_448,36,13x40x2 cm,4854,Brown,Ceramic,7,China,False,2022-03-29,False,11.08,Medium
P000091,SKU100091,Aurelia Stroller Plus-714,Toys & Baby,Stroller,Aurelia,4022.99,14.2,571.26,3451.73,46,5.0,138,2021-07-03,Supplier_433,6,11x41x17 cm,1792,Red,Silicone,12,Germany,True,2021-07-25,False,26.4,Medium
P000092,SKU100092,Zenova Perfume Plus-687,Beauty,Perfume,Zenova,1230.64,9.2,113.22,1117.42,34,3.82,45,2020-07-15,Supplier_360,36,32x40x25 cm,4610,Black,Glass,8,India,True,2020-08-01,False,25.45,Medium
P000093,SKU100093,PureSkin Coffee Plus-106,Grocery,Coffee,PureSkin,1612.18,37.8,609.4,1002.78,50,3.07,85,2020-01-14,Supplier_272,36,14x41x22 cm,3333,White,Cotton,13,India,True,2020-03-01,False,14.65,Medium
P000094,SKU100094,Sportify Sofa Cover Mini-449,Home & Kitchen,Sofa Cover,Sportify,2543.1,8.6,218.71,2324.39,57,3.76,36,2019-10-07,Supplier_317,6,24x25x25 cm,4699,White,Plastic,13,USA,True,2019-11-24,False,26.81,Medium
P000095,SKU100095,Zenova Tablet Plus-553,Electronics,Tablet,Zenova,396.78,23.2,92.05,304.73,53,4.09,2,2025-06-04,Supplier_57,12,36x43x15 cm,3442,Green,Leather,10,China,True,2025-07-01,False,10.81,Medium
P000096,SKU100096,UrbanWear Sunglasses Mini-639,Fashion,Sunglasses,UrbanWear,2067.06,18.9,390.67,1676.39,43,3.77,27,2025-06-25,Supplier_109,6,7x19x13 cm,4959,Black,Plastic,10,Germany,True,2025-08-24,False,33.61,Medium
P000097,SKU100097,EvoHome Rice Plus-435,Grocery,Rice,EvoHome,3443.04,4.9,168.71,3274.33,51,4.87,81,2019-05-07,Supplier_442,0,36x32x6 cm,1108,Yellow,Leather,10,Bangladesh,True,2019-06-01,False,13.76,Medium
P000098,SKU100098,Sportify Toy Car X-570,Toys & Baby,Toy Car,Sportify,606.85,4.0,24.27,582.58,59,2.86,103,2018-11-15,Supplier_11,36,25x41x14 cm,4747,Yellow,Wood,8,Vietnam,True,2018-12-10,False,21.36,Medium
P000099,SKU100099,UrbanWear Jeans Mini-951,Fashion,Jeans,UrbanWear,1774.55,34.2,606.9,1167.65,48,4.17,65,2025-09-25,Supplier_446,6,10x32x28 cm,917,Blue,Wood,8,Japan,True,2025-10-20,False,38.16,Medium
P000100,SKU100100,PureSkin Sunglasses Pro-441,Fashion,Sunglasses,PureSkin,492.46,42.8,210.77,281.69,61,2.75,5,2019-11-20,Supplier_491,0,37x45x4 cm,4396,Brown,Leather,9,Bangladesh,True,2020-01-05,False,25.22,Medium
P000101,SKU100101,LumaTech Rice X-249,Grocery,Rice,LumaTech,15598.13,16.4,2558.09,13040.04,48,3.97,47,2020-11-14,Supplier_474,3,16x43x5 cm,667,Red,Silicone,11,South Korea,False,2020-12-27,True,31.33,Medium
P000102,SKU100102,PureSkin Facewash Max-423,Beauty,Facewash,PureSkin,6699.61,42.2,2827.24,3872.37,43,4.4,21,2019-09-11,Supplier_237,12,9x35x15 cm,2530,Green,Plastic,9,Bangladesh,True,2019-09-30,False,31.09,Medium
P000103,SKU100103,Aurelia Yoga Mat Plus-951,Sports,Yoga Mat,Aurelia,276.01,8.4,23.18,252.83,44,4.93,4,2021-03-21,Supplier_466,0,46x10x20 cm,4916,Brown,Wood,14,South Korea,True,2021-04-18,False,18.35,Medium
P000104,SKU100104,LumaTech Breakfast Cereal Plus-719,Grocery,Breakfast Cereal,LumaTech,17718.94,9.9,1754.18,15964.76,59,5.0,53,2023-05-03,Supplier_363,18,14x8x15 cm,897,Grey,Metal,10,USA,True,2023-05-18,True,8.51,Medium
