Loan_ID,Customer_ID,Bank_Branch,Loan_Type,Applicant_Age,Annual_Income,Loan_Amount,Loan_Term_Years,Credit_Score,Employment_Type,Loan_Status
700105,734115,Hyderabad West,Business Loan,47,2493012,132895,15,667,Business Owner,Approved
700106,129427,Chennai South,Education Loan,24,2706558,2704963,5,842,Business Owner,Rejected
700107,651928,Chennai South,Home Loan,31,1720013,1207693,15,572,Self-Employed,Approved
700108,240510,Bengaluru Urban,Car Loan,32,514851,819725,10,758,Business Owner,Rejected
700109,346022,Delhi NCR,Personal Loan,27,4440281,450562,25,831,Business Owner,Rejected
700110,442281,Delhi NCR,Home Loan,33,4513175,1910815,25,350,Business Owner,Approved
700111,903927,Hyderabad West,Home Loan,41,966619,1304009,30,670,Self-Employed,Rejected
700112,207534,Mumbai Central,Car Loan,64,1261427,1273921,10,503,Business Owner,Approved
700113,147078,Bengaluru Urban,Business Loan,59,2491627,1446985,10,428,Salaried,Rejected
700114,160281,Hyderabad West,Home Loan,47,4745752,1682715,5,348,Salaried,Approved
700115,789350,Chennai South,Education Loan,21,1385216,871021,15,479,Self-Employed,Approved
700116,663340,Hyderabad West,Education Loan,46,2512682,1097431,10,861,Self-Employed,Rejected
700117,854102,Delhi NCR,Education Loan,25,1299436,1858610,25,768,Salaried,Approved
700118,921787,Delhi NCR,Personal Loan,60,4355930,2069825,10,648,Salaried,Approved
700119,700870,Chennai South,Personal Loan,44,245611,2088957,30,421,Business Owner,Approved
700120,140337,Chennai South,Personal Loan,59,301301,1629270,15,761,Salaried,Approved
700121,636509,Mumbai Central,Business Loan,58,1593651,608687,15,859,Business Owner,Rejected
700122,413198,Bengaluru Urban,Home Loan,63,2099470,1829779,30,317,Salaried,Approved
700123,906730,Delhi NCR,Business Loan,50,4723163,125664,5,575,Salaried,Approved
700124,322051,Delhi NCR,Car Loan,57,1731568,2770376,5,460,Business Owner,Approved
700125,578836,Bengaluru Urban,Home Loan,55,3399365,582640,20,498,Self-Employed,Approved
700126,218883,Delhi NCR,Education Loan,61,2572404,2212820,25,514,Salaried,Approved
700127,741217,Delhi NCR,Education Loan,44,4030425,1686561,15,475,Self-Employed,Approved
700128,168399,Delhi NCR,Home Loan,50,2461910,1743340,15,578,Self-Employed,Approved
700129,931504,Delhi NCR,Car Loan,64,1865747,502581,15,855,Business Owner,Rejected
700130,396581,Chennai South,Education Loan,42,851961,2972823,5,351,Salaried,Approved
700131,720904,Hyderabad West,Car Loan,62,1251150,1818195,10,595,Salaried,Rejected
700132,633613,Mumbai Central,Business Loan,63,644909,943030,30,424,Business Owner,Approved
700133,203510,Chennai South,Car Loan,37,1902946,935282,30,543,Self-Employed,Approved
700134,235214,Mumbai Central,Business Loan,43,747614,1221845,30,788,Salaried,Approved
700135,807899,Hyderabad West,Education Loan,24,2316867,1220786,20,537,Salaried,Approved
700136,717881,Mumbai Central,Personal Loan,41,4454322,649078,10,340,Business Owner,Rejected
700137,799693,Hyderabad West,Education Loan,44,4894613,987163,20,413,Salaried,Rejected
700138,873553,Hyderabad West,Car Loan,40,556115,1407735,30,572,Salaried,Approved
700139,425376,Chennai South,Home Loan,28,2842720,1886693,20,391,Business Owner,Approved
700140,535619,Mumbai Central,Car Loan,23,2179832,2755321,15,522,Salaried,Approved
700141,890429,Hyderabad West,Car Loan,26,4017454,1543230,25,883,Salaried,Approved
700142,590881,Chennai South,Car Loan,32,1096179,1873787,30,808,Salaried,Approved
700143,248435,Bengaluru Urban,Business Loan,27,2404092,1166466,20,899,Self-Employed,Approved
700144,387556,Mumbai Central,Business Loan,32,2464762,194887,30,395,Self-Employed,Rejected
700145,459326,Chennai South,Home Loan,60,3300356,259992,25,355,Business Owner,Approved
700146,603645,Bengaluru Urban,Car Loan,52,3667913,2134672,25,408,Self-Employed,Approved
700147,624609,Bengaluru Urban,Car Loan,64,3920165,2417451,15,353,Salaried,Rejected
700148,677396,Delhi NCR,Home Loan,22,1441386,988187,15,419,Salaried,Rejected
700149,530846,Delhi NCR,Business Loan,45,4776590,205588,15,495,Business Owner,Rejected
700150,446060,Mumbai Central,Personal Loan,43,1403152,99962,15,316,Business Owner,Rejected
700151,305123,Chennai South,Personal Loan,30,4731485,2087173,10,319,Business Owner,Approved
700152,485843,Delhi NCR,Business Loan,41,532036,1742117,20,391,Business Owner,Rejected
700153,636199,Delhi NCR,Business Loan,44,1606591,697230,25,483,Business Owner,Approved
700154,436870,Hyderabad West,Car Loan,62,203263,2743007,5,409,Business Owner,Rejected
700155,967469,Delhi NCR,Education Loan,21,4338162,2159778,10,880,Salaried,Approved
700156,456764,Bengaluru Urban,Car Loan,54,1122826,2427767,30,820,Self-Employed,Approved
700157,515084,Hyderabad West,Personal Loan,42,4276515,2765742,5,479,Self-Employed,Approved
700158,232415,Hyderabad West,Education Loan,50,1415291,171219,30,880,Self-Employed,Approved
700159,784372,Delhi NCR,Car Loan,36,3529061,1418190,10,763,Salaried,Approved
700160,349764,Mumbai Central,Car Loan,26,4589997,537603,30,525,Self-Employed,Approved
700161,320791,Mumbai Central,Business Loan,59,4796912,1690042,25,378,Salaried,Approved
700162,319632,Bengaluru Urban,Education Loan,24,1384838,2057553,30,553,Self-Employed,Approved
700163,118912,Hyderabad West,Car Loan,39,4867003,2409157,30,480,Self-Employed,Approved
700164,560153,Delhi NCR,Business Loan,33,2004565,1452275,5,875,Self-Employed,Approved
700165,936008,Bengaluru Urban,Personal Loan,57,1973433,1803051,20,382,Self-Employed,Approved
700166,410744,Bengaluru Urban,Education Loan,29,4743945,1538440,15,344,Business Owner,Approved
700167,672276,Delhi NCR,Personal Loan,23,1437792,870397,5,817,Salaried,Approved
700168,913818,Delhi NCR,Personal Loan,58,1378387,2720661,30,761,Self-Employed,Approved
700169,934495,Chennai South,Personal Loan,34,1701527,358279,15,662,Business Owner,Approved
700170,910477,Delhi NCR,Personal Loan,39,2900107,1783718,30,842,Self-Employed,Approved
700171,644845,Hyderabad West,Education Loan,61,2280284,1328838,20,362,Salaried,Approved
700172,618152,Delhi NCR,Business Loan,56,3377102,586399,30,880,Business Owner,Approved
700173,279406,Mumbai Central,Personal Loan,45,4211713,1115752,30,605,Salaried,Approved
700174,940070,Hyderabad West,Home Loan,21,954721,1894033,5,611,Business Owner,Approved
700175,156385,Bengaluru Urban,Education Loan,48,3413120,2150960,15,390,Business Owner,Approved
700176,252798,Delhi NCR,Personal Loan,30,4476421,1126291,25,322,Salaried,Rejected
700177,269158,Mumbai Central,Business Loan,30,2893110,2471983,20,418,Self-Employed,Approved
700178,973000,Mumbai Central,Business Loan,24,744904,229798,30,336,Business Owner,Rejected
700179,243223,Chennai South,Car Loan,29,3540632,2021364,10,809,Self-Employed,Rejected
700180,904810,Delhi NCR,Home Loan,25,4002081,795143,15,588,Self-Employed,Approved
700181,336620,Chennai South,Education Loan,44,519535,1915420,5,342,Self-Employed,Approved
700182,403564,Bengaluru Urban,Car Loan,22,1942797,2252413,30,403,Self-Employed,Rejected
700183,248970,Bengaluru Urban,Personal Loan,61,4002606,1678966,5,303,Salaried,Approved
700184,342299,Mumbai Central,Personal Loan,54,1300991,1688416,10,827,Self-Employed,Approved
700185,978065,Mumbai Central,Personal Loan,35,2502884,2142908,20,871,Business Owner,Rejected
700186,792359,Delhi NCR,Car Loan,42,3925844,1981705,5,651,Self-Employed,Approved
700187,410029,Mumbai Central,Car Loan,64,355047,2360742,30,444,Self-Employed,Approved
700188,920652,Chennai South,Home Loan,60,3657543,2584252,5,495,Self-Employed,Rejected
700189,690587,Bengaluru Urban,Education Loan,63,3473883,2333507,25,415,Self-Employed,Approved
700190,291745,Mumbai Central,Education Loan,35,4785920,1170399,20,681,Business Owner,Approved
700191,171415,Mumbai Central,Education Loan,25,1952220,1207986,5,349,Business Owner,Approved
700192,804169,Chennai South,Home Loan,54,4729751,925009,30,334,Business Owner,Rejected
700193,887662,Mumbai Central,Car Loan,23,284277,2486744,25,744,Self-Employed,Approved
700194,201816,Hyderabad West,Personal Loan,36,1358965,257854,5,362,Business Owner,Approved
700195,147575,Chennai South,Car Loan,34,3901208,905800,25,454,Self-Employed,Approved
700196,530655,Delhi NCR,Personal Loan,61,1300154,534093,30,559,Salaried,Rejected
700197,305281,Mumbai Central,Business Loan,59,2387162,2500722,5,630,Salaried,Approved
700198,905379,Bengaluru Urban,Personal Loan,38,3313819,1755335,30,499,Salaried,Approved
700199,632497,Mumbai Central,Car Loan,63,1163739,1788590,10,357,Business Owner,Approved
700200,801528,Chennai South,Car Loan,42,753765,1406434,15,551,Business Owner,Approved
700201,883086,Hyderabad West,Car Loan,34,2748655,2967751,20,495,Self-Employed,Rejected
700202,381815,Chennai South,Personal Loan,50,1943847,162964,25,883,Salaried,Approved
700203,309093,Hyderabad West,Home Loan,57,2098187,62432,30,670,Business Owner,Approved
700204,602369,Bengaluru Urban,Personal Loan,42,2056238,986679,25,627,Salaried,Approved
700205,110802,Mumbai Central,Car Loan,46,2238136,1808394,25,398,Self-Employed,Rejected
700206,979973,Delhi NCR,Personal Loan,53,843577,2398423,20,507,Salaried,Rejected
700207,375586,Mumbai Central,Home Loan,24,1840272,2249930,25,666,Self-Employed,Rejected
700208,418098,Mumbai Central,Car Loan,56,3642599,1420591,15,856,Salaried,Approved
700209,392654,Mumbai Central,Education Loan,23,4593929,1425746,15,575,Business Owner,Approved
700210,616653,Mumbai Central,Education Loan,51,1022537,1843925,30,325,Self-Employed,Rejected
700211,599641,Hyderabad West,Home Loan,64,3802314,880069,20,731,Salaried,Approved
700212,436803,Chennai South,Home Loan,30,4554730,722287,20,686,Salaried,Approved
700213,138418,Mumbai Central,Personal Loan,24,2255877,1059049,15,754,Self-Employed,Approved
700214,438395,Hyderabad West,Business Loan,52,700204,2635166,30,620,Self-Employed,Approved
700215,505430,Bengaluru Urban,Car Loan,40,3167997,708480,15,416,Self-Employed,Approved
700216,340119,Chennai South,Car Loan,59,2349813,796280,5,740,Business Owner,Rejected
700217,119006,Hyderabad West,Personal Loan,29,1421609,1962800,10,407,Self-Employed,Rejected
700218,544043,Mumbai Central,Car Loan,31,2320032,1380492,10,721,Self-Employed,Approved
700219,744506,Delhi NCR,Home Loan,60,4326956,930227,15,516,Self-Employed,Approved
700220,274172,Delhi NCR,Personal Loan,52,487280,2545234,15,364,Business Owner,Approved
700221,460440,Delhi NCR,Education Loan,62,2667398,1778531,15,437,Salaried,Approved
700222,456234,Hyderabad West,Car Loan,48,1871141,1908066,5,338,Self-Employed,Approved
700223,598221,Hyderabad West,Business Loan,61,4084993,449717,5,783,Business Owner,Rejected
700224,409882,Delhi NCR,Education Loan,52,3364591,1244242,25,757,Business Owner,Approved
700225,874586,Bengaluru Urban,Car Loan,34,1744693,2249732,15,400,Business Owner,Approved
700226,803675,Bengaluru Urban,Education Loan,44,1876053,1949469,5,808,Self-Employed,Approved
700227,583735,Hyderabad West,Personal Loan,37,3568476,1483165,20,520,Self-Employed,Rejected
700228,845753,Bengaluru Urban,Home Loan,32,4898303,788639,20,586,Business Owner,Rejected
700229,709051,Chennai South,Car Loan,46,587119,1175823,30,596,Self-Employed,Approved
700230,313433,Mumbai Central,Home Loan,31,2114205,1214327,20,389,Salaried,Rejected
700231,629006,Hyderabad West,Education Loan,36,3145595,1186728,25,650,Business Owner,Rejected
700232,242843,Delhi NCR,Home Loan,35,851670,1091857,25,724,Business Owner,Approved
700233,186275,Hyderabad West,Home Loan,23,2910219,399222,25,447,Salaried,Rejected
700234,236803,Bengaluru Urban,Home Loan,33,3374774,1526443,25,325,Self-Employed,Approved
700235,635246,Delhi NCR,Business Loan,59,1247097,1290306,25,546,Salaried,Rejected
700236,946779,Delhi NCR,Personal Loan,51,3071184,217956,5,363,Business Owner,Rejected
700237,946256,Hyderabad West,Personal Loan,34,1535340,2891550,10,591,Business Owner,Approved
700238,895960,Mumbai Central,Car Loan,45,1363344,2106215,5,482,Salaried,Approved
700239,770679,Bengaluru Urban,Education Loan,29,4273202,1193521,10,666,Business Owner,Approved
700240,911863,Hyderabad West,Education Loan,49,4624321,2648609,25,558,Self-Employed,Approved
700241,379140,Chennai South,Car Loan,22,3212995,2065783,20,360,Salaried,Approved
700242,991780,Mumbai Central,Business Loan,45,4550826,2360281,10,852,Business Owner,Approved
700243,942864,Hyderabad West,Home Loan,28,1470266,1621787,15,897,Self-Employed,Rejected
700244,503768,Delhi NCR,Education Loan,61,845484,320135,30,465,Self-Employed,Approved
700245,651484,Chennai South,Car Loan,24,4373976,2668432,20,451,Business Owner,Approved
700246,770345,Chennai South,Car Loan,24,553947,395110,15,505,Business Owner,Approved
700247,850786,Chennai South,Personal Loan,46,4402084,992333,20,520,Business Owner,Approved
700248,686725,Hyderabad West,Home Loan,64,1774420,1080600,20,708,Business Owner,Approved
700249,864577,Hyderabad West,Home Loan,41,3335338,2246774,5,629,Business Owner,Approved
700250,563941,Delhi NCR,Personal Loan,31,4177935,811905,25,898,Salaried,Approved
700251,799785,Delhi NCR,Business Loan,53,2788330,1825498,30,834,Salaried,Rejected
700252,752495,Delhi NCR,Education Loan,59,2906783,2703838,10,730,Business Owner,Approved
700253,302268,Hyderabad West,Personal Loan,49,3110735,489360,15,342,Business Owner,Approved
700254,964578,Hyderabad West,Home Loan,29,4902623,2686798,20,582,Business Owner,Approved
700255,667012,Mumbai Central,Car Loan,39,4141958,2404242,10,348,Self-Employed,Rejected
700256,806307,Delhi NCR,Education Loan,40,805467,302256,25,860,Business Owner,Approved
700257,814672,Mumbai Central,Home Loan,59,1025430,1328414,20,704,Salaried,Approved
700258,148899,Hyderabad West,Business Loan,63,1167073,2267373,20,757,Business Owner,Approved
700259,117115,Hyderabad West,Personal Loan,21,2840887,2765831,30,561,Business Owner,Rejected
700260,785751,Bengaluru Urban,Education Loan,28,3395498,1761829,20,665,Salaried,Approved
700261,751554,Bengaluru Urban,Business Loan,42,2199835,2019806,10,712,Business Owner,Rejected
700262,414661,Hyderabad West,Education Loan,47,2446520,1548652,10,427,Salaried,Approved
700263,881617,Mumbai Central,Home Loan,50,3652427,1204451,10,575,Self-Employed,Rejected
700264,769525,Chennai South,Personal Loan,37,4401022,144464,15,614,Business Owner,Approved
700265,375097,Chennai South,Home Loan,62,1744245,2660670,30,819,Self-Employed,Approved
700266,432986,Mumbai Central,Home Loan,27,817584,2740601,25,385,Salaried,Approved
700267,690018,Bengaluru Urban,Business Loan,40,2424966,233160,5,774,Business Owner,Rejected
700268,793549,Bengaluru Urban,Business Loan,37,3712965,2028188,10,418,Business Owner,Approved
700269,840362,Bengaluru Urban,Home Loan,43,4932316,2447413,10,547,Self-Employed,Rejected
700270,195368,Hyderabad West,Home Loan,31,1004350,2947644,5,660,Salaried,Approved
700271,248213,Delhi NCR,Business Loan,37,4376752,407326,25,307,Salaried,Approved
700272,711296,Chennai South,Home Loan,25,2702097,1739704,5,457,Salaried,Approved
700273,904121,Delhi NCR,Car Loan,42,1617929,1977740,30,754,Salaried,Approved
700274,865507,Delhi NCR,Education Loan,56,2571741,894021,30,322,Business Owner,Approved
700275,974099,Bengaluru Urban,Business Loan,40,463487,2457545,20,610,Salaried,Approved
700276,955361,Hyderabad West,Home Loan,33,3193730,2353411,10,416,Self-Employed,Approved
700277,280678,Mumbai Central,Home Loan,27,571894,2349411,10,427,Business Owner,Approved
700278,904707,Chennai South,Business Loan,31,410416,1468252,25,551,Self-Employed,Approved
700279,750919,Mumbai Central,Personal Loan,46,3656833,67804,20,501,Salaried,Rejected
700280,365170,Bengaluru Urban,Personal Loan,33,4457843,850939,20,366,Self-Employed,Approved
700281,728956,Delhi NCR,Education Loan,37,1075782,613191,5,382,Self-Employed,Rejected
700282,811078,Chennai South,Car Loan,41,1419732,491062,10,479,Business Owner,Approved
700283,754213,Delhi NCR,Home Loan,51,545906,2695907,5,816,Self-Employed,Approved
700284,651049,Chennai South,Education Loan,60,944303,2484012,30,506,Salaried,Approved
700285,470856,Chennai South,Education Loan,64,2538689,758512,30,459,Business Owner,Approved
700286,326810,Delhi NCR,Business Loan,38,1453659,2839644,5,782,Salaried,Approved
700287,483191,Mumbai Central,Personal Loan,24,4473008,2220122,10,569,Business Owner,Rejected
700288,869429,Hyderabad West,Home Loan,31,2731366,231122,10,483,Business Owner,Approved
700289,303570,Bengaluru Urban,Personal Loan,33,2114164,585080,20,638,Self-Employed,Approved
700290,122436,Mumbai Central,Personal Loan,25,798199,1579240,25,609,Self-Employed,Approved
700291,160460,Hyderabad West,Car Loan,43,3540702,2375606,5,373,Salaried,Approved
700292,362748,Mumbai Central,Education Loan,29,3082200,1414356,20,770,Self-Employed,Approved
700293,974833,Delhi NCR,Personal Loan,59,2558683,658688,5,863,Salaried,Approved
700294,766599,Bengaluru Urban,Business Loan,60,1261445,2914116,30,806,Self-Employed,Approved
700295,264972,Chennai South,Education Loan,35,4979777,542636,30,631,Business Owner,Approved
700296,294408,Bengaluru Urban,Home Loan,22,924127,2459929,15,678,Salaried,Approved
700297,432023,Delhi NCR,Personal Loan,39,610509,2035846,5,600,Self-Employed,Approved
700298,996759,Mumbai Central,Personal Loan,27,2223255,2276064,25,673,Business Owner,Rejected
700299,209582,Chennai South,Business Loan,31,944785,249907,30,408,Salaried,Rejected
700300,984247,Mumbai Central,Personal Loan,25,4400431,765920,30,897,Salaried,Approved
700301,987614,Bengaluru Urban,Business Loan,56,1465302,122481,10,697,Business Owner,Approved
700302,100924,Hyderabad West,Education Loan,32,2060835,159824,5,499,Self-Employed,Approved
700303,844053,Bengaluru Urban,Home Loan,27,1887237,1887535,5,486,Salaried,Approved
700304,913648,Chennai South,Home Loan,24,2849744,2720263,25,761,Business Owner,Rejected
700305,679822,Bengaluru Urban,Car Loan,63,2067089,2565934,25,487,Self-Employed,Approved
700306,619320,Bengaluru Urban,Car Loan,48,2984588,2428371,5,434,Business Owner,Approved
700307,600862,Delhi NCR,Personal Loan,25,1994581,1526677,20,378,Salaried,Rejected
700308,140881,Hyderabad West,Home Loan,57,4772794,1379111,25,809,Business Owner,Rejected
700309,430192,Chennai South,Car Loan,51,4629459,1091718,25,470,Self-Employed,Approved
700310,538766,Bengaluru Urban,Personal Loan,58,1401366,505740,10,695,Salaried,Approved
700311,135822,Delhi NCR,Home Loan,35,2668583,305893,10,826,Self-Employed,Approved
700312,439540,Hyderabad West,Personal Loan,56,4770957,1800735,30,776,Business Owner,Approved
700313,265611,Mumbai Central,Personal Loan,62,2513792,124599,20,800,Business Owner,Approved
