Flight_ID,Airline,Source_City,Destination_City,Flight_Distance_km,Scheduled_Departure,Departure_Delay_Min,Arrival_Delay_Min,Ticket_Price,Flight_Status
500083,SpiceJet,Delhi,Mumbai,1103,2023-06-04 10:00:00,145,105,10959,On Time
500084,Air India,Bengaluru,Mumbai,2232,2023-06-04 11:00:00,105,120,15657,On Time
500085,SpiceJet,Delhi,Mumbai,1028,2023-06-04 12:00:00,102,49,10080,Delayed
500086,Air India,Kolkata,Delhi,574,2023-06-04 13:00:00,-4,-11,7265,On Time
500087,SpiceJet,Hyderabad,Kolkata,544,2023-06-04 14:00:00,44,73,13837,Delayed
500088,Air India,Chennai,Bengaluru,1299,2023-06-04 15:00:00,79,40,17018,On Time
500089,IndiGo,Hyderabad,Delhi,1203,2023-06-04 16:00:00,32,107,2838,On Time
500090,Vistara,Delhi,Hyderabad,1246,2023-06-04 17:00:00,68,104,15880,On Time
500091,Vistara,Kolkata,Chennai,1736,2023-06-04 18:00:00,26,58,14443,On Time
500092,Air India,Hyderabad,Chennai,1561,2023-06-04 19:00:00,162,174,8060,Delayed
500093,Air India,Bengaluru,Delhi,1169,2023-06-04 20:00:00,87,6,17423,On Time
500094,SpiceJet,Kolkata,Hyderabad,367,2023-06-04 21:00:00,121,13,6725,Delayed
500095,Air India,Kolkata,Hyderabad,1713,2023-06-04 22:00:00,103,194,5661,On Time
500096,Air India,Bengaluru,Chennai,1635,2023-06-04 23:00:00,36,182,7222,Cancelled
500097,Air India,Hyderabad,Mumbai,541,2023-06-05 00:00:00,138,15,15633,Delayed
500098,Air India,Chennai,Bengaluru,1942,2023-06-05 01:00:00,-1,160,6501,On Time
500099,Air India,Kolkata,Bengaluru,396,2023-06-05 02:00:00,36,14,12909,On Time
500100,SpiceJet,Kolkata,Delhi,1168,2023-06-05 03:00:00,139,182,6344,On Time
500101,SpiceJet,Hyderabad,Bengaluru,2410,2023-06-05 04:00:00,11,15,14819,Delayed
500102,Akasa Air,Hyderabad,Kolkata,518,2023-06-05 05:00:00,137,35,3947,On Time
500103,Air India,Chennai,Hyderabad,2264,2023-06-05 06:00:00,86,86,4135,On Time
500104,Air India,Hyderabad,Hyderabad,1740,2023-06-05 07:00:00,83,183,15798,Delayed
500105,SpiceJet,Delhi,Mumbai,752,2023-06-05 08:00:00,97,53,3137,On Time
500106,Air India,Kolkata,Delhi,825,2023-06-05 09:00:00,125,65,8313,Delayed
500107,Akasa Air,Mumbai,Hyderabad,1214,2023-06-05 10:00:00,28,154,7536,On Time
500108,SpiceJet,Kolkata,Delhi,2067,2023-06-05 11:00:00,89,141,8649,On Time
500109,Akasa Air,Hyderabad,Kolkata,429,2023-06-05 12:00:00,89,120,6700,On Time
500110,IndiGo,Bengaluru,Chennai,720,2023-06-05 13:00:00,145,155,3037,Delayed
500111,Air India,Mumbai,Hyderabad,2354,2023-06-05 14:00:00,37,126,11240,On Time
500112,Air India,Hyderabad,Delhi,694,2023-06-05 15:00:00,155,61,5512,On Time
500113,Air India,Hyderabad,Hyderabad,1518,2023-06-05 16:00:00,135,123,13151,On Time
500114,Akasa Air,Kolkata,Chennai,1419,2023-06-05 17:00:00,120,139,8317,On Time
500115,IndiGo,Mumbai,Mumbai,2265,2023-06-05 18:00:00,141,123,12666,On Time
500116,SpiceJet,Hyderabad,Delhi,923,2023-06-05 19:00:00,56,9,4329,On Time
500117,Air India,Bengaluru,Mumbai,427,2023-06-05 20:00:00,90,28,2972,On Time
500118,IndiGo,Kolkata,Delhi,2186,2023-06-05 21:00:00,68,129,2621,On Time
500119,SpiceJet,Kolkata,Kolkata,1901,2023-06-05 22:00:00,62,95,8540,On Time
500120,Vistara,Bengaluru,Hyderabad,722,2023-06-05 23:00:00,54,12,8662,On Time
500121,Air India,Bengaluru,Delhi,657,2023-06-06 00:00:00,4,128,5972,On Time
500122,Akasa Air,Kolkata,Chennai,1570,2023-06-06 01:00:00,6,44,13413,Delayed
500123,Akasa Air,Kolkata,Delhi,1246,2023-06-06 02:00:00,168,138,12012,On Time
500124,IndiGo,Kolkata,Delhi,1142,2023-06-06 03:00:00,118,-2,10050,On Time
500125,Vistara,Delhi,Kolkata,1019,2023-06-06 04:00:00,173,149,9867,On Time
500126,Air India,Mumbai,Hyderabad,808,2023-06-06 05:00:00,125,18,3662,On Time
500127,IndiGo,Delhi,Chennai,776,2023-06-06 06:00:00,84,91,5735,On Time
500128,IndiGo,Delhi,Delhi,1667,2023-06-06 07:00:00,70,70,6500,On Time
500129,Air India,Delhi,Hyderabad,2184,2023-06-06 08:00:00,81,157,3435,On Time
500130,Air India,Mumbai,Bengaluru,2097,2023-06-06 09:00:00,79,194,4152,Delayed
500131,Akasa Air,Mumbai,Bengaluru,1253,2023-06-06 10:00:00,175,168,3128,On Time
500132,Vistara,Hyderabad,Chennai,2184,2023-06-06 11:00:00,-3,75,14168,Delayed
500133,IndiGo,Hyderabad,Bengaluru,1048,2023-06-06 12:00:00,156,32,3783,Delayed
500134,IndiGo,Chennai,Bengaluru,1573,2023-06-06 13:00:00,88,174,9447,Delayed
500135,SpiceJet,Hyderabad,Hyderabad,762,2023-06-06 14:00:00,172,28,10642,On Time
500136,IndiGo,Kolkata,Bengaluru,2145,2023-06-06 15:00:00,123,129,13566,On Time
500137,IndiGo,Chennai,Mumbai,1988,2023-06-06 16:00:00,89,183,8338,On Time
500138,SpiceJet,Mumbai,Delhi,1281,2023-06-06 17:00:00,133,166,16719,Delayed
500139,Akasa Air,Bengaluru,Delhi,982,2023-06-06 18:00:00,54,135,17814,Delayed
500140,Vistara,Delhi,Hyderabad,1825,2023-06-06 19:00:00,120,103,15126,Delayed
500141,SpiceJet,Mumbai,Kolkata,1367,2023-06-06 20:00:00,42,181,9285,Delayed
500142,Akasa Air,Bengaluru,Hyderabad,1286,2023-06-06 21:00:00,92,34,11076,On Time
500143,Akasa Air,Kolkata,Kolkata,2466,2023-06-06 22:00:00,97,93,15729,On Time
500144,SpiceJet,Kolkata,Kolkata,1214,2023-06-06 23:00:00,15,12,10734,Delayed
500145,Vistara,Bengaluru,Bengaluru,691,2023-06-07 00:00:00,68,76,3016,On Time
500146,Vistara,Delhi,Kolkata,415,2023-06-07 01:00:00,82,45,14748,On Time
500147,Vistara,Bengaluru,Kolkata,1088,2023-06-07 02:00:00,23,167,11757,On Time
500148,IndiGo,Hyderabad,Hyderabad,1068,2023-06-07 03:00:00,112,52,12005,On Time
500149,Air India,Delhi,Hyderabad,1406,2023-06-07 04:00:00,170,149,5996,On Time
500150,Vistara,Chennai,Bengaluru,1310,2023-06-07 05:00:00,101,114,3553,On Time
500151,Vistara,Delhi,Mumbai,2248,2023-06-07 06:00:00,56,21,12688,On Time
500152,SpiceJet,Delhi,Mumbai,807,2023-06-07 07:00:00,71,126,16472,On Time
500153,Vistara,Bengaluru,Hyderabad,366,2023-06-07 08:00:00,60,191,12228,On Time
500154,Akasa Air,Hyderabad,Hyderabad,2287,2023-06-07 09:00:00,101,9,6615,On Time
500155,Akasa Air,Bengaluru,Mumbai,1330,2023-06-07 10:00:00,171,79,3456,Delayed
500156,Air India,Kolkata,Chennai,2094,2023-06-07 11:00:00,156,76,9506,Delayed
500157,Vistara,Bengaluru,Kolkata,367,2023-06-07 12:00:00,116,187,8035,Delayed
500158,Vistara,Delhi,Delhi,1582,2023-06-07 13:00:00,149,74,10219,On Time
500159,Air India,Delhi,Bengaluru,1527,2023-06-07 14:00:00,22,76,5665,On Time
500160,Akasa Air,Kolkata,Bengaluru,1962,2023-06-07 15:00:00,13,170,12747,On Time
500161,SpiceJet,Mumbai,Chennai,1463,2023-06-07 16:00:00,22,163,6708,On Time
500162,SpiceJet,Mumbai,Hyderabad,2478,2023-06-07 17:00:00,96,181,13208,On Time
500163,SpiceJet,Mumbai,Hyderabad,654,2023-06-07 18:00:00,171,88,15629,On Time
500164,SpiceJet,Chennai,Bengaluru,1396,2023-06-07 19:00:00,124,86,9690,On Time
500165,Vistara,Chennai,Kolkata,2197,2023-06-07 20:00:00,171,171,10922,On Time
500166,SpiceJet,Kolkata,Hyderabad,1828,2023-06-07 21:00:00,169,142,14698,Delayed
500167,IndiGo,Delhi,Bengaluru,1335,2023-06-07 22:00:00,172,80,13179,On Time
500168,Vistara,Kolkata,Chennai,2423,2023-06-07 23:00:00,34,143,17113,Delayed
500169,Akasa Air,Mumbai,Hyderabad,718,2023-06-08 00:00:00,41,-1,8732,On Time
500170,SpiceJet,Delhi,Kolkata,2194,2023-06-08 01:00:00,15,-12,6594,On Time
500171,Air India,Chennai,Kolkata,2220,2023-06-08 02:00:00,34,15,3721,Delayed
500172,Vistara,Bengaluru,Hyderabad,785,2023-06-08 03:00:00,76,8,11113,On Time
500173,IndiGo,Chennai,Chennai,2029,2023-06-08 04:00:00,144,160,4556,On Time
500174,Vistara,Kolkata,Kolkata,351,2023-06-08 05:00:00,62,168,11175,On Time
500175,Vistara,Chennai,Hyderabad,1160,2023-06-08 06:00:00,93,83,8443,Delayed
500176,IndiGo,Delhi,Kolkata,2441,2023-06-08 07:00:00,99,153,9815,Delayed
500177,SpiceJet,Bengaluru,Kolkata,1485,2023-06-08 08:00:00,154,52,11517,Delayed
500178,SpiceJet,Mumbai,Kolkata,2191,2023-06-08 09:00:00,64,155,3800,On Time
500179,Akasa Air,Hyderabad,Mumbai,2451,2023-06-08 10:00:00,30,188,13593,On Time
500180,Air India,Delhi,Bengaluru,386,2023-06-08 11:00:00,40,196,15307,Delayed
500181,SpiceJet,Bengaluru,Bengaluru,1568,2023-06-08 12:00:00,170,196,9528,On Time
500182,Vistara,Mumbai,Chennai,551,2023-06-08 13:00:00,81,71,11321,On Time
500183,Vistara,Bengaluru,Mumbai,1067,2023-06-08 14:00:00,13,-12,15105,Delayed
500184,Vistara,Chennai,Kolkata,521,2023-06-08 15:00:00,169,124,9658,On Time
500185,IndiGo,Mumbai,Hyderabad,1821,2023-06-08 16:00:00,32,146,17439,Delayed
500186,SpiceJet,Bengaluru,Hyderabad,1172,2023-06-08 17:00:00,21,166,14126,On Time
500187,Air India,Kolkata,Mumbai,916,2023-06-08 18:00:00,58,117,7813,Delayed
500188,Air India,Hyderabad,Kolkata,963,2023-06-08 19:00:00,55,28,5070,On Time
500189,Vistara,Kolkata,Chennai,2105,2023-06-08 20:00:00,86,169,12564,Delayed
500190,Akasa Air,Kolkata,Bengaluru,918,2023-06-08 21:00:00,-1,89,17544,Delayed
500191,IndiGo,Mumbai,Bengaluru,546,2023-06-08 22:00:00,161,159,15307,Delayed
500192,Air India,Chennai,Kolkata,992,2023-06-08 23:00:00,147,128,9684,On Time
500193,Air India,Mumbai,Chennai,657,2023-06-09 00:00:00,166,44,17878,Delayed
500194,Vistara,Delhi,Chennai,968,2023-06-09 01:00:00,56,106,10517,On Time
500195,Air India,Bengaluru,Delhi,1135,2023-06-09 02:00:00,28,124,16384,On Time
500196,SpiceJet,Bengaluru,Kolkata,723,2023-06-09 03:00:00,153,135,16996,On Time
500197,SpiceJet,Delhi,Bengaluru,1721,2023-06-09 04:00:00,153,32,5575,On Time
500198,SpiceJet,Delhi,Delhi,578,2023-06-09 05:00:00,174,71,3091,On Time
500199,Akasa Air,Delhi,Chennai,1684,2023-06-09 06:00:00,141,181,16470,On Time
500200,SpiceJet,Mumbai,Chennai,1929,2023-06-09 07:00:00,8,-13,7274,Delayed
500201,Air India,Hyderabad,Bengaluru,1401,2023-06-09 08:00:00,179,179,14462,Delayed
500202,Air India,Hyderabad,Bengaluru,949,2023-06-09 09:00:00,114,114,2995,On Time
500203,IndiGo,Chennai,Delhi,2179,2023-06-09 10:00:00,70,171,14867,On Time
500204,Vistara,Mumbai,Mumbai,2482,2023-06-09 11:00:00,101,140,10887,On Time
500205,SpiceJet,Delhi,Kolkata,1814,2023-06-09 12:00:00,111,30,15198,Delayed
500206,SpiceJet,Mumbai,Chennai,1359,2023-06-09 13:00:00,30,70,14979,Delayed
500207,Air India,Chennai,Hyderabad,1883,2023-06-09 14:00:00,145,113,4302,On Time
500208,Air India,Chennai,Kolkata,830,2023-06-09 15:00:00,58,61,13510,On Time
500209,IndiGo,Bengaluru,Kolkata,1040,2023-06-09 16:00:00,171,143,4866,Delayed
500210,Vistara,Hyderabad,Mumbai,878,2023-06-09 17:00:00,57,69,7294,On Time
500211,Vistara,Bengaluru,Chennai,1349,2023-06-09 18:00:00,163,172,14082,On Time
500212,Air India,Kolkata,Delhi,2296,2023-06-09 19:00:00,95,130,16919,On Time
500213,IndiGo,Bengaluru,Bengaluru,2346,2023-06-09 20:00:00,155,73,4644,On Time
500214,SpiceJet,Mumbai,Hyderabad,993,2023-06-09 21:00:00,102,141,14667,On Time
500215,SpiceJet,Kolkata,Hyderabad,330,2023-06-09 22:00:00,70,101,7325,On Time
500216,IndiGo,Bengaluru,Mumbai,1024,2023-06-09 23:00:00,42,27,6518,On Time
500217,Air India,Chennai,Bengaluru,1924,2023-06-10 00:00:00,51,12,7592,On Time
500218,Vistara,Mumbai,Bengaluru,1264,2023-06-10 01:00:00,82,35,10454,On Time
500219,SpiceJet,Chennai,Mumbai,1735,2023-06-10 02:00:00,141,-11,15666,Delayed
500220,Air India,Mumbai,Hyderabad,527,2023-06-10 03:00:00,66,132,9084,On Time
500221,IndiGo,Bengaluru,Delhi,620,2023-06-10 04:00:00,56,114,11883,Delayed
500222,Vistara,Chennai,Delhi,1630,2023-06-10 05:00:00,29,-12,17996,Delayed
500223,Akasa Air,Chennai,Chennai,2135,2023-06-10 06:00:00,33,49,6363,Delayed
500224,Akasa Air,Hyderabad,Bengaluru,2219,2023-06-10 07:00:00,164,-2,9407,On Time
500225,SpiceJet,Delhi,Kolkata,2278,2023-06-10 08:00:00,79,164,10296,On Time
500226,Vistara,Mumbai,Mumbai,367,2023-06-10 09:00:00,141,51,4517,On Time
500227,IndiGo,Chennai,Chennai,2397,2023-06-10 10:00:00,-9,148,6448,Delayed
500228,IndiGo,Chennai,Delhi,329,2023-06-10 11:00:00,66,97,4765,On Time
500229,IndiGo,Kolkata,Mumbai,1145,2023-06-10 12:00:00,60,83,13365,Cancelled
500230,Air India,Bengaluru,Delhi,1477,2023-06-10 13:00:00,88,151,2764,On Time
500231,Akasa Air,Chennai,Mumbai,675,2023-06-10 14:00:00,103,125,10142,On Time
500232,Akasa Air,Hyderabad,Kolkata,1461,2023-06-10 15:00:00,72,91,17729,Delayed
500233,Akasa Air,Delhi,Chennai,2128,2023-06-10 16:00:00,94,-12,14918,On Time
500234,SpiceJet,Bengaluru,Hyderabad,1643,2023-06-10 17:00:00,115,11,11683,Delayed
500235,Air India,Delhi,Mumbai,358,2023-06-10 18:00:00,144,121,6055,Delayed
500236,Akasa Air,Kolkata,Chennai,1020,2023-06-10 19:00:00,77,69,11772,Delayed
500237,Air India,Mumbai,Bengaluru,2417,2023-06-10 20:00:00,73,6,6993,On Time
500238,Air India,Delhi,Chennai,1588,2023-06-10 21:00:00,40,191,9377,On Time
500239,Akasa Air,Bengaluru,Chennai,971,2023-06-10 22:00:00,160,28,11092,On Time
500240,Air India,Kolkata,Mumbai,1314,2023-06-10 23:00:00,68,31,13343,On Time
500241,Air India,Delhi,Chennai,2083,2023-06-11 00:00:00,163,-2,13273,On Time
500242,SpiceJet,Mumbai,Bengaluru,2061,2023-06-11 01:00:00,67,114,14378,On Time
500243,Air India,Delhi,Chennai,958,2023-06-11 02:00:00,126,151,3709,On Time
500244,Air India,Chennai,Kolkata,1478,2023-06-11 03:00:00,10,21,9880,On Time
500245,Akasa Air,Kolkata,Bengaluru,631,2023-06-11 04:00:00,179,21,12017,Delayed
500246,Akasa Air,Mumbai,Mumbai,1823,2023-06-11 05:00:00,87,112,12070,On Time
500247,Vistara,Mumbai,Delhi,2190,2023-06-11 06:00:00,34,45,9373,On Time
500248,Akasa Air,Mumbai,Kolkata,543,2023-06-11 07:00:00,133,47,16458,Delayed
500249,Air India,Delhi,Kolkata,2015,2023-06-11 08:00:00,160,60,13771,On Time
500250,Air India,Kolkata,Mumbai,2282,2023-06-11 09:00:00,170,41,11410,Delayed
500251,Vistara,Hyderabad,Mumbai,1809,2023-06-11 10:00:00,52,112,12443,Delayed
500252,Air India,Bengaluru,Delhi,1890,2023-06-11 11:00:00,84,129,6684,On Time
500253,Akasa Air,Bengaluru,Hyderabad,1725,2023-06-11 12:00:00,88,10,8038,On Time
500254,Vistara,Delhi,Hyderabad,1079,2023-06-11 13:00:00,25,149,4607,On Time
500255,Vistara,Kolkata,Delhi,2310,2023-06-11 14:00:00,131,0,9946,On Time
500256,SpiceJet,Kolkata,Mumbai,2031,2023-06-11 15:00:00,67,190,14235,On Time
500257,Akasa Air,Chennai,Mumbai,2180,2023-06-11 16:00:00,120,192,2533,Delayed
500258,IndiGo,Bengaluru,Hyderabad,760,2023-06-11 17:00:00,142,40,17124,Delayed
500259,Air India,Delhi,Kolkata,661,2023-06-11 18:00:00,74,188,4278,Delayed
500260,IndiGo,Delhi,Delhi,1718,2023-06-11 19:00:00,115,93,10737,On Time
500261,SpiceJet,Chennai,Hyderabad,575,2023-06-11 20:00:00,164,19,8945,On Time
500262,Air India,Chennai,Kolkata,1069,2023-06-11 21:00:00,43,23,13354,On Time
500263,Vistara,Delhi,Hyderabad,1922,2023-06-11 22:00:00,97,53,11211,On Time
500264,Akasa Air,Mumbai,Kolkata,1279,2023-06-11 23:00:00,6,177,12633,On Time
500265,SpiceJet,Mumbai,Delhi,2032,2023-06-12 00:00:00,71,28,16206,On Time
500266,SpiceJet,Delhi,Hyderabad,1956,2023-06-12 01:00:00,13,99,6909,On Time
500267,Vistara,Kolkata,Bengaluru,1426,2023-06-12 02:00:00,39,79,5060,Delayed
500268,SpiceJet,Kolkata,Kolkata,730,2023-06-12 03:00:00,20,153,12878,On Time
500269,SpiceJet,Bengaluru,Bengaluru,1306,2023-06-12 04:00:00,56,156,5145,Cancelled
500270,Akasa Air,Hyderabad,Chennai,1360,2023-06-12 05:00:00,133,2,4127,Delayed
500271,Vistara,Bengaluru,Mumbai,597,2023-06-12 06:00:00,163,76,4650,On Time
500272,IndiGo,Chennai,Delhi,2481,2023-06-12 07:00:00,49,167,16463,On Time
500273,IndiGo,Bengaluru,Kolkata,2279,2023-06-12 08:00:00,-2,60,16054,Delayed
500274,IndiGo,Chennai,Delhi,1539,2023-06-12 09:00:00,87,120,4360,On Time
500275,Vistara,Bengaluru,Hyderabad,1150,2023-06-12 10:00:00,161,72,16625,Cancelled
500276,IndiGo,Kolkata,Kolkata,2165,2023-06-12 11:00:00,5,187,12226,On Time
500277,Air India,Mumbai,Mumbai,1018,2023-06-12 12:00:00,174,192,13650,Delayed
500278,Air India,Mumbai,Chennai,2225,2023-06-12 13:00:00,8,1,17175,On Time
500279,IndiGo,Hyderabad,Kolkata,1528,2023-06-12 14:00:00,-8,11,3992,Delayed
500280,Air India,Hyderabad,Mumbai,1925,2023-06-12 15:00:00,118,148,9276,Delayed
500281,Vistara,Mumbai,Chennai,1168,2023-06-12 16:00:00,-9,160,10440,On Time
500282,Akasa Air,Kolkata,Hyderabad,824,2023-06-12 17:00:00,71,117,13224,Delayed
500283,Akasa Air,Bengaluru,Chennai,1573,2023-06-12 18:00:00,69,158,6584,On Time
500284,Vistara,Delhi,Delhi,553,2023-06-12 19:00:00,88,112,16663,On Time
500285,SpiceJet,Delhi,Chennai,1600,2023-06-12 20:00:00,47,117,5551,On Time
500286,Air India,Hyderabad,Bengaluru,2246,2023-06-12 21:00:00,1,-1,13295,Delayed
500287,Akasa Air,Mumbai,Chennai,1295,2023-06-12 22:00:00,40,167,13382,Delayed
500288,Vistara,Chennai,Hyderabad,1645,2023-06-12 23:00:00,149,128,6230,On Time
500289,Vistara,Chennai,Hyderabad,2393,2023-06-13 00:00:00,154,2,13578,On Time
