"Date","Company","Open","High","Low","Close","Volume","Market_Sentiment","News_Impact"
"2015-02-18","Google",154.8,157.38,153.19,153.83,658605,"Negative","Medium"
"2015-02-19","Tesla",151.21,153.57,150.7,151.53,4336864,"Neutral","Medium"
"2015-02-20","Google",147.82,150.91,145.13,148.01,2126261,"Neutral","Low"
"2015-02-21","Amazon",147.79,149.03,144.11,145.84,3371427,"Neutral","Low"
"2015-02-22","Apple",146.66,149.34,144.68,148.59,623878,"Positive","Low"
"2015-02-23","Tesla",152.63,153.16,150.66,151.92,1892070,"Positive","Low"
"2015-02-24","Amazon",148.95,150.3,144.68,147.49,2877340,"Positive","Low"
"2015-02-25","Amazon",145.12,147.76,143.97,146.03,2983270,"Neutral","Medium"
"2015-02-26","Apple",148.12,150.41,145.89,146.46,3999093,"Positive","Low"
"2015-02-27","Tesla",150,155.88,149.72,153.79,551269,"Negative","Low"
"2015-02-28","Amazon",148.26,149.05,145.83,148.04,4891137,"Positive","Medium"
"2015-03-01","Apple",151.23,153.28,149.59,150.37,2478581,"Neutral","Low"
"2015-03-02","Tesla",148.75,152.42,147.36,149.71,3633084,"Positive","Low"
"2015-03-03","Apple",151.23,151.29,148.21,148.9,1352305,"Positive","Low"
"2015-03-04","Tesla",149.21,151.61,145.92,147.56,4993954,"Neutral","High"
"2015-03-05","Amazon",148.29,152.79,146.7,150.27,2511183,"Neutral","Low"
"2015-03-06","Tesla",144.28,148.88,143.1,147.5,2060016,"Positive","Medium"
"2015-03-07","Amazon",143.17,143.97,141.29,143.84,3559742,"Negative","High"
"2015-03-08","Tesla",142.27,143.73,141.67,142.05,1406809,"Neutral","Low"
"2015-03-09","Google",143.1,143.45,141.74,143.32,831362,"Positive","Low"
"2015-03-10","Amazon",144.68,146.19,144.35,144.5,3242533,"Neutral","Low"
"2015-03-11","Google",144.37,149.14,142.01,147.9,3185334,"Positive","Medium"
"2015-03-12","Apple",146.72,149.48,144.13,146.26,3546932,"Positive","Medium"
"2015-03-13","Microsoft",145.6,146.63,143.8,144.83,1149454,"Neutral","Medium"
"2015-03-14","Google",143.61,146.67,142.16,144.1,2098196,"Positive","Low"
"2015-03-15","Microsoft",144.3,144.57,140.72,142.68,2984730,"Positive","Medium"
"2015-03-16","Microsoft",144.96,147.26,142.11,146.15,1254970,"Positive","Medium"
"2015-03-17","Apple",145.5,148.27,142.7,147.92,768313,"Positive","High"
"2015-03-18","Google",146.52,148.08,144.69,146.33,2333300,"Neutral","Medium"
"2015-03-19","Apple",145.7,148.57,144.86,147.39,3064840,"Positive","Medium"
"2015-03-20","Apple",149.19,154.04,147.6,151.24,4496634,"Neutral","Medium"
"2015-03-21","Microsoft",149.1,153.11,146.25,151.87,3899277,"Neutral","Medium"
"2015-03-22","Apple",147.57,148.97,143.24,146.23,3327231,"Positive","Low"
"2015-03-23","Amazon",148.72,150.02,143.77,145.15,4058001,"Neutral","Low"
"2015-03-24","Google",145.31,146.72,144.25,144.35,3320233,"Negative","Low"
"2015-03-25","Tesla",144.84,144.91,143.99,144.09,1977361,"Positive","High"
"2015-03-26","Apple",147.19,147.73,144.2,147.24,4872872,"Positive","Low"
"2015-03-27","Amazon",151.95,152.73,147.95,149.22,3396939,"Positive","Medium"
"2015-03-28","Apple",149.85,150.6,147.99,149.51,3593782,"Neutral","High"
"2015-03-29","Microsoft",151.88,154.35,150.72,152.11,2109182,"Neutral","Low"
"2015-03-30","Microsoft",152.46,154.64,151.33,151.43,3408941,"Negative","Low"
"2015-03-31","Microsoft",147.49,149.02,146.56,146.59,1996557,"Negative","Medium"
"2015-04-01","Tesla",145.55,148.87,144.8,146.58,1663188,"Positive","High"
"2015-04-02","Apple",147,147.41,142.5,143.13,4353203,"Positive","Medium"
"2015-04-03","Apple",144.25,145.71,142.45,143.59,1865352,"Positive","Medium"
"2015-04-04","Apple",141.9,144.64,141.1,142.5,1609060,"Positive","High"
"2015-04-05","Tesla",142.91,144.41,139.93,142.94,3884127,"Neutral","Low"
"2015-04-06","Google",141.22,145.65,140.34,143.41,4082271,"Positive","Low"
"2015-04-07","Microsoft",144.06,146.58,143.02,144.94,4922912,"Negative","Low"
"2015-04-08","Google",146.96,148.78,144.81,146.61,3707860,"Positive","High"
"2015-04-09","Amazon",146.62,147.78,140.91,143.41,1810542,"Neutral","Low"
"2015-04-10","Microsoft",146.16,146.4,144.17,145.81,2054208,"Negative","Medium"
"2015-04-11","Microsoft",146.01,147.11,145.24,145.89,1880305,"Positive","Medium"
"2015-04-12","Amazon",143.48,144.78,141.08,143.43,4870583,"Positive","Low"
"2015-04-13","Tesla",140.4,140.91,136.96,138.87,2477596,"Neutral","Low"
"2015-04-14","Tesla",141.26,143.26,137.33,138.75,3123528,"Positive","Low"
"2015-04-15","Microsoft",138.11,139.4,137.84,138.95,1429150,"Neutral","High"
"2015-04-16","Microsoft",140.93,142.97,139.67,141.64,1445347,"Neutral","High"
"2015-04-17","Google",144.6,146.79,141.11,143.31,3485107,"Positive","High"
"2015-04-18","Apple",149.69,151.6,144.1,146.62,3741959,"Positive","Medium"
"2015-04-19","Microsoft",146.18,148.92,145.02,146.43,3841607,"Negative","Low"
"2015-04-20","Amazon",147.28,149.99,144.49,149.54,2004782,"Positive","Low"
"2015-04-21","Google",153.37,156.17,149.86,150.66,4352460,"Neutral","Low"
"2015-04-22","Apple",152.02,157.11,149.85,155.56,886889,"Negative","Low"
"2015-04-23","Tesla",154.96,156.84,151.12,153.89,4661469,"Positive","Medium"
"2015-04-24","Google",150.56,153.82,148.65,152.03,3346474,"Positive","Medium"
"2015-04-25","Tesla",152.43,156.75,149.92,153.83,3089533,"Positive","Low"
"2015-04-26","Google",154.51,156.24,148.98,151.94,912714,"Positive","Low"
"2015-04-27","Amazon",153.33,157.15,152.83,155.04,2261491,"Neutral","Low"
"2015-04-28","Amazon",153.89,156.18,151.63,152.66,590979,"Positive","Medium"
"2015-04-29","Google",155.63,157.4,154.07,155.25,2259954,"Positive","Medium"
"2015-04-30","Tesla",153.7,158.9,152.25,156.55,3402457,"Neutral","Medium"
"2015-05-01","Google",157.58,159.73,157.31,157.37,3239884,"Negative","Low"
"2015-05-02","Microsoft",156.43,159.05,156.02,157.56,4432170,"Negative","Low"
"2015-05-03","Tesla",160.91,161.78,160.09,161.15,1287312,"Neutral","Medium"
"2015-05-04","Microsoft",159.14,161.03,158.01,160.55,1775624,"Positive","Medium"
"2015-05-05","Tesla",163.34,163.37,161.86,163.04,3547906,"Positive","Low"
"2015-05-06","Apple",158.75,161.91,158.42,160.23,4898141,"Positive","Medium"
"2015-05-07","Microsoft",160.51,163.4,159.23,159.58,2172037,"Negative","Medium"
"2015-05-08","Tesla",162.34,163.65,159.41,159.94,3788658,"Positive","Medium"
"2015-05-09","Microsoft",158.13,163.53,155.9,160.54,2433343,"Neutral","Medium"
"2015-05-10","Microsoft",158.32,159.65,155.85,159.28,4890418,"Positive","High"
"2015-05-11","Apple",161.08,164.05,158.19,163.92,3374704,"Positive","Medium"
"2015-05-12","Tesla",159.34,162.41,159.09,161.67,4259853,"Positive","Low"
"2015-05-13","Google",159.15,160.1,155.92,158.45,3118583,"Positive","Low"
"2015-05-14","Tesla",155.18,157.43,151.5,154.35,771733,"Positive","Medium"
"2015-05-15","Google",153.77,156.4,151.97,153.56,4343372,"Positive","Low"
"2015-05-16","Tesla",152.85,152.98,149.11,150.2,3542133,"Neutral","Low"
"2015-05-17","Microsoft",152.83,153.8,150.05,152.98,3298302,"Positive","Medium"
"2015-05-18","Amazon",152.78,155.56,150.56,152.42,4461194,"Positive","Low"
"2015-05-19","Amazon",151.63,154.73,150.18,151.75,3549437,"Positive","Medium"
"2015-05-20","Microsoft",153.07,155.39,149.44,150.14,1464107,"Neutral","Low"
"2015-05-21","Microsoft",151.92,152.13,148.63,150.39,3711489,"Neutral","Low"
"2015-05-22","Amazon",152.22,156.53,149.53,154.18,2688472,"Positive","Low"
"2015-05-23","Amazon",154.53,155.24,152.05,152.98,784276,"Positive","High"
"2015-05-24","Google",152.1,154.67,151.74,151.9,1125062,"Positive","Low"
"2015-05-25","Tesla",150.91,153.89,148.72,151.04,647305,"Positive","Low"
"2015-05-26","Google",147.33,149.59,143.62,145.79,1387670,"Negative","Medium"
"2015-05-27","Amazon",147.56,148.07,146.31,147.41,3049533,"Negative","Low"
"2015-05-28","Microsoft",147.56,148.61,146.7,148.24,3979500,"Negative","Medium"
"2015-05-29","Google",147.31,150.45,144.4,149.03,3104531,"Negative","Low"
"2015-05-30","Microsoft",149.84,150.72,148.87,149.29,4311333,"Positive","High"
"2015-05-31","Amazon",152.01,154.63,150.83,151.59,4922829,"Positive","Medium"
"2015-06-01","Google",153.61,154.12,151.21,152.85,2319914,"Neutral","Low"
"2015-06-02","Microsoft",152.67,152.96,150.43,151.99,3202173,"Negative","High"
"2015-06-03","Amazon",154.31,157.02,148.72,151.12,2820634,"Negative","Medium"
"2015-06-04","Microsoft",156.06,158.58,153.04,155.72,4875038,"Negative","Low"
"2015-06-05","Apple",159.71,161.82,157.36,161.52,2428830,"Neutral","Medium"
"2015-06-06","Apple",156.95,159.81,154.53,157.31,3773268,"Positive","Low"
"2015-06-07","Tesla",155.97,156.76,151.66,154.35,847923,"Negative","Medium"
"2015-06-08","Microsoft",152.9,154.15,151.08,152.21,3444022,"Negative","Medium"
"2015-06-09","Apple",155.16,157.42,152.81,155.15,2738010,"Positive","Low"
"2015-06-10","Amazon",152.25,154.64,149.54,153.28,2793240,"Negative","High"
"2015-06-11","Apple",154.12,157.37,152.87,154.51,3677192,"Neutral","High"
"2015-06-12","Microsoft",152.47,155.95,152.19,154.06,1426392,"Positive","Low"
"2015-06-13","Google",155.97,160.97,155.49,158.17,1328026,"Positive","Medium"
"2015-06-14","Tesla",160.17,161.59,155.79,158.26,4753713,"Neutral","Medium"
"2015-06-15","Microsoft",161.11,162.08,158.36,158.72,3654046,"Neutral","Low"
"2015-06-16","Amazon",161.38,164.49,160.33,162.6,3743623,"Positive","Low"
"2015-06-17","Microsoft",166.75,168.02,165.09,165.72,3488987,"Positive","Low"
"2015-06-18","Amazon",169.14,169.29,165.75,167.85,4741115,"Neutral","High"
"2015-06-19","Tesla",170.08,170.58,166.44,168.47,1274128,"Positive","Low"
"2015-06-20","Amazon",173.28,174.99,171,173.64,4516867,"Positive","Low"
"2015-06-21","Tesla",173.4,174.94,169.8,170.56,4530808,"Neutral","Low"
"2015-06-22","Tesla",177.84,178.05,173.97,176.27,3032771,"Positive","Medium"
"2015-06-23","Apple",175.73,177.63,172.39,173.82,3654127,"Positive","High"
"2015-06-24","Amazon",176.79,180.52,174.47,177.99,2574862,"Positive","High"
"2015-06-25","Google",176.32,178.59,175.92,176.5,1939349,"Neutral","Medium"
"2015-06-26","Tesla",172.69,173.75,172.44,173.1,1638478,"Neutral","Low"
"2015-06-27","Amazon",178.57,179.25,176.39,177.72,2051525,"Negative","Medium"
"2015-06-28","Tesla",176.77,178.41,173.38,174.25,3221905,"Neutral","High"
"2015-06-29","Amazon",174.64,175.13,173.85,173.94,1291714,"Positive","Low"
"2015-06-30","Apple",171.68,172.75,170.3,170.35,2510473,"Neutral","Low"
"2015-07-01","Apple",172.39,174.93,170.94,171.66,3801078,"Negative","High"
"2015-07-02","Amazon",170.03,173.35,169.66,172.1,4533443,"Neutral","Medium"
"2015-07-03","Google",169.15,172.18,167.69,169.3,3973960,"Negative","Low"
"2015-07-04","Tesla",170.88,172.66,169.32,172.32,3618205,"Positive","Medium"
"2015-07-05","Amazon",170.27,172.75,169.29,171.15,3957092,"Positive","Medium"
"2015-07-06","Amazon",175.44,178.51,173.85,176.84,2704256,"Positive","Low"
"2015-07-07","Amazon",175.73,177.82,171.53,173.74,1466239,"Positive","Medium"
"2015-07-08","Amazon",171.39,175.19,169.48,172.24,4744008,"Neutral","Medium"
"2015-07-09","Apple",175.89,176.88,172.59,173.94,1468160,"Neutral","Low"
"2015-07-10","Microsoft",175.55,181.91,174.97,178.97,1598428,"Positive","Low"
"2015-07-11","Google",178.29,183.55,177.12,181.05,1939757,"Positive","Low"
"2015-07-12","Apple",179.44,181.16,177.98,179.8,3117925,"Positive","Medium"
"2015-07-13","Amazon",183.59,185.83,182.65,182.71,1436817,"Neutral","Medium"
"2015-07-14","Apple",182.17,183.23,179.38,181.11,3293375,"Neutral","High"
"2015-07-15","Amazon",180.78,184.42,178.6,181.96,3966835,"Positive","Medium"
"2015-07-16","Google",180.43,185.01,179.27,182.07,1785007,"Negative","Medium"
"2015-07-17","Google",177,182.64,175.72,180.81,2034259,"Neutral","Medium"
"2015-07-18","Apple",175.1,177.48,172.11,174.39,3330583,"Positive","Low"
"2015-07-19","Google",173.94,174.83,173.22,173.69,1336457,"Positive","High"
"2015-07-20","Tesla",175.17,176.75,173.34,175.14,3346902,"Positive","Low"
"2015-07-21","Amazon",173.37,174.2,168.23,170.29,872318,"Negative","Low"
"2015-07-22","Microsoft",173.32,177.31,172.32,175.39,2708197,"Negative","Medium"
"2015-07-23","Google",178.25,179.73,176.55,177.87,3909490,"Positive","Medium"
"2015-07-24","Amazon",179.55,179.97,176.85,178.96,2495386,"Negative","Low"
"2015-07-25","Microsoft",178.07,180.21,177.55,177.79,1429543,"Negative","Medium"
"2015-07-26","Microsoft",179.99,180.17,177.08,178.17,1229761,"Neutral","Low"
"2015-07-27","Tesla",179.85,182,176.34,178.02,2495196,"Neutral","Medium"
"2015-07-28","Amazon",179.24,181.01,177.82,180.24,2053788,"Positive","Low"
"2015-07-29","Google",180.2,181.81,178.36,180.71,1849339,"Positive","Medium"
"2015-07-30","Google",180.28,183.91,178.82,182.15,4717955,"Positive","Low"
"2015-07-31","Amazon",183.6,186.81,180.63,184.43,1824348,"Neutral","Low"
"2015-08-01","Amazon",184.3,185.3,180.49,183.01,4464634,"Positive","Low"
"2015-08-02","Microsoft",186.92,187.08,185.17,186.11,3550242,"Neutral","High"
"2015-08-03","Amazon",189.35,192.01,188.24,189.08,3773365,"Neutral","High"
"2015-08-04","Amazon",185.92,189.64,185.4,187.24,1821348,"Negative","Medium"
"2015-08-05","Google",184.35,184.62,181.69,183.75,3534783,"Neutral","Low"
"2015-08-06","Tesla",189.19,190.17,186.89,189.63,3017162,"Positive","Low"
"2015-08-07","Google",189.76,191.5,184.69,187.48,816907,"Positive","Medium"
"2015-08-08","Amazon",187.95,190.36,186.55,187.28,4061685,"Positive","Low"
"2015-08-09","Tesla",187.79,187.81,183.54,186.05,3806082,"Positive","Medium"
"2015-08-10","Tesla",188.37,188.95,187.48,188.39,910297,"Negative","High"
"2015-08-11","Microsoft",189.08,194.58,186.17,191.64,2105625,"Neutral","Low"
"2015-08-12","Google",188.79,189.13,186.68,187.75,2214157,"Negative","Low"
"2015-08-13","Google",184.81,188.53,183.76,185.72,2766485,"Neutral","Medium"
"2015-08-14","Apple",189.67,192.11,185.81,188.77,4253933,"Positive","Low"
"2015-08-15","Tesla",189.91,194.24,189.31,191.73,3541442,"Positive","Medium"
"2015-08-16","Tesla",185.08,188.82,183.29,187.32,3029396,"Positive","Low"
"2015-08-17","Microsoft",187.46,192.78,185.19,190.58,4193492,"Negative","Low"
"2015-08-18","Apple",185.25,188.1,182.86,187.88,2381549,"Positive","Low"
"2015-08-19","Amazon",184.72,187.53,183.15,184.01,697707,"Positive","High"
"2015-08-20","Apple",187.52,188.34,183.96,185.88,1312255,"Positive","Medium"
"2015-08-21","Tesla",185.23,186.68,183.53,184.02,1904651,"Negative","Low"
"2015-08-22","Microsoft",187.25,189.64,184.51,187.8,1355749,"Negative","Low"
"2015-08-23","Apple",184.37,186.88,181.44,184.77,1875149,"Positive","Medium"
"2015-08-24","Amazon",183.53,184.52,183.38,183.86,2989830,"Positive","Medium"
"2015-08-25","Apple",181.71,183.9,178.93,182.76,4530404,"Neutral","Medium"
"2015-08-26","Microsoft",178.36,180.18,175.72,178.86,795407,"Neutral","Medium"
"2015-08-27","Tesla",176.05,177.79,174.37,176.43,2537209,"Positive","Low"
"2015-08-28","Amazon",177.85,177.9,175.72,176.68,3205856,"Positive","High"
"2015-08-29","Google",181,181.62,177.06,177.84,1895981,"Positive","Medium"
"2015-08-30","Apple",183.4,184.01,179.33,181.88,4627398,"Neutral","Low"
"2015-08-31","Tesla",183.87,186.84,180.4,182.62,2859901,"Neutral","Medium"
"2015-09-01","Amazon",182.35,183.69,178.93,181.38,3172812,"Negative","Low"
"2015-09-02","Microsoft",181.51,182.27,180.37,181.39,532792,"Positive","Low"
"2015-09-03","Tesla",182.66,185.58,180.11,184.58,4151603,"Negative","Medium"
"2015-09-04","Google",184.93,187.75,180.03,181.79,4155825,"Negative","Medium"
"2015-09-05","Apple",186.67,188.79,184.8,187.59,3842806,"Neutral","High"
"2015-09-06","Apple",188.61,191.44,187.18,187.48,3396718,"Positive","Medium"
"2015-09-07","Amazon",185.47,188.31,183.1,185.24,1641470,"Positive","Medium"
"2015-09-08","Tesla",182.74,185.08,180.49,182.35,1957376,"Neutral","High"
"2015-09-09","Apple",186.4,188.79,186.1,186.41,3448511,"Positive","Low"
"2015-09-10","Amazon",187.35,189.77,185.72,187.25,4395794,"Neutral","Low"
"2015-09-11","Apple",189.33,193.06,186.56,190.43,1472561,"Positive","Low"
"2015-09-12","Amazon",190.61,190.88,186.84,189.25,1419928,"Negative","Low"
"2015-09-13","Microsoft",191.16,192.33,187.04,189.92,2067906,"Positive","Medium"
"2015-09-14","Microsoft",195.32,195.74,192.77,193.91,1542190,"Positive","Low"
"2015-09-15","Google",193.12,194.8,191.69,193.05,3284450,"Positive","Low"
"2015-09-16","Amazon",190.77,192.12,188.38,190.27,4359122,"Negative","Medium"
"2015-09-17","Tesla",191.15,195.49,188.5,192.63,4441905,"Positive","Medium"
"2015-09-18","Google",190.68,193.65,189.45,191.99,3463450,"Positive","Medium"
"2015-09-19","Microsoft",193.29,194.09,190.5,192.26,4184232,"Neutral","Medium"
"2015-09-20","Google",196.97,198.93,195.28,196.26,1422329,"Positive","High"
"2015-09-21","Google",193,196.76,191.38,193.99,2953656,"Negative","Medium"
"2015-09-22","Apple",196.98,199.78,195.07,198.64,4237620,"Neutral","Medium"
"2015-09-23","Apple",194.3,195.87,191.65,195.09,2831118,"Positive","Low"
"2015-09-24","Tesla",197.9,199.16,197.74,198.3,4263839,"Positive","High"
"2015-09-25","Tesla",194.26,196.07,192.68,195.55,1015947,"Neutral","Low"
"2015-09-26","Amazon",190.61,192.83,187.78,190.63,2868437,"Positive","Medium"
"2015-09-27","Tesla",195.84,200.39,195.08,197.42,4081736,"Positive","High"
"2015-09-28","Tesla",194.36,194.44,192.45,193.25,4049261,"Neutral","Medium"
"2015-09-29","Google",190.38,191.61,188.87,189.44,2877303,"Positive","Low"
"2015-09-30","Microsoft",194,194.06,191.93,193.41,4911161,"Neutral","High"
"2015-10-01","Google",192.09,193.74,189.18,192.04,4499677,"Positive","Low"
"2015-10-02","Microsoft",188.34,190.93,185.74,189.21,2887498,"Negative","Low"
"2015-10-03","Apple",185.99,186.89,184.57,185.51,2385981,"Positive","Medium"
"2015-10-04","Apple",189.94,191.22,187.5,190.22,4632751,"Neutral","Medium"
"2015-10-05","Tesla",194.73,196.74,193.18,193.51,3999325,"Negative","Low"
"2015-10-06","Google",195.47,196.82,194.08,194.61,1612869,"Positive","Low"
"2015-10-07","Google",192.8,194.85,188.8,191.27,3827926,"Neutral","Medium"
"2015-10-08","Google",188.1,193.33,185.73,191.97,2251183,"Positive","Low"
"2015-10-09","Microsoft",191.9,194.82,189.17,191.09,3609589,"Positive","High"
"2015-10-10","Tesla",191.16,194.8,190.34,194.29,1149855,"Positive","Medium"
"2015-10-11","Google",191.97,192.71,188.89,191.04,3854794,"Neutral","Medium"
"2015-10-12","Amazon",189.82,191.64,186.93,188.22,3716810,"Neutral","Medium"
"2015-10-13","Microsoft",192.14,193.56,188.52,190.67,4465370,"Positive","Medium"
"2015-10-14","Apple",192,196.22,190.64,195.8,2161430,"Negative","Low"
"2015-10-15","Amazon",193.35,196.07,191.32,192.23,3217338,"Neutral","High"
"2015-10-16","Microsoft",191.77,194.2,188.26,190.96,4655982,"Positive","Medium"
"2015-10-17","Google",193.93,196.77,193.21,193.49,4656056,"Negative","Low"
"2015-10-18","Google",190.22,191.33,186.94,188.16,4371671,"Positive","Medium"
"2015-10-19","Microsoft",192.66,193.93,187.66,190.5,3367928,"Neutral","Medium"
"2015-10-20","Tesla",192.54,195.35,192.22,193.21,4686772,"Negative","High"
"2015-10-21","Tesla",189.9,190.1,189.84,190.02,3514322,"Positive","Medium"
"2015-10-22","Tesla",188,191.38,185.75,188.69,2399846,"Negative","Medium"
"2015-10-23","Amazon",188.86,191.86,187.76,191.3,2800133,"Positive","Low"
"2015-10-24","Apple",193.69,195.05,191.62,193.4,3888304,"Positive","High"
"2015-10-25","Amazon",191.05,194.55,190.56,192.84,3241702,"Positive","Low"
"2015-10-26","Google",193.31,194.82,193.16,193.76,2469315,"Positive","High"
"2015-10-27","Apple",190.93,192.93,187.69,189.67,2515808,"Positive","Low"
"2015-10-28","Google",187.68,189.6,186.59,187.64,3387381,"Neutral","Low"
"2015-10-29","Google",186.92,188.32,184.07,186.46,1293307,"Neutral","Medium"
"2015-10-30","Tesla",186.69,187.66,184.45,185.74,683630,"Positive","Low"
"2015-10-31","Google",184.84,186.56,178.57,181.01,2217415,"Positive","Low"
"2015-11-01","Microsoft",184.93,187.69,184.88,187.54,4030769,"Negative","Medium"
"2015-11-02","Amazon",183.36,187.57,183.34,185.94,2312671,"Neutral","Medium"
"2015-11-03","Microsoft",185.89,187.47,182.69,184.85,3693121,"Positive","High"
"2015-11-04","Amazon",182.76,184.27,181.74,183.05,4031684,"Neutral","Low"
"2015-11-05","Amazon",179.96,181.29,178.57,180.26,1812443,"Positive","Low"
"2015-11-06","Google",177.15,180.35,177.12,180.01,945073,"Positive","Low"
"2015-11-07","Microsoft",176.51,180.81,174.75,178.96,4992495,"Neutral","Medium"
"2015-11-08","Amazon",180.65,181.59,180.46,180.71,2532177,"Positive","Low"
"2015-11-09","Microsoft",182.96,184.53,180.51,180.86,1247782,"Positive","Medium"
"2015-11-10","Apple",182.87,188.73,180.6,185.8,4359034,"Neutral","High"
"2015-11-11","Google",188.88,190.38,183.13,186.07,4604667,"Positive","Low"
"2015-11-12","Microsoft",193.7,194.4,191.98,193.85,2878385,"Negative","Medium"
"2015-11-13","Apple",187.14,188.67,185.15,187.77,681920,"Neutral","Medium"
"2015-11-14","Tesla",187.25,192.77,185.45,190.61,2133503,"Negative","High"
"2015-11-15","Apple",188.58,189.82,185.53,186.49,4828478,"Neutral","Medium"
"2015-11-16","Microsoft",186.58,188.92,185.54,186.79,3181256,"Neutral","Medium"
"2015-11-17","Amazon",187.16,192.08,186.31,190.24,1306825,"Positive","Medium"
"2015-11-18","Tesla",188.51,190.12,187.98,189.92,1341702,"Neutral","Medium"
"2015-11-19","Amazon",190.91,191.4,188,189.83,4880746,"Positive","Low"
"2015-11-20","Apple",185.09,188.3,183.06,185.57,3313632,"Positive","Medium"
"2015-11-21","Tesla",184.96,188.45,183.75,187.16,3054173,"Positive","High"
"2015-11-22","Apple",188.91,190.26,187.26,187.68,2018068,"Positive","Low"
"2015-11-23","Microsoft",187.38,191.3,185.67,189.95,4908369,"Positive","Medium"
"2015-11-24","Tesla",186.78,190.36,184.64,188.45,4452859,"Neutral","High"
"2015-11-25","Apple",186.27,187.87,182.51,184.5,3681313,"Positive","Medium"
"2015-11-26","Google",188.43,188.52,182.73,185.12,1776198,"Positive","Low"
"2015-11-27","Google",184.71,187.77,182,184.8,538218,"Neutral","Medium"
