Date,City,Gold_Purity,Gold_Price_per_10g,Jewellery_Shop,Demand_Level,Festival_Season,Import_Duty_%,USD_INR_Rate
2019-04-30,Chennai,24K,32155,Tanishq,Medium,Yes,12.5,82.36
2019-05-01,Kolkata,24K,32224,Kalyan Jewellers,Low,No,12.5,82.36
2019-05-02,Delhi,22K,32286,Kalyan Jewellers,Medium,No,15.0,82.36
2019-05-03,Chennai,24K,32248,Local Shop,High,No,10.0,82.36
2019-05-04,Kolkata,24K,32171,Tanishq,Low,No,12.5,82.36
2019-05-05,Mumbai,22K,32062,Malabar Gold,Medium,Yes,12.5,82.36
2019-05-06,Mumbai,22K,31979,Malabar Gold,Medium,No,10.0,82.36
2019-05-07,Delhi,24K,31964,Tanishq,Medium,Yes,12.5,82.36
2019-05-08,Hyderabad,24K,32007,Tanishq,Low,No,15.0,82.36
2019-05-09,Kolkata,22K,32151,PC Jeweller,Low,No,15.0,82.36
2019-05-10,Mumbai,24K,32076,Kalyan Jewellers,High,Yes,15.0,82.36
2019-05-11,Mumbai,22K,32009,Local Shop,Low,No,10.0,82.36
2019-05-12,Kolkata,22K,32028,Local Shop,Medium,Yes,12.5,82.36
2019-05-13,Kolkata,22K,31919,Tanishq,Medium,No,15.0,82.36
2019-05-14,Chennai,24K,32013,PC Jeweller,Low,No,10.0,82.36
2019-05-15,Kolkata,22K,32109,Tanishq,Medium,No,15.0,82.36
2019-05-16,Chennai,22K,32208,Local Shop,High,No,15.0,82.36
2019-05-17,Delhi,24K,32172,PC Jeweller,Low,No,10.0,82.36
2019-05-18,Chennai,24K,32249,Local Shop,Medium,No,15.0,82.36
2019-05-19,Chennai,24K,32250,Kalyan Jewellers,Medium,No,10.0,82.36
2019-05-20,Hyderabad,24K,32360,Malabar Gold,Medium,No,12.5,82.36
2019-05-21,Delhi,24K,32443,Tanishq,Low,No,15.0,82.36
2019-05-22,Mumbai,24K,32548,Tanishq,High,No,12.5,82.36
2019-05-23,Hyderabad,22K,32510,Malabar Gold,High,Yes,15.0,82.36
2019-05-24,Delhi,24K,32498,Tanishq,Medium,Yes,10.0,82.36
2019-05-25,Hyderabad,22K,32581,Local Shop,Low,Yes,12.5,82.36
2019-05-26,Kolkata,22K,32679,PC Jeweller,Low,Yes,15.0,82.36
2019-05-27,Chennai,24K,32630,Tanishq,High,No,15.0,82.36
2019-05-28,Chennai,22K,32547,Local Shop,Medium,Yes,12.5,82.36
2019-05-29,Hyderabad,24K,32469,Malabar Gold,Low,Yes,10.0,82.36
2019-05-30,Hyderabad,22K,32463,Local Shop,Medium,No,12.5,82.36
2019-05-31,Hyderabad,22K,32499,Tanishq,High,No,10.0,82.36
2019-06-01,Kolkata,24K,32559,Tanishq,Medium,No,12.5,82.36
2019-06-02,Hyderabad,22K,32533,Kalyan Jewellers,Low,No,10.0,82.36
2019-06-03,Kolkata,22K,32614,Kalyan Jewellers,Medium,Yes,12.5,82.36
2019-06-04,Kolkata,22K,32665,Malabar Gold,Low,No,10.0,82.36
2019-06-05,Chennai,22K,32560,Local Shop,Low,Yes,10.0,82.36
2019-06-06,Mumbai,22K,32570,PC Jeweller,Medium,No,15.0,82.36
2019-06-07,Kolkata,22K,32524,Malabar Gold,Low,No,15.0,82.36
2019-06-08,Hyderabad,22K,32503,Local Shop,Medium,Yes,15.0,82.36
2019-06-09,Kolkata,22K,32470,Malabar Gold,Low,No,15.0,82.36
2019-06-10,Kolkata,24K,32366,Malabar Gold,Medium,Yes,15.0,82.36
2019-06-11,Hyderabad,24K,32478,Tanishq,Low,No,15.0,82.36
2019-06-12,Mumbai,24K,32606,PC Jeweller,Medium,No,12.5,82.36
2019-06-13,Mumbai,22K,32669,Kalyan Jewellers,High,Yes,15.0,82.36
2019-06-14,Hyderabad,22K,32668,Malabar Gold,Medium,Yes,10.0,82.36
2019-06-15,Delhi,24K,32806,Malabar Gold,Medium,Yes,12.5,82.36
2019-06-16,Mumbai,22K,32785,Kalyan Jewellers,Low,No,15.0,82.36
2019-06-17,Hyderabad,22K,32678,Kalyan Jewellers,Medium,No,15.0,82.36
2019-06-18,Kolkata,22K,32628,Local Shop,Medium,No,15.0,82.36
2019-06-19,Kolkata,22K,32657,PC Jeweller,Medium,Yes,12.5,82.36
2019-06-20,Hyderabad,22K,32553,PC Jeweller,High,No,12.5,82.36
2019-06-21,Kolkata,24K,32614,Tanishq,High,No,15.0,82.36
2019-06-22,Delhi,22K,32578,Local Shop,Medium,No,10.0,82.36
2019-06-23,Chennai,24K,32598,Kalyan Jewellers,Medium,Yes,12.5,82.36
2019-06-24,Chennai,22K,32554,Local Shop,Medium,No,12.5,82.36
2019-06-25,Chennai,24K,32517,Malabar Gold,Medium,No,12.5,82.36
2019-06-26,Hyderabad,22K,32624,Malabar Gold,Low,No,10.0,82.36
2019-06-27,Delhi,24K,32680,Malabar Gold,Low,No,12.5,82.36
2019-06-28,Chennai,22K,32675,PC Jeweller,Medium,Yes,15.0,82.36
2019-06-29,Hyderabad,22K,32763,Kalyan Jewellers,High,No,15.0,82.36
2019-06-30,Chennai,24K,32676,PC Jeweller,Low,No,10.0,82.36
2019-07-01,Delhi,22K,32757,Local Shop,High,Yes,10.0,82.36
2019-07-02,Kolkata,24K,32704,Malabar Gold,High,No,10.0,82.36
2019-07-03,Hyderabad,24K,32658,Tanishq,Low,No,15.0,82.36
2019-07-04,Hyderabad,24K,32731,Kalyan Jewellers,High,No,12.5,82.36
2019-07-05,Mumbai,22K,32615,Kalyan Jewellers,High,No,15.0,82.36
2019-07-06,Mumbai,24K,32737,Malabar Gold,Low,Yes,15.0,82.36
2019-07-07,Kolkata,22K,32627,PC Jeweller,Low,Yes,15.0,82.36
2019-07-08,Hyderabad,22K,32535,Tanishq,Low,No,12.5,82.36
2019-07-09,Delhi,24K,32546,Malabar Gold,High,No,12.5,82.36
2019-07-10,Chennai,24K,32552,Tanishq,Medium,Yes,15.0,82.36
2019-07-11,Mumbai,22K,32665,Tanishq,High,Yes,12.5,82.36
2019-07-12,Mumbai,24K,32699,Kalyan Jewellers,Medium,Yes,15.0,82.36
2019-07-13,Hyderabad,22K,32649,PC Jeweller,High,No,10.0,82.36
2019-07-14,Mumbai,24K,32650,Malabar Gold,Low,No,15.0,82.36
2019-07-15,Mumbai,24K,32712,Tanishq,Medium,No,15.0,82.36
2019-07-16,Delhi,24K,32752,Local Shop,Medium,No,12.5,82.36
2019-07-17,Mumbai,24K,32816,Local Shop,Medium,Yes,15.0,82.36
2019-07-18,Delhi,22K,32911,Malabar Gold,Medium,No,12.5,82.36
2019-07-19,Hyderabad,22K,32893,Kalyan Jewellers,High,No,12.5,82.36
2019-07-20,Mumbai,22K,32961,Tanishq,Medium,No,10.0,82.36
2019-07-21,Chennai,24K,33073,PC Jeweller,Medium,Yes,10.0,82.36
2019-07-22,Hyderabad,24K,33122,Malabar Gold,Medium,Yes,12.5,82.36
2019-07-23,Chennai,22K,33082,PC Jeweller,Medium,No,12.5,82.36
2019-07-24,Mumbai,22K,32965,Tanishq,Low,No,12.5,82.36
2019-07-25,Chennai,24K,33003,Malabar Gold,High,No,15.0,82.36
2019-07-26,Delhi,22K,32886,Kalyan Jewellers,Medium,Yes,15.0,82.36
2019-07-27,Mumbai,22K,32847,Tanishq,High,No,10.0,82.36
2019-07-28,Mumbai,22K,32921,Malabar Gold,Low,No,15.0,82.36
2019-07-29,Mumbai,24K,33051,PC Jeweller,Low,Yes,15.0,82.36
2019-07-30,Mumbai,22K,33122,PC Jeweller,High,No,15.0,82.36
2019-07-31,Kolkata,24K,33068,PC Jeweller,High,No,10.0,82.36
2019-08-01,Mumbai,22K,33072,PC Jeweller,High,No,12.5,82.36
2019-08-02,Hyderabad,24K,33154,Kalyan Jewellers,Low,Yes,15.0,82.36
2019-08-03,Hyderabad,24K,33148,PC Jeweller,Low,No,15.0,82.36
2019-08-04,Chennai,22K,33285,PC Jeweller,Low,Yes,10.0,82.36
2019-08-05,Delhi,22K,33405,Kalyan Jewellers,High,Yes,12.5,82.36
2019-08-06,Hyderabad,22K,33379,Kalyan Jewellers,Low,No,12.5,82.36
2019-08-07,Mumbai,24K,33317,Local Shop,Medium,Yes,10.0,82.36
2019-08-08,Delhi,24K,33371,Kalyan Jewellers,Low,Yes,10.0,82.36
2019-08-09,Hyderabad,22K,33420,Malabar Gold,High,No,15.0,82.36
2019-08-10,Hyderabad,22K,33418,PC Jeweller,Medium,No,12.5,82.36
2019-08-11,Mumbai,22K,33488,Kalyan Jewellers,Medium,No,12.5,82.36
2019-08-12,Chennai,24K,33618,Kalyan Jewellers,Medium,Yes,12.5,82.36
2019-08-13,Mumbai,24K,33517,PC Jeweller,Low,No,12.5,82.36
2019-08-14,Kolkata,22K,33610,Tanishq,High,Yes,12.5,82.36
2019-08-15,Kolkata,22K,33606,PC Jeweller,High,Yes,12.5,82.36
2019-08-16,Chennai,22K,33746,Tanishq,Low,Yes,15.0,82.36
2019-08-17,Mumbai,24K,33628,Kalyan Jewellers,Low,Yes,10.0,82.36
2019-08-18,Mumbai,24K,33540,PC Jeweller,Low,No,12.5,82.36
2019-08-19,Mumbai,22K,33670,Tanishq,High,No,12.5,82.36
2019-08-20,Mumbai,22K,33725,Tanishq,High,No,12.5,82.36
2019-08-21,Delhi,22K,33613,Malabar Gold,Medium,No,12.5,82.36
2019-08-22,Delhi,22K,33546,PC Jeweller,Low,Yes,15.0,82.36
2019-08-23,Delhi,24K,33578,Tanishq,Low,Yes,10.0,82.36
2019-08-24,Mumbai,24K,33652,Local Shop,Low,No,10.0,82.36
2019-08-25,Hyderabad,22K,33626,Kalyan Jewellers,High,Yes,10.0,82.36
2019-08-26,Mumbai,22K,33685,Kalyan Jewellers,Medium,No,15.0,82.36
2019-08-27,Mumbai,24K,33757,Local Shop,Medium,Yes,12.5,82.36
2019-08-28,Mumbai,22K,33875,Local Shop,High,No,15.0,82.36
2019-08-29,Chennai,22K,33796,Malabar Gold,Medium,Yes,10.0,82.36
2019-08-30,Delhi,22K,33783,Malabar Gold,Medium,Yes,12.5,82.36
2019-08-31,Hyderabad,24K,33739,Tanishq,Medium,No,12.5,82.36
2019-09-01,Delhi,24K,33699,PC Jeweller,Medium,No,10.0,82.36
2019-09-02,Delhi,22K,33752,PC Jeweller,High,No,10.0,82.36
2019-09-03,Mumbai,22K,33730,Kalyan Jewellers,Low,No,15.0,82.36
2019-09-04,Mumbai,22K,33848,Local Shop,Low,Yes,15.0,82.36
2019-09-05,Chennai,24K,33827,Kalyan Jewellers,Medium,Yes,15.0,82.36
2019-09-06,Mumbai,22K,33840,Tanishq,High,No,15.0,82.36
2019-09-07,Chennai,24K,33915,Tanishq,High,No,15.0,82.36
2019-09-08,Kolkata,24K,34058,Local Shop,High,No,10.0,82.36
2019-09-09,Mumbai,22K,34110,PC Jeweller,Medium,No,10.0,82.36
2019-09-10,Hyderabad,22K,34071,Kalyan Jewellers,High,No,10.0,82.36
2019-09-11,Delhi,24K,34002,Malabar Gold,High,No,15.0,82.36
2019-09-12,Kolkata,22K,33940,Tanishq,Medium,No,10.0,82.36
2019-09-13,Delhi,22K,33871,Kalyan Jewellers,Medium,Yes,15.0,82.36
2019-09-14,Delhi,22K,33851,Kalyan Jewellers,High,Yes,15.0,82.36
2019-09-15,Delhi,22K,33908,Kalyan Jewellers,Low,No,15.0,82.36
2019-09-16,Chennai,24K,33907,Local Shop,Medium,No,15.0,82.36
2019-09-17,Kolkata,22K,33968,Malabar Gold,Low,No,12.5,82.36
2019-09-18,Kolkata,24K,34088,Kalyan Jewellers,Low,No,15.0,82.36
2019-09-19,Mumbai,22K,34019,Local Shop,Low,No,10.0,82.36
2019-09-20,Kolkata,24K,34081,PC Jeweller,High,Yes,15.0,82.36
2019-09-21,Hyderabad,24K,33981,PC Jeweller,Medium,No,10.0,82.36
2019-09-22,Mumbai,22K,33868,Malabar Gold,Medium,No,12.5,82.36
2019-09-23,Kolkata,24K,33812,Malabar Gold,Low,No,10.0,82.36
2019-09-24,Kolkata,22K,33842,Malabar Gold,Medium,No,12.5,82.36
2019-09-25,Kolkata,22K,33886,Tanishq,Medium,No,10.0,82.36
2019-09-26,Kolkata,22K,33864,Malabar Gold,Medium,No,12.5,82.36
2019-09-27,Chennai,22K,33896,Kalyan Jewellers,High,Yes,15.0,82.36
2019-09-28,Kolkata,22K,33838,Malabar Gold,Low,Yes,15.0,82.36
2019-09-29,Chennai,24K,33859,Local Shop,Medium,No,12.5,82.36
2019-09-30,Hyderabad,22K,33898,Kalyan Jewellers,Medium,Yes,12.5,82.36
2019-10-01,Kolkata,22K,33789,Malabar Gold,High,No,12.5,82.36
2019-10-02,Chennai,22K,33752,Kalyan Jewellers,Low,No,10.0,82.36
2019-10-03,Hyderabad,22K,33791,PC Jeweller,High,No,10.0,82.36
2019-10-04,Mumbai,22K,33735,PC Jeweller,Medium,Yes,15.0,82.36
2019-10-05,Delhi,22K,33683,Malabar Gold,High,No,15.0,82.36
2019-10-06,Kolkata,22K,33604,Kalyan Jewellers,Medium,No,10.0,82.36
2019-10-07,Delhi,24K,33602,PC Jeweller,High,No,10.0,82.36
2019-10-08,Mumbai,24K,33681,Local Shop,Low,No,10.0,82.36
2019-10-09,Chennai,22K,33611,Kalyan Jewellers,Low,No,12.5,82.36
2019-10-10,Hyderabad,22K,33604,Local Shop,Medium,No,15.0,82.36
2019-10-11,Mumbai,24K,33615,Malabar Gold,Medium,No,15.0,82.36
2019-10-12,Hyderabad,22K,33613,Kalyan Jewellers,Medium,No,12.5,82.36
2019-10-13,Kolkata,24K,33629,Malabar Gold,Medium,No,15.0,82.36
2019-10-14,Kolkata,24K,33594,PC Jeweller,Medium,No,12.5,82.36
2019-10-15,Hyderabad,22K,33534,Local Shop,Medium,Yes,15.0,82.36
2019-10-16,Hyderabad,22K,33420,Kalyan Jewellers,Medium,No,10.0,82.36
2019-10-17,Kolkata,22K,33340,Malabar Gold,Low,No,12.5,82.36
2019-10-18,Kolkata,24K,33474,Malabar Gold,Medium,No,15.0,82.36
2019-10-19,Chennai,22K,33513,Malabar Gold,Medium,No,10.0,82.36
2019-10-20,Kolkata,24K,33659,Tanishq,Medium,No,10.0,82.36
2019-10-21,Delhi,24K,33568,Tanishq,Medium,No,15.0,82.36
2019-10-22,Mumbai,22K,33601,Local Shop,Medium,Yes,15.0,82.36
2019-10-23,Kolkata,24K,33648,Malabar Gold,Medium,No,15.0,82.36
2019-10-24,Hyderabad,24K,33651,Local Shop,Medium,Yes,10.0,82.36
2019-10-25,Mumbai,22K,33592,Local Shop,High,No,10.0,82.36
2019-10-26,Kolkata,24K,33514,Tanishq,High,Yes,10.0,82.36
2019-10-27,Delhi,22K,33575,Kalyan Jewellers,High,No,15.0,82.36
2019-10-28,Mumbai,24K,33586,PC Jeweller,Low,No,10.0,82.36
2019-10-29,Chennai,24K,33686,Local Shop,Low,Yes,15.0,82.36
2019-10-30,Mumbai,24K,33810,PC Jeweller,Low,No,15.0,82.36
2019-10-31,Delhi,22K,33919,Local Shop,High,Yes,10.0,82.36
2019-11-01,Chennai,22K,33908,PC Jeweller,Medium,No,12.5,82.36
2019-11-02,Delhi,24K,34026,Kalyan Jewellers,Low,Yes,15.0,82.36
2019-11-03,Kolkata,22K,34160,PC Jeweller,High,Yes,10.0,82.36
2019-11-04,Delhi,22K,34205,Malabar Gold,Low,No,12.5,82.36
2019-11-05,Chennai,24K,34266,Kalyan Jewellers,Medium,Yes,10.0,82.36
2019-11-06,Mumbai,22K,34379,PC Jeweller,High,No,10.0,82.36
2019-11-07,Chennai,24K,34425,Tanishq,Medium,No,15.0,82.36
2019-11-08,Hyderabad,24K,34516,Malabar Gold,Low,Yes,10.0,82.36
2019-11-09,Chennai,22K,34657,Local Shop,Medium,Yes,15.0,82.36
2019-11-10,Kolkata,24K,34702,Local Shop,Medium,No,12.5,82.36
2019-11-11,Mumbai,22K,34602,Local Shop,Medium,No,12.5,82.36
2019-11-12,Delhi,24K,34687,Local Shop,Low,Yes,15.0,82.36
2019-11-13,Hyderabad,24K,34720,Local Shop,Medium,No,10.0,82.36
2019-11-14,Mumbai,22K,34804,Kalyan Jewellers,Medium,No,15.0,82.36
2019-11-15,Chennai,22K,34779,Tanishq,High,Yes,10.0,82.36
2019-11-16,Hyderabad,24K,34871,PC Jeweller,High,Yes,10.0,82.36
2019-11-17,Kolkata,22K,34845,PC Jeweller,Medium,No,15.0,82.36
2019-11-18,Delhi,22K,34975,Malabar Gold,High,No,10.0,82.36
2019-11-19,Chennai,22K,34979,Malabar Gold,Low,No,15.0,82.36
2019-11-20,Kolkata,24K,35116,PC Jeweller,Low,Yes,15.0,82.36
2019-11-21,Hyderabad,24K,35223,Local Shop,Low,No,15.0,82.36
2019-11-22,Mumbai,24K,35224,Local Shop,High,Yes,10.0,82.36
2019-11-23,Kolkata,22K,35335,Local Shop,High,Yes,15.0,82.36
2019-11-24,Chennai,22K,35275,PC Jeweller,Low,No,10.0,82.36
2019-11-25,Hyderabad,24K,35357,Kalyan Jewellers,Medium,Yes,12.5,82.36
2019-11-26,Kolkata,24K,35392,Local Shop,Low,No,15.0,82.36
2019-11-27,Delhi,24K,35444,Malabar Gold,Low,No,12.5,82.36
2019-11-28,Delhi,24K,35447,Kalyan Jewellers,Medium,Yes,12.5,82.36
2019-11-29,Mumbai,24K,35543,Local Shop,High,Yes,12.5,82.36
2019-11-30,Hyderabad,22K,35472,Kalyan Jewellers,Low,Yes,15.0,82.36
2019-12-01,Kolkata,22K,35474,Malabar Gold,High,No,10.0,82.36
2019-12-02,Hyderabad,24K,35507,Malabar Gold,Medium,No,15.0,82.36
2019-12-03,Chennai,22K,35538,Tanishq,Low,No,10.0,82.36
2019-12-04,Mumbai,22K,35619,Tanishq,Medium,No,12.5,82.36
2019-12-05,Hyderabad,24K,35742,Kalyan Jewellers,High,No,15.0,82.36
2019-12-06,Hyderabad,22K,35746,Local Shop,Low,No,10.0,82.36
2019-12-07,Delhi,22K,35744,Kalyan Jewellers,Medium,No,12.5,82.36
